quarter,q_start,day75,commit,commit_date,lag_days,last_entry_in_file,note,eu40_flt_da_cur,eu40_flt_da_prev,eu40_flt_da_yoy,eu_core_flt_da_cur,eu_core_flt_da_prev,eu_core_flt_da_yoy,days_cur_present
3Q22,2022-07-01,2022-09-13,55f13a3f26,2022-09-14,1,2022-09-13,,2943360,2113740,39.24891424678532,2597598,1820134,42.714657272486534,75
4Q22,2022-10-01,2022-12-14,14d3f98f26,2022-12-15,1,2022-12-14,,2262914,1852869,22.13027472530438,2014126,1636076,23.107117273280696,75
1Q23,2023-01-01,2023-03-16,1d85aa6c93,2023-03-17,1,2023-03-16,,1999411,1552421,28.79309156472374,1778128,1390271,27.897942199758184,75
2Q23,2023-04-01,2023-06-14,2ab5196f4d,2023-06-29,15,2023-06-28,,2714729,2501791,8.511422416980485,2420027,2258460,7.15385705303615,75
3Q23,2023-07-01,2023-09-13,0b189dd87c,2023-09-14,1,2023-09-13,,3172416,2943360,7.782126549249835,2783825,2597599,7.169158904049477,75
4Q23,2023-10-01,2023-12-14,b184f11994,2023-12-15,1,2023-12-14,,2460937,2262910,8.750988771095614,2197728,2014126,9.115715700010817,75
1Q24,2024-01-01,2024-03-15,e52e4f1e69,2024-03-16,1,2024-03-15,,2127026,1999412,6.38257647748437,1898570,1778128,6.773528114961347,75
2Q24,2024-04-01,2024-06-14,0d5ae5a101,2024-06-15,1,2024-06-14,,2920824,2714729,7.591733834205927,2609040,2420027,7.810367404991769,75
3Q24,2024-07-01,2024-09-13,3586eac74d,2024-09-16,3,2024-09-15,,3332392,3172414,5.042784453731453,2937100,2783826,5.505875726428311,75
4Q24,2024-10-01,2024-12-14,61e3185236,2024-12-15,1,2024-12-14,,2588074,2460939,5.166117486049027,2299355,2197730,4.624089401336828,75
1Q25,2025-01-01,2025-03-16,c7ac5abe87,2025-03-17,1,2025-03-16,,2268399,2127025,6.6465603366203885,2012341,1898568,5.992569136317472,75
2Q25,2025-04-01,2025-06-14,aaa8c4d85e,2025-06-15,1,2025-06-14,,3066414,2920820,4.984696078498496,2720248,2609040,4.262410695121588,75
3Q25,2025-07-01,2025-09-13,b675376366,2025-09-22,9,2025-09-21,,3463875,3332392,3.9456042386369905,3036265,2937100,3.3762895372986934,75
4Q25,2025-10-01,2025-12-14,4942c23722,2025-12-15,1,2025-12-14,,2731200,2588074,5.530212814625868,2401324,2299356,4.434633001588262,75
1Q26,2026-01-01,2026-03-16,758ed71019,2026-03-17,1,2026-03-16,,2334889,2268402,2.9310060562457663,2063840,2012341,2.5591587111727154,75
2Q26,2026-04-01,2026-06-14,4085819131,2026-06-30,16,2026-06-29,,3092162,3066417,0.8395792222649412,2756584,2720250,1.3356860582667052,75
3Q26,2026-07-01,2026-09-13,c3d58c5cd2,2026-09-14,1,2026-09-13,,3569229,3463875,3.0415069827866237,3116606,3036265,2.646047034761456,75
