period,fcf_musd,capex_musd,sbc_musd,fcf_ex_sbc_musd,fcf_check_gap
1Q23,1581.0,6.0,240.0,1341.0,0.0
2Q23,900.0,9.0,304.0,596.0,0.0
3Q23,1310.0,15.0,286.0,1024.0,0.0
4Q23,46.0,17.0,290.0,-244.0,0.0
1Q24,1909.0,14.0,295.0,1614.0,0.0
2Q24,1043.0,8.0,382.0,661.0,0.0
3Q24,1074.0,4.0,362.0,712.0,0.0
4Q24,458.0,8.0,368.0,90.0,0.0
1Q25,1781.0,8.0,358.0,1423.0,0.0
2Q25,962.0,13.0,424.0,538.0,0.0
3Q25,1349.0,7.0,399.0,950.0,0.0
4Q25,521.0,5.0,411.0,110.0,0.0
1Q26,1704.0,4.0,410.0,1294.0,0.0
2Q26,1253.0,17.0,487.0,766.0,0.0
