grid_row,quarter,gbv_share,differential_pp,L,source_date,share_path,adr_ratio,delta_scenario,lead_time,lead_uplift,rebook_offset,basis
0,2026Q3,0.22,0.0,0.0,2026-09-11,share_central,adr_equal,delta_0pp,lead_1.8,uplift_0,0.0,gross flow-share stress; not conditional backlog survival; no rebooking adjustment
0,2026Q4,0.23,0.0,0.0,2026-09-11,share_central,adr_equal,delta_0pp,lead_1.8,uplift_0,0.0,gross flow-share stress; not conditional backlog survival; no rebooking adjustment
1,2026Q3,0.22,0.0,0.0,2026-09-11,share_central,adr_equal,delta_0pp,lead_1.8,uplift_0,0.25,gross flow-share stress; not conditional backlog survival; no rebooking adjustment
1,2026Q4,0.23,0.0,0.0,2026-09-11,share_central,adr_equal,delta_0pp,lead_1.8,uplift_0,0.25,gross flow-share stress; not conditional backlog survival; no rebooking adjustment
2,2026Q3,0.22,0.0,0.0,2026-09-11,share_central,adr_equal,delta_0pp,lead_1.8,uplift_0,0.5,gross flow-share stress; not conditional backlog survival; no rebooking adjustment
2,2026Q4,0.23,0.0,0.0,2026-09-11,share_central,adr_equal,delta_0pp,lead_1.8,uplift_0,0.5,gross flow-share stress; not conditional backlog survival; no rebooking adjustment
3,2026Q3,0.22,0.0,0.0,2026-09-11,share_central,adr_equal,delta_0pp,lead_1.8,uplift_7,0.0,gross flow-share stress; not conditional backlog survival; no rebooking adjustment
3,2026Q4,0.23,0.0,0.0,2026-09-11,share_central,adr_equal,delta_0pp,lead_1.8,uplift_7,0.0,gross flow-share stress; not conditional backlog survival; no rebooking adjustment
4,2026Q3,0.22,0.0,0.0,2026-09-11,share_central,adr_equal,delta_0pp,lead_1.8,uplift_7,0.25,gross flow-share stress; not conditional backlog survival; no rebooking adjustment
4,2026Q4,0.23,0.0,0.0,2026-09-11,share_central,adr_equal,delta_0pp,lead_1.8,uplift_7,0.25,gross flow-share stress; not conditional backlog survival; no rebooking adjustment
5,2026Q3,0.22,0.0,0.0,2026-09-11,share_central,adr_equal,delta_0pp,lead_1.8,uplift_7,0.5,gross flow-share stress; not conditional backlog survival; no rebooking adjustment
5,2026Q4,0.23,0.0,0.0,2026-09-11,share_central,adr_equal,delta_0pp,lead_1.8,uplift_7,0.5,gross flow-share stress; not conditional backlog survival; no rebooking adjustment
6,2026Q3,0.22,0.0,0.0,2026-09-11,share_central,adr_equal,delta_0pp,lead_1.8,uplift_15,0.0,gross flow-share stress; not conditional backlog survival; no rebooking adjustment
6,2026Q4,0.23,0.0,0.0,2026-09-11,share_central,adr_equal,delta_0pp,lead_1.8,uplift_15,0.0,gross flow-share stress; not conditional backlog survival; no rebooking adjustment
7,2026Q3,0.22,0.0,0.0,2026-09-11,share_central,adr_equal,delta_0pp,lead_1.8,uplift_15,0.25,gross flow-share stress; not conditional backlog survival; no rebooking adjustment
7,2026Q4,0.23,0.0,0.0,2026-09-11,share_central,adr_equal,delta_0pp,lead_1.8,uplift_15,0.25,gross flow-share stress; not conditional backlog survival; no rebooking adjustment
8,2026Q3,0.22,0.0,0.0,2026-09-11,share_central,adr_equal,delta_0pp,lead_1.8,uplift_15,0.5,gross flow-share stress; not conditional backlog survival; no rebooking adjustment
8,2026Q4,0.23,0.0,0.0,2026-09-11,share_central,adr_equal,delta_0pp,lead_1.8,uplift_15,0.5,gross flow-share stress; not conditional backlog survival; no rebooking adjustment
9,2026Q3,0.22,0.0,0.0,2026-09-11,share_central,adr_equal,delta_0pp,lead_2.2,uplift_0,0.0,gross flow-share stress; not conditional backlog survival; no rebooking adjustment
