season,metric,n,mean,sd,basis
1,cov_uf,4,0.8675772681710839,0.025047067294500843,retrospective 2022Q1-2025Q2; frozen K1 coefficients
1,cov_fp,4,3.042092859281304,0.1310373053177421,retrospective 2022Q1-2025Q2; frozen K1 coefficients
1,cov_total,4,3.909670127452388,0.15055903335241003,retrospective 2022Q1-2025Q2; frozen K1 coefficients
1,paid_share_next,4,0.36505623700458484,0.013852808683010875,retrospective 2022Q1-2025Q2; frozen K1 coefficients
1,unpaid_share_next,4,0.21395455892920934,0.006102531151387815,retrospective 2022Q1-2025Q2; frozen K1 coefficients
1,unbooked_share_next,4,0.42098920406620577,0.011760379695469154,retrospective 2022Q1-2025Q2; frozen K1 coefficients
1,unpaid_share_stock,4,0.36965222460731884,0.01376426694617334,retrospective 2022Q1-2025Q2; frozen K1 coefficients
2,cov_uf,4,0.6944366901298124,0.006887929628144611,retrospective 2022Q1-2025Q2; frozen K1 coefficients
2,cov_fp,4,2.688527870181461,0.07533083673140267,retrospective 2022Q1-2025Q2; frozen K1 coefficients
2,cov_total,4,3.3829645603112737,0.08175083151132057,retrospective 2022Q1-2025Q2; frozen K1 coefficients
2,paid_share_next,4,0.4148946963222946,0.007330047213521091,retrospective 2022Q1-2025Q2; frozen K1 coefficients
2,unpaid_share_next,4,0.23497044871662245,0.0035646906151011676,retrospective 2022Q1-2025Q2; frozen K1 coefficients
2,unbooked_share_next,4,0.350134854961083,0.00730998090835102,retrospective 2022Q1-2025Q2; frozen K1 coefficients
2,unpaid_share_stock,4,0.3615912776042455,0.006040113234968689,retrospective 2022Q1-2025Q2; frozen K1 coefficients
3,cov_uf,3,0.657046545427255,0.013805120832158043,retrospective 2022Q1-2025Q2; frozen K1 coefficients
3,cov_fp,3,2.6252431404292147,0.08887701415307096,retrospective 2022Q1-2025Q2; frozen K1 coefficients
3,cov_total,3,3.2822896858564703,0.10107549017627454,retrospective 2022Q1-2025Q2; frozen K1 coefficients
3,paid_share_next,3,0.3498521585517329,0.0054582159271450974,retrospective 2022Q1-2025Q2; frozen K1 coefficients
3,unpaid_share_next,3,0.32414632099769114,0.017096170694792155,retrospective 2022Q1-2025Q2; frozen K1 coefficients
3,unbooked_share_next,3,0.3260015204505759,0.011754212708663591,retrospective 2022Q1-2025Q2; frozen K1 coefficients
3,unpaid_share_stock,3,0.48073527869052435,0.01691129266738587,retrospective 2022Q1-2025Q2; frozen K1 coefficients
4,cov_uf,3,0.6758774784646966,0.031680033184067286,retrospective 2022Q1-2025Q2; frozen K1 coefficients
4,cov_fp,3,2.6604503650497215,0.06961377805718859,retrospective 2022Q1-2025Q2; frozen K1 coefficients
4,cov_total,3,3.336327843514418,0.06380488439086737,retrospective 2022Q1-2025Q2; frozen K1 coefficients
4,paid_share_next,3,0.3030749474211168,0.013653045578865156,retrospective 2022Q1-2025Q2; frozen K1 coefficients
4,unpaid_share_next,3,0.27381084101783504,0.0071362283182990925,retrospective 2022Q1-2025Q2; frozen K1 coefficients
4,unbooked_share_next,3,0.42311421156104817,0.013154372485066066,retrospective 2022Q1-2025Q2; frozen K1 coefficients
4,unpaid_share_stock,3,0.4747605277034028,0.014703434023128098,retrospective 2022Q1-2025Q2; frozen K1 coefficients
