object,unit,v1,v2,delta
fx_pts_adr q3_adjusted,pct or pts,1.1237308725051616,-0.4299999999999997,-1.5537308725051613
fx_pts_adr q4_adjusted,pct or pts,2.0953670576073185,0.15000000000000036,-1.945367057607318
adr_yoy_reported_pct q3_adjusted,pct or pts,4.137357561693889,2.583626689188728,-1.5537308725051613
adr_yoy_reported_pct q4_adjusted,pct or pts,5.442327080129379,3.4969600225220616,-1.9453670576073177
gbv_yoy_reported_pct q3_adjusted,pct or pts,12.98035484130773,11.294686322212328,-1.685668519095401
gbv_yoy_reported_pct q4_adjusted,pct or pts,14.002486666917877,11.899188227017163,-2.1032984399007137
fx_pts_revenue q3_adjusted,pct or pts,3.0,3.0,0.0
fx_pts_revenue q4_adjusted,pct or pts,2.0,0.9800000000000004,-1.0199999999999996
revenue_yoy_reported_pct q3_adjusted,pct or pts,12.833333333333332,12.833333333333332,0.0
revenue_yoy_reported_pct q4_adjusted,pct or pts,12.833333333333334,11.813333333333334,-1.0199999999999996
lagged_gbv_busd 3Q26,$bn / $m / pct,27.866666666666667,27.866666666666667,0.0
revenue_musd 3Q26,$bn / $m / pct,4804.035502546225,4804.035502546225,0.0
revenue_low 3Q26,$bn / $m / pct,4777.874425727413,4777.874425727413,0.0
revenue_high 3Q26,$bn / $m / pct,4846.232081911263,4846.232081911263,0.0
yoy_pct 3Q26,$bn / $m / pct,17.314664286843097,17.314664286843097,0.0
implied_guide_mid_if_cushion_holds 3Q26,$bn / $m / pct,,,
gbv_3q26_assumed_busd 3Q26,$bn / $m / pct,,,
lagged_gbv_busd 4Q26,$bn / $m / pct,26.31500083910631,26.05765544519108,-0.25734539391523015
revenue_musd 4Q26,$bn / $m / pct,3165.6400328893906,3134.681915645211,-30.958117244179448
revenue_low 4Q26,$bn / $m / pct,3143.626850689648,3112.8840095565793,-30.74284113306885
revenue_high 4Q26,$bn / $m / pct,3188.658082132751,3157.4748617625673,-31.18322037018379
yoy_pct 4Q26,$bn / $m / pct,13.953924870028466,12.839521801483489,-1.114403068544977
implied_guide_mid_if_cushion_holds 4Q26,$bn / $m / pct,3047.400878792251,3017.599071664624,-29.8018071276274
gbv_3q26_assumed_busd 4Q26,$bn / $m / pct,25.87250125865947,25.486483167786623,-0.3860180908728452
