metric,quarter,adjustment,pts
nights_yoy_pct,3Q26,RNPL US lap (mgmt: ~3 pts of 1Q26 growth); half assumed to lap in Q3,-1.5
nights_yoy_pct,4Q26,"RNPL US lap, fuller",-2.5
nights_yoy_pct,3Q26,World Cup residual (July stays booked in-quarter); Paris 2024 analogue,0.5
nights_yoy_pct,3Q26,"Middle East cancellation drag (was -1 in 1Q26, not cited in 2Q26): assumed faded",0.0
fx_pts_adr,3Q26,"replace pattern with the ADR v3 midpoint FX estimator (mean of EUR fit and regional baskets; FX through 2026-09-04, flat spot after)",-5.796666666666667
fx_pts_adr,4Q26,"replace pattern with the ADR v3 midpoint FX estimator (mean of EUR fit and regional baskets; FX through 2026-09-04, flat spot after)",-4.916666666666666
adr_yoy_exfx_pct,3Q26,"seats/hotel dilution (15_seats_dilution, mean of cases)",-0.4863733108112722
adr_yoy_exfx_pct,4Q26,"seats/hotel dilution (15_seats_dilution, mean of cases)",-0.4863733108112722
fx_pts_revenue,3Q26,management: ~3 pts FX in the Q3 revenue guide (after hedging); fx_lag_v2 kernel gives +2.9 on the same basis,-3.0
fx_pts_revenue,4Q26,"fx_lag_v2 kernel output: Phi (0, 2/3, 1/3) x 0.851 on the revenue-weighted basket, spot held from 2026-09-04; CS +0.3 to +2.2; replaces v1 assumed 2.0 (range 1-3)",-5.02
