quarter,adr_usd,adr_yoy_reported_pp,fx_effect_pp,adr_exfx_yoy_pp,residual_pricing_pp,reported_le_2.0,mix_terms_pp,resid_change_pp,needed_resid_for_le2_at_fx_-0.43
1Q23,168.43,0.2141964657583317,-2.8,3.0,3.4765599528784485,True,-0.47655995287844855,,2.9065599528784487
2Q23,166.01,1.3863442042262086,-0.6,2.0,2.4720399165943165,True,-0.47203991659431654,-1.004520036284132,2.9020399165943167
3Q23,161.38,3.1577601636410213,2.7,0.5,1.005193813553488,False,-0.5051938135534879,-1.4668461030408286,2.935193813553488
4Q23,156.73,2.565277141548328,2.1,0.5,0.8339628069705792,False,-0.33396280697057923,-0.17123100658290868,2.7639628069705795
1Q24,172.88,2.642047141245607,0.6,2.0,2.2557752082862383,False,-0.25577520828623834,1.421812401315659,2.6857752082862385
2Q24,169.53,2.120354195530405,-0.9,3.0,3.234375616562978,False,-0.234375616562978,0.9786004082767397,2.664375616562978
3Q24,163.64,1.40042136572065,-0.6,2.0,2.083188605444465,True,-0.08318860544446505,-1.151187011118513,2.513188605444465
4Q24,158.13,0.8932559178204569,-1.1,2.0,2.760245101599631,True,-0.7602451015996312,0.6770564961551662,3.1902451015996314
1Q25,171.34,-0.8907913003239232,-1.9,1.0,2.231373644528559,True,-1.231373644528559,-0.5288714570710722,3.661373644528559
2Q25,174.48,2.9198371969562764,1.9,1.0,1.905622741315353,False,-0.905622741315353,-0.325750903213206,3.335622741315353
3Q25,171.29,4.674896113419713,2.7,2.0,2.8222911901990337,False,-0.8222911901990337,0.9166684488836807,3.252291190199034
4Q25,167.51,5.931828242585202,2.9,3.0,3.69881318212152,False,-0.69881318212152,0.8765219919224863,3.12881318212152
1Q26,186.82,9.0346679117544,5.0,4.0,4.380588950682848,False,-0.38058895068284837,0.6817757685613284,2.8105889506828485
2Q26,183.73,5.30146721687299,1.3,4.0,4.84932637648649,False,-0.8493263764864896,0.4687374258036412,3.2793263764864897
