item,value
"walk-forward midpoint RMSE, bias (model - actual), n","0.927, -0.308, 10"
bias adjustment applied to the centre (half the walk-forward bias),0.15
"AR(1) const, rho, innovation sd, 3Q26 point","0.750, 0.747, 0.939, 4.374"
"JOINT MODEL revision 2: P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.1723, 0.1187, 3.396, 3.349, 1.122"
"joint: P(>=4.0), P(>=3.4 Street mean), P(<=2.5), P(<=1.0), P(<=0)","0.2879, 0.4984, 0.2192, 0.0239, 0.0027"
"joint: E[reported | >=4.4], E[reported | <=2.0]","4.948, 1.386"
joint: p5/p10/p25/p50/p75/p90/p95,"1.42, 1.88, 2.62, 3.40, 4.12, 4.75, 5.11"
"joint | fx >= +0.2 (baskets right): mass, P(>=4.4), P(<=2.0)","0.154, 0.489, 0.014"
"joint | fx in (-0.6,-0.2) (midpoint): mass, P(>=4.4), P(<=2.0)","0.284, 0.129, 0.084"
"joint | fx in (-1.0,-0.2): mass, P(>=4.4), P(<=2.0)","0.486, 0.097, 0.111"
"joint | fx <= -1.0 (euro right): mass, P(>=4.4), P(<=2.0)","0.171, 0.012, 0.318"
"joint | fx >= -0.2: mass, P(>=4.4), P(<=2.0)","0.344, 0.358, 0.031"
"joint | ex-FX 5pct (>=4.5): mass, P(>=4.4), P(<=2.0)","0.221, 0.560, 0.000"
"joint | ex-FX 4pct (3.5-4.5): mass, P(>=4.4), P(<=2.0)","0.425, 0.111, 0.013"
"joint | ex-FX 3pct (2.5-3.5): mass, P(>=4.4), P(<=2.0)","0.256, 0.004, 0.168"
"joint | ex-FX 2pct or lower (<2.5): mass, P(>=4.4), P(<=2.0)","0.098, 0.000, 0.716"
"joint | residual <= 3.6: mass, P(>=4.4), P(<=2.0)","0.131, 0.000, 0.581"
"joint | residual 3.6-4.5: mass, P(>=4.4), P(<=2.0)","0.270, 0.019, 0.132"
"joint | residual > 4.5: mass, P(>=4.4), P(<=2.0)","0.599, 0.279, 0.011"
"sens no bias adjustment (raw model, K restored): P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.1382, 0.1439, 3.246, 3.199, 1.122"
"sens full bias adjustment (+0.31): P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.2150, 0.0951, 3.556, 3.509, 1.122"
"sens rev-1 R07 form: mix -1.15, no K, no bias, weights 0.55/0.20/0/0.25: P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.1079, 0.1722, 3.116, 3.057, 1.119"
"sens rev-1 B02 form: mix -1.15, no K, no bias: P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.1063, 0.1759, 3.086, 3.039, 1.122"
"sens R07 residual weights 0.55/0.20/0/0.25: P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.1766, 0.1167, 3.426, 3.367, 1.119"
