case,p50,p5,p95,p_lt10,p_lt9_4,p_ge12,guide_median_musd
"final (adopted 4Q26 object, C01 rev-2 residual)",10.53,5.12,16.13,0.445,0.359,0.34,2960.0
"rev-1 4Q26 print mixture (legacy), rev-2 residual",9.78,4.56,15.38,0.527,0.437,0.265,2940.0
"rev-1 residual N(-0.5,2.5), no leak/fee, adopted object",10.34,4.37,16.32,0.477,0.395,0.323,2955.0
no fee step,10.16,4.74,15.94,0.48,0.393,0.309,2950.0
fee step full +1.11 certain,11.09,5.68,16.69,0.379,0.297,0.401,2975.0
no RNPL leakage branch,10.72,5.3,16.32,0.414,0.329,0.367,2965.0
leakage certain -0.84,10.16,4.56,15.76,0.491,0.404,0.299,2950.0
leakage top of K1 -1.39 certain,9.78,4.18,15.57,0.541,0.455,0.261,2940.0
4Q26 decomposition only (V1),9.78,4.56,15.38,0.524,0.433,0.268,2940.0
4Q26 Street-centred V1 9.93 no tail,11.28,5.86,16.69,0.358,0.278,0.419,2980.0
4Q26 V1 centre 7.61 (RNPL module),10.34,4.93,16.13,0.462,0.376,0.325,2955.0
4Q26 short case 5.0 certain,8.1,2.88,13.33,0.734,0.654,0.114,2895.0
3Q26 nights centre 11.0 (Kalshi/MODL),11.09,5.49,16.69,0.389,0.308,0.394,2975.0
3Q26 nights centre 8.5,10.16,4.56,15.76,0.495,0.406,0.295,2950.0
lambda 12.72 (2023-25 mean) eps 0 in base,11.28,5.86,17.06,0.352,0.274,0.43,2980.0
eps sd 1.5,10.53,5.49,15.76,0.442,0.349,0.325,2960.0
eps sd 3.5 (1Q25-type miss),10.53,3.44,17.63,0.449,0.38,0.373,2960.0
cushion 1.86 (trailing-8 all-quarter),11.09,5.49,16.69,0.388,0.306,0.393,2975.0
cushion 2.87 (five-Q1 mean),10.34,4.74,15.94,0.478,0.391,0.312,2955.0
cushion 4.0 (1Q22/1Q24-type),9.41,3.81,15.2,0.575,0.491,0.238,2930.0
ADR_4Q26 +2.5,9.78,4.18,15.57,0.529,0.443,0.271,2940.0
ADR_4Q26 +5.5,11.28,5.68,16.88,0.363,0.284,0.419,2980.0
"joint bull: Street V1 9.9 no tail, ADR 5.0, eps +0.5, no leak, full fee, cushion 1.86",13.52,7.92,19.31,0.154,0.108,0.684,3040.0
"joint bear: V1 6.5, ADR 2.5, leak certain -1.39, no fee, cushion 3.0",7.73,1.76,14.45,0.718,0.652,0.149,2885.0
5 Nov bucket low double digits (V2 mid 10.75 certain),12.77,7.54,18.19,0.195,0.137,0.608,3020.0
5 Nov bucket high single digits (V2 mid 8.0 certain),10.53,5.49,15.94,0.43,0.339,0.338,2960.0
5 Nov bucket mid single / moderate (V2 mid 6.0 certain),9.04,4.0,14.26,0.631,0.538,0.177,2920.0
