component,stat,value
base,mean,10.2828
base,sd,3.3693
base,p5,4.7423
base,p10,6.0493
base,p25,7.9164
base,p50,10.3435
base,p75,12.584
base,p90,14.6378
base,p95,15.9447
base,p_lt10,0.4769
base,p_lt9_4,0.3896
base,p_ge12,0.3109
base,p_lt8,0.2515
base,p_ge14,0.1365
base,p_lt5,0.0578
base,p_lt0,0.0008
base,p_gt20,0.0023
prereg,mean,11.1779
prereg,sd,3.3481
prereg,p5,5.6759
prereg,p10,6.9828
prereg,p25,8.8499
prereg,p50,11.0904
prereg,p75,13.3308
prereg,p90,15.5713
prereg,p95,16.6916
prereg,p_lt10,0.3719
prereg,p_lt9_4,0.2903
prereg,p_ge12,0.4078
prereg,p_lt8,0.1724
prereg,p_ge14,0.1997
prereg,p_lt5,0.0315
prereg,p_lt0,0.0003
prereg,p_gt20,0.0049
final,mean,10.5526
final,sd,3.3878
final,p5,5.1158
final,p10,6.236
final,p25,8.2898
final,p50,10.5302
final,p75,12.7707
final,p90,14.8245
final,p95,16.1314
final,p_lt10,0.4446
final,p_lt9_4,0.3589
final,p_ge12,0.3399
final,p_lt8,0.2277
final,p_ge14,0.1554
final,p_lt5,0.05
final,p_lt0,0.0007
final,p_gt20,0.0031
base,guide_median_musd,2955.0
base,print_median_musd,3026.5
final,guide_median_musd,2960.0
