quarter,nights_m,gbv_busd,adr_usd,revenue_musd,lagged_gbv_busd,lambda_pct
1Q23,121.1,20.4,168.43,1818.0,14.2,12.80281690140845
2Q23,115.1,19.1,166.01,2484.0,18.099999999999998,13.72375690607735
3Q23,113.2,18.3,161.38,3397.0,19.53333333333333,17.390784982935152
4Q23,98.8,15.5,156.73,2218.0,18.566666666666666,11.946140035906643
1Q24,132.6,22.9,172.88,2142.0,16.43333333333333,13.034482758620694
2Q24,125.1,21.2,169.53,2748.0,20.43333333333333,13.448613376835238
3Q24,122.8,20.1,163.64,3732.0,21.766666666666666,17.145482388973967
4Q24,111.0,17.6,158.13,2480.0,20.46666666666667,12.117263843648207
1Q25,143.1,24.5,171.34,2272.0,18.433333333333334,12.325497287522605
2Q25,134.4,23.5,174.48,3096.0,22.2,13.945945945945946
3Q25,133.6,22.9,171.29,4095.0,23.833333333333332,17.18181818181818
4Q25,121.9,20.4,167.51,2778.0,23.099999999999998,12.025974025974028
1Q26,156.2,29.2,186.82,2678.0,21.23333333333333,12.612244897959185
2Q26,148.3,27.2,183.73,3608.0,26.266666666666666,13.736040609137056
