case,p50,p5,p95,p_lt10,p_lt9_4,p_ge12,guide_median_musd
base,9.04,3.25,15.2,0.604,0.522,0.218,2920.0
n4 centred 7.6 (RNPL module),8.85,3.06,14.82,0.635,0.555,0.195,2915.0
"n4 centred 9.9 (Street bar), no short tail",10.53,4.74,16.5,0.453,0.372,0.344,2960.0
n4 short case 5.0 certain,7.36,1.76,12.96,0.789,0.721,0.089,2875.0
GBV_3Q26 at Kalshi/MODL (nights 11.0),9.6,3.81,15.76,0.545,0.462,0.266,2935.0
GBV_3Q26 nights 8.5,8.66,3.06,14.82,0.642,0.563,0.19,2910.0
lambda_Q1 12.66 (ewm) unbiased eps,10.16,4.18,16.13,0.498,0.416,0.305,2950.0
"lambda_Q1 12.72 (2023-25 mean), eps 0",10.53,4.74,16.69,0.44,0.36,0.358,2960.0
eps -1.4 (top of RNPL leakage),8.1,2.32,14.08,0.705,0.629,0.147,2895.0
eps sd 1.5 (tight),9.04,4.56,13.89,0.63,0.527,0.164,2920.0
eps sd 3.5 (1Q25-type miss),9.04,1.76,16.69,0.584,0.518,0.266,2920.0
cushion 1.86 (trailing-8 all-quarter),9.78,4.0,15.76,0.529,0.446,0.279,2940.0
cushion 2.87 (five Q1 guides mean),8.66,2.88,14.64,0.646,0.566,0.187,2910.0
cushion 4.0 (1Q22/1Q24-type),7.54,1.76,13.52,0.761,0.692,0.11,2880.0
ADR_4Q26 +2.5,8.1,2.32,14.08,0.707,0.632,0.144,2895.0
ADR_4Q26 +5.5,10.16,4.37,16.13,0.493,0.412,0.309,2950.0
"joint bull: n4 9.9, a4 5.0, eps +0.5, cushion 1.86",12.96,6.98,19.12,0.209,0.154,0.615,3025.0
"joint bear: n4 6.5, a4 2.5, eps -1.4, cushion 3.0",5.68,0.07,11.46,0.892,0.847,0.039,2830.0
