quarter,guide_date,as_of,basis,street_vendor,street_as_of,consensus_musd,register_id,kernel_guide_musd,actual_guide_mid_musd,signal_pct,actual_gap_pct
2023Q2,2023-05-09,2023-05-10,post_letter_not_preguide,Refinitiv,2023-05-09,2420.0,PG-2023Q2-revenue,2435.665270113213,2400.0,0.6473252112897843,-0.8264462809917328
2023Q4,2023-11-01,2023-11-02,post_letter_not_preguide,LSEG,2023-11-01,2180.0,PG-2023Q4-revenue,2141.4449187070622,2150.0,-1.768581710685213,-1.3761467889908285
2024Q1,2024-02-13,2024-02-14,post_letter_not_preguide,LSEG,2024-02-13,2030.0,PG-2024Q1-revenue,2051.9043840507834,2050.0,1.0790336970829317,0.9852216748768461
2024Q2,2024-05-08,2024-05-09,post_letter_not_preguide,LSEG,2024-05-08,2740.0,PG-2024Q2-revenue,2743.6535096912417,2710.0,0.13333976975333783,-1.0948905109489093
2024Q4,2024-11-07,2024-11-08,post_letter_not_preguide,LSEG,2024-11-07,2420.0,PG-2024Q4-revenue,2374.4305133170524,2415.0,-1.8830366397912246,-0.20661157024793875
2025Q1,2025-02-13,2025-02-14,post_letter_not_preguide,LSEG,2025-02-13,2300.0,PG-2025Q1-revenue,2328.4784046689074,2250.0,1.2381915073437888,-2.1739130434782594
2025Q2,2025-05-01,2025-05-02,post_letter_not_preguide,LSEG,2025-05-01,3040.0,PG-2025Q2-revenue,2971.9858710181106,3020.0,-2.2373068744042546,-0.6578947368421018
2025Q3,2025-08-06,2025-08-07,post_letter_not_preguide,LSEG,2025-08-06,4050.0,PG-2025Q3-revenue,4036.466377130657,4060.0,-0.3341635276380983,0.24691358024691024
2025Q4,2025-11-06,2025-11-07,post_letter_not_preguide,LSEG,2025-11-06,2670.0,PG-2025Q4-revenue,2711.2967713197595,2690.0,1.5466955550471617,0.7490636704119868
2026Q1,2026-02-12,2026-02-13,post_letter_not_preguide,LSEG,2026-02-12,2530.0,PG-2026Q1-revenue,2649.170508020707,2610.0,4.710296759711752,3.1620553359683834
2026Q2,2026-05-07,2026-05-08,post_letter_not_preguide,LSEG,2026-05-07,3460.0,PG-2026Q2-revenue,3537.7603445991504,3570.0,2.2474088034436512,3.1791907514450823
