quarter,guide_date,extension,guide_mid_musd,guide_mid_lo,guide_mid_hi,consensus_musd,street_vendor,street_as_of,register_id,kernel_guide_musd,signal_pct,actual_gap_pct,actual_gap_lo,actual_gap_hi,actual_sign,kernel_status,kernel_reason,consensus_status,open_1d_pct,open_5d_pct,open_20d_pct
2021Q4,2021-11-04,True,1435.0,1434.5,1435.5,,,,,,,,,,,unavailable,No realised guide cushion before as_of,no_strictly_earlier_attributed_vintage,,,
2022Q1,2022-02-15,True,1445.0,1444.5,1445.5,,,,,,,,,,,unavailable,No realised guide cushion before as_of,no_strictly_earlier_attributed_vintage,,,
2022Q2,2022-05-03,True,2080.0,2079.5,2080.5,,,,,,,,,,,unavailable,No admissible same-season lambda observations: season=2; variant=ex_covid,no_strictly_earlier_attributed_vintage,,,
2022Q3,2022-08-02,True,2830.0,2829.5,2830.5,,,,,,,,,,,unavailable,No admissible same-season lambda observations: season=3; variant=ex_covid,no_strictly_earlier_attributed_vintage,,,
2022Q4,2022-11-01,True,1840.0,1839.5,1840.5,,,,,,,,,,,unavailable,No admissible same-season lambda observations: season=4; variant=ex_covid,no_strictly_earlier_attributed_vintage,,,
2023Q1,2023-02-14,False,1785.0,1784.5,1785.5,,,,,,,,,,,unavailable,No admissible same-season lambda observations: season=1; variant=ex_covid,no_strictly_earlier_attributed_vintage,,,
2023Q2,2023-05-09,False,2400.0,2399.5,2400.5,,,,,,,,,,,unavailable,"GBV not printed strictly before 2023-05-09: ['2023Q1', '2022Q4']",no_strictly_earlier_attributed_vintage,,,
2023Q3,2023-08-03,False,3350.0,3349.5,3350.5,,,,,,,,,,,unavailable,No admissible same-season lambda observations: season=3; variant=ex_covid,no_strictly_earlier_attributed_vintage,,,
2023Q4,2023-11-01,False,2150.0,2149.5,2150.5,,,,,,,,,,,unavailable,"GBV not printed strictly before 2023-11-01: ['2023Q3', '2023Q2']",no_strictly_earlier_attributed_vintage,,,
2024Q1,2024-02-13,False,2050.0,2049.5,2050.5,,,,,,,,,,,unavailable,"GBV not printed strictly before 2024-02-13: ['2023Q4', '2023Q3']",no_strictly_earlier_attributed_vintage,,,
2024Q2,2024-05-08,False,2710.0,2709.5,2710.5,,,,,,,,,,,unavailable,"GBV not printed strictly before 2024-05-08: ['2024Q1', '2023Q4']",no_strictly_earlier_attributed_vintage,,,
2024Q3,2024-08-06,False,3700.0,3699.5,3700.5,,,,,,,,,,,unavailable,"GBV not printed strictly before 2024-08-06: ['2024Q2', '2024Q1']",no_strictly_earlier_attributed_vintage,,,
2024Q4,2024-11-07,False,2415.0,2414.5,2415.5,,,,,,,,,,,unavailable,"GBV not printed strictly before 2024-11-07: ['2024Q3', '2024Q2']",no_strictly_earlier_attributed_vintage,,,
2025Q1,2025-02-13,False,2250.0,2249.5,2250.5,,,,,,,,,,,unavailable,"GBV not printed strictly before 2025-02-13: ['2024Q4', '2024Q3']",no_strictly_earlier_attributed_vintage,,,
2025Q2,2025-05-01,False,3020.0,3019.5,3020.5,,,,,,,,,,,unavailable,"GBV not printed strictly before 2025-05-01: ['2025Q1', '2024Q4']",no_strictly_earlier_attributed_vintage,,,
2025Q3,2025-08-06,False,4060.0,4059.5,4060.5,,,,,,,,,,,unavailable,"GBV not printed strictly before 2025-08-06: ['2025Q2', '2025Q1']",no_strictly_earlier_attributed_vintage,,,
2025Q4,2025-11-06,False,2690.0,2689.5,2690.5,,,,,,,,,,,unavailable,"GBV not printed strictly before 2025-11-06: ['2025Q3', '2025Q2']",no_strictly_earlier_attributed_vintage,,,
2026Q1,2026-02-12,False,2610.0,2609.5,2610.5,,,,,,,,,,,unavailable,"GBV not printed strictly before 2026-02-12: ['2025Q4', '2025Q3']",no_strictly_earlier_attributed_vintage,,,
2026Q2,2026-05-07,False,3570.0,3569.5,3570.5,,,,,,,,,,,unavailable,"GBV not printed strictly before 2026-05-07: ['2026Q1', '2025Q4']",no_strictly_earlier_attributed_vintage,,,
