quarter,guide_date,baseline,predicted_sign,evaluation_available,street_vendor,street_as_of,reason,consensus_base_definition
2021Q4,2021-11-04,zero,0.0,False,,,No admissible current pre-guide consensus; no baseline score,
2021Q4,2021-11-04,previous_surprise_sign,,False,,,No admissible current pre-guide consensus; no baseline score,
2021Q4,2021-11-04,consensus_base,,False,,,No admissible current pre-guide consensus; no baseline score,guide=consensus/(1+trailing8_median_cushion)
2022Q1,2022-02-15,zero,0.0,False,,,No admissible current pre-guide consensus; no baseline score,
2022Q1,2022-02-15,previous_surprise_sign,,False,,,No admissible current pre-guide consensus; no baseline score,
2022Q1,2022-02-15,consensus_base,,False,,,No admissible current pre-guide consensus; no baseline score,guide=consensus/(1+trailing8_median_cushion)
2022Q2,2022-05-03,zero,0.0,False,,,No admissible current pre-guide consensus; no baseline score,
2022Q2,2022-05-03,previous_surprise_sign,,False,,,No admissible current pre-guide consensus; no baseline score,
2022Q2,2022-05-03,consensus_base,,False,,,No admissible current pre-guide consensus; no baseline score,guide=consensus/(1+trailing8_median_cushion)
2022Q3,2022-08-02,zero,0.0,False,,,No admissible current pre-guide consensus; no baseline score,
2022Q3,2022-08-02,previous_surprise_sign,,False,,,No admissible current pre-guide consensus; no baseline score,
2022Q3,2022-08-02,consensus_base,,False,,,No admissible current pre-guide consensus; no baseline score,guide=consensus/(1+trailing8_median_cushion)
2022Q4,2022-11-01,zero,0.0,False,,,No admissible current pre-guide consensus; no baseline score,
2022Q4,2022-11-01,previous_surprise_sign,1.0,False,StreetAccount,2022-08-02,No admissible current pre-guide consensus; no baseline score,
2022Q4,2022-11-01,consensus_base,,False,,,No admissible current pre-guide consensus; no baseline score,guide=consensus/(1+trailing8_median_cushion)
2023Q1,2023-02-14,zero,0.0,False,,,No admissible current pre-guide consensus; no baseline score,
2023Q1,2023-02-14,previous_surprise_sign,-1.0,False,Refinitiv,2022-11-01,No admissible current pre-guide consensus; no baseline score,
2023Q1,2023-02-14,consensus_base,,False,,,No admissible current pre-guide consensus; no baseline score,guide=consensus/(1+trailing8_median_cushion)
2023Q2,2023-05-09,zero,0.0,False,,,No admissible current pre-guide consensus; no baseline score,
2023Q2,2023-05-09,previous_surprise_sign,1.0,False,Refinitiv,2023-02-14,No admissible current pre-guide consensus; no baseline score,
2023Q2,2023-05-09,consensus_base,,False,,,No admissible current pre-guide consensus; no baseline score,guide=consensus/(1+trailing8_median_cushion)
2023Q3,2023-08-03,zero,0.0,False,,,No admissible current pre-guide consensus; no baseline score,
2023Q3,2023-08-03,previous_surprise_sign,-1.0,False,Refinitiv,2023-05-09,No admissible current pre-guide consensus; no baseline score,
2023Q3,2023-08-03,consensus_base,,False,,,No admissible current pre-guide consensus; no baseline score,guide=consensus/(1+trailing8_median_cushion)
2023Q4,2023-11-01,zero,0.0,False,,,No admissible current pre-guide consensus; no baseline score,
2023Q4,2023-11-01,previous_surprise_sign,1.0,False,Refinitiv,2023-08-03,No admissible current pre-guide consensus; no baseline score,
2023Q4,2023-11-01,consensus_base,,False,,,No admissible current pre-guide consensus; no baseline score,guide=consensus/(1+trailing8_median_cushion)
2024Q1,2024-02-13,zero,0.0,False,,,No admissible current pre-guide consensus; no baseline score,
2024Q1,2024-02-13,previous_surprise_sign,-1.0,False,LSEG,2023-11-01,No admissible current pre-guide consensus; no baseline score,
2024Q1,2024-02-13,consensus_base,,False,,,No admissible current pre-guide consensus; no baseline score,guide=consensus/(1+trailing8_median_cushion)
2024Q2,2024-05-08,zero,0.0,False,,,No admissible current pre-guide consensus; no baseline score,
2024Q2,2024-05-08,previous_surprise_sign,1.0,False,LSEG,2024-02-13,No admissible current pre-guide consensus; no baseline score,
2024Q2,2024-05-08,consensus_base,,False,,,No admissible current pre-guide consensus; no baseline score,guide=consensus/(1+trailing8_median_cushion)
2024Q3,2024-08-06,zero,0.0,False,,,No admissible current pre-guide consensus; no baseline score,
2024Q3,2024-08-06,previous_surprise_sign,-1.0,False,LSEG,2024-05-08,No admissible current pre-guide consensus; no baseline score,
2024Q3,2024-08-06,consensus_base,,False,,,No admissible current pre-guide consensus; no baseline score,guide=consensus/(1+trailing8_median_cushion)
2024Q4,2024-11-07,zero,0.0,False,,,No admissible current pre-guide consensus; no baseline score,
2024Q4,2024-11-07,previous_surprise_sign,,False,,,No admissible current pre-guide consensus; no baseline score,
2024Q4,2024-11-07,consensus_base,,False,,,No admissible current pre-guide consensus; no baseline score,guide=consensus/(1+trailing8_median_cushion)
2025Q1,2025-02-13,zero,0.0,False,,,No admissible current pre-guide consensus; no baseline score,
2025Q1,2025-02-13,previous_surprise_sign,-1.0,False,LSEG,2024-11-07,No admissible current pre-guide consensus; no baseline score,
2025Q1,2025-02-13,consensus_base,,False,,,No admissible current pre-guide consensus; no baseline score,guide=consensus/(1+trailing8_median_cushion)
2025Q2,2025-05-01,zero,0.0,False,,,No admissible current pre-guide consensus; no baseline score,
2025Q2,2025-05-01,previous_surprise_sign,-1.0,False,LSEG,2025-02-13,No admissible current pre-guide consensus; no baseline score,
2025Q2,2025-05-01,consensus_base,,False,,,No admissible current pre-guide consensus; no baseline score,guide=consensus/(1+trailing8_median_cushion)
2025Q3,2025-08-06,zero,0.0,False,,,No admissible current pre-guide consensus; no baseline score,
2025Q3,2025-08-06,previous_surprise_sign,-1.0,False,LSEG,2025-05-01,No admissible current pre-guide consensus; no baseline score,
2025Q3,2025-08-06,consensus_base,,False,,,No admissible current pre-guide consensus; no baseline score,guide=consensus/(1+trailing8_median_cushion)
2025Q4,2025-11-06,zero,0.0,False,,,No admissible current pre-guide consensus; no baseline score,
2025Q4,2025-11-06,previous_surprise_sign,1.0,False,LSEG,2025-08-06,No admissible current pre-guide consensus; no baseline score,
2025Q4,2025-11-06,consensus_base,,False,,,No admissible current pre-guide consensus; no baseline score,guide=consensus/(1+trailing8_median_cushion)
2026Q1,2026-02-12,zero,0.0,False,,,No admissible current pre-guide consensus; no baseline score,
2026Q1,2026-02-12,previous_surprise_sign,1.0,False,LSEG,2025-11-06,No admissible current pre-guide consensus; no baseline score,
2026Q1,2026-02-12,consensus_base,,False,,,No admissible current pre-guide consensus; no baseline score,guide=consensus/(1+trailing8_median_cushion)
2026Q2,2026-05-07,zero,0.0,False,,,No admissible current pre-guide consensus; no baseline score,
2026Q2,2026-05-07,previous_surprise_sign,1.0,False,LSEG,2026-02-12,No admissible current pre-guide consensus; no baseline score,
2026Q2,2026-05-07,consensus_base,,False,,,No admissible current pre-guide consensus; no baseline score,guide=consensus/(1+trailing8_median_cushion)
