quarter,guide_date,register_id,vendor,value_musd,as_of_timestamp,pit_usable,vendor_attributed,admitted,reason
2021Q4,2021-11-04,PG-2021Q4-revenue,,,,False,False,False,missing_timestamp_or_quarantined
2022Q1,2022-02-15,PG-2022Q1-revenue,CNBC unattributed,1240.0,2022-02-15,True,False,False,same_date_not_strictly_before
2022Q2,2022-05-03,PG-2022Q2-revenue,CNBC unattributed,1960.0,2022-05-03,True,False,False,same_date_not_strictly_before
2022Q3,2022-08-02,PG-2022Q3-revenue,StreetAccount,2770.0,2022-08-02,True,True,False,same_date_not_strictly_before
2022Q4,2022-11-01,PG-2022Q4-revenue,Refinitiv,1850.0,2022-11-01,True,True,False,same_date_not_strictly_before
2023Q1,2023-02-14,PG-2023Q1-revenue,Refinitiv,1690.0,2023-02-14,True,True,False,same_date_not_strictly_before
2023Q2,2023-05-09,PG-2023Q2-revenue,Refinitiv,2420.0,2023-05-09,True,True,False,same_date_not_strictly_before
2023Q3,2023-08-03,PG-2023Q3-revenue,Refinitiv,3220.0,2023-08-03,True,True,False,same_date_not_strictly_before
2023Q4,2023-11-01,PG-2023Q4-revenue,LSEG,2180.0,2023-11-01,True,True,False,same_date_not_strictly_before
2024Q1,2024-02-13,PG-2024Q1-revenue,LSEG,2030.0,2024-02-13,True,True,False,same_date_not_strictly_before
2024Q2,2024-05-08,PG-2024Q2-revenue,LSEG,2740.0,2024-05-08,True,True,False,same_date_not_strictly_before
2024Q3,2024-08-06,PG-2024Q3-revenue,LSEG,3840.0,,False,True,False,missing_timestamp_or_quarantined
2024Q4,2024-11-07,PG-2024Q4-revenue,LSEG,2420.0,2024-11-07,True,True,False,same_date_not_strictly_before
2025Q1,2025-02-13,PG-2025Q1-revenue,LSEG,2300.0,2025-02-13,True,True,False,same_date_not_strictly_before
2025Q2,2025-05-01,PG-2025Q2-revenue,LSEG,3040.0,2025-05-01,True,True,False,same_date_not_strictly_before
2025Q3,2025-08-06,PG-2025Q3-revenue,LSEG,4050.0,2025-08-06,True,True,False,same_date_not_strictly_before
2025Q4,2025-11-06,PG-2025Q4-revenue,LSEG,2670.0,2025-11-06,True,True,False,same_date_not_strictly_before
2026Q1,2026-02-12,PG-2026Q1-revenue,LSEG,2530.0,2026-02-12,True,True,False,same_date_not_strictly_before
2026Q2,2026-05-07,PG-2026Q2-revenue,LSEG,3460.0,2026-05-07,True,True,False,same_date_not_strictly_before
