year,month,day,countyfips,freq,spend_all,provisional
2018,12,31,1001,d,.,0
2018,12,31,1003,d,.,0
2018,12,31,1009,d,.,0
2018,12,31,1015,d,.,0
2018,12,31,1019,d,.,0
2018,12,31,1021,d,.,0
2018,12,31,1031,d,.,0
2018,12,31,1039,d,.,0
2018,12,31,1041,d,.,0
2018,12,31,1045,d,.,0
2018,12,31,1047,d,.,0
2018,12,31,1049,d,.,0
2018,12,31,1051,d,.,0
2018,12,31,1053,d,.,0
2018,12,31,1055,d,.,0
2018,12,31,1061,d,.,0
2018,12,31,1067,d,.,0
2018,12,31,1069,d,.,0
2018,12,31,1071,d,.,0
2018,12,31,1073,d,.,0
2018,12,31,1081,d,.,0
2018,12,31,1089,d,.,0
2018,12,31,1095,d,.,0
2018,12,31,1097,d,.,0
2018,12,31,1101,d,.,0
2018,12,31,1103,d,.,0
2018,12,31,1105,d,.,0
2018,12,31,1109,d,.,0
2018,12,31,1111,d,.,0
2018,12,31,1113,d,.,0
2018,12,31,1123,d,.,0
2018,12,31,2020,d,.,0
2018,12,31,2090,d,.,0
2018,12,31,2110,d,.,0
2018,12,31,2122,d,.,0
2018,12,31,2150,d,.,0
2018,12,31,2170,d,.,0
2018,12,31,2220,d,.,0
2018,12,31,2240,d,.,0
2018,12,31,2261,d,.,0
2018,12,31,4001,d,.,0
2018,12,31,4003,d,.,0
2018,12,31,4005,d,.,0
2018,12,31,4007,d,.,0
2018,12,31,4009,d,.,0
2018,12,31,4012,d,.,0
2018,12,31,4013,d,.,0
2018,12,31,4015,d,.,0
2018,12,31,4017,d,.,0
2018,12,31,4019,d,.,0
2018,12,31,4021,d,.,0
2018,12,31,4023,d,.,0
2018,12,31,4025,d,.,0
2018,12,31,4027,d,.,0
2018,12,31,5001,d,.,0
2018,12,31,5003,d,.,0
2018,12,31,5031,d,.,0
2018,12,31,5063,d,.,0
2018,12,31,5067,d,.,0
2018,12,31,5091,d,.,0
2018,12,31,5143,d,.,0
2018,12,31,6001,d,.,0
2018,12,31,6005,d,.,0
2018,12,31,6007,d,.,0
2018,12,31,6009,d,.,0
2018,12,31,6011,d,.,0
2018,12,31,6013,d,.,0
2018,12,31,6017,d,.,0
2018,12,31,6019,d,.,0
2018,12,31,6021,d,.,0
2018,12,31,6023,d,.,0
2018,12,31,6025,d,.,0
2018,12,31,6027,d,.,0
2018,12,31,6029,d,.,0
2018,12,31,6031,d,.,0
2018,12,31,6033,d,.,0
2018,12,31,6035,d,.,0
2018,12,31,6037,d,.,0
2018,12,31,6039,d,.,0
2018,12,31,6041,d,.,0
2018,12,31,6043,d,.,0
2018,12,31,6045,d,.,0
2018,12,31,6047,d,.,0
2018,12,31,6051,d,.,0
2018,12,31,6053,d,.,0
2018,12,31,6055,d,.,0
2018,12,31,6057,d,.,0
2018,12,31,6059,d,.,0
2018,12,31,6061,d,.,0
2018,12,31,6063,d,.,0
2018,12,31,6065,d,.,0
2018,12,31,6067,d,.,0
2018,12,31,6069,d,.,0
2018,12,31,6071,d,.,0
2018,12,31,6073,d,.,0
2018,12,31,6075,d,.,0
2018,12,31,6077,d,.,0
2018,12,31,6079,d,.,0
2018,12,31,6081,d,.,0
2018,12,31,6083,d,.,0
2018,12,31,6085,d,.,0
2018,12,31,6087,d,.,0
2018,12,31,6089,d,.,0
2018,12,31,6093,d,.,0
2018,12,31,6095,d,.,0
2018,12,31,6097,d,.,0
2018,12,31,6099,d,.,0
2018,12,31,6101,d,.,0
2018,12,31,6103,d,.,0
2018,12,31,6107,d,.,0
2018,12,31,6109,d,.,0
2018,12,31,6111,d,.,0
2018,12,31,6113,d,.,0
2018,12,31,6115,d,.,0
2018,12,31,8001,d,.,0
2018,12,31,8003,d,.,0
2018,12,31,8005,d,.,0
2018,12,31,8007,d,.,0
2018,12,31,8013,d,.,0
2018,12,31,8014,d,.,0
2018,12,31,8015,d,.,0
2018,12,31,8021,d,.,0
2018,12,31,8023,d,.,0
2018,12,31,8029,d,.,0
2018,12,31,8031,d,.,0
2018,12,31,8035,d,.,0
2018,12,31,8037,d,.,0
2018,12,31,8039,d,.,0
2018,12,31,8041,d,.,0
2018,12,31,8043,d,.,0
2018,12,31,8045,d,.,0
2018,12,31,8047,d,.,0
2018,12,31,8049,d,.,0
2018,12,31,8051,d,.,0
2018,12,31,8059,d,.,0
2018,12,31,8067,d,.,0
2018,12,31,8069,d,.,0
2018,12,31,8075,d,.,0
2018,12,31,8077,d,.,0
2018,12,31,8081,d,.,0
2018,12,31,8083,d,.,0
2018,12,31,8085,d,.,0
2018,12,31,8087,d,.,0
2018,12,31,8091,d,.,0
2018,12,31,8093,d,.,0
2018,12,31,8097,d,.,0
2018,12,31,8101,d,.,0
2018,12,31,8105,d,.,0
2018,12,31,8107,d,.,0
2018,12,31,8109,d,.,0
2018,12,31,8113,d,.,0
2018,12,31,8117,d,.,0
2018,12,31,8119,d,.,0
2018,12,31,8123,d,.,0
2018,12,31,8125,d,.,0
2018,12,31,9001,d,.,0
2018,12,31,9003,d,.,0
2018,12,31,9005,d,.,0
2018,12,31,9007,d,.,0
2018,12,31,9011,d,.,0
2018,12,31,9013,d,.,0
2018,12,31,10001,d,.,0
2018,12,31,10003,d,.,0
2018,12,31,10005,d,.,0
2018,12,31,11001,d,.,0
2018,12,31,12005,d,.,0
2018,12,31,12009,d,.,0
2018,12,31,12011,d,.,0
2018,12,31,12013,d,.,0
2018,12,31,12015,d,.,0
2018,12,31,12017,d,.,0
2018,12,31,12021,d,.,0
2018,12,31,12027,d,.,0
2018,12,31,12029,d,.,0
2018,12,31,12033,d,.,0
2018,12,31,12039,d,.,0
2018,12,31,12041,d,.,0
2018,12,31,12047,d,.,0
2018,12,31,12053,d,.,0
2018,12,31,12055,d,.,0
2018,12,31,12057,d,.,0
2018,12,31,12059,d,.,0
2018,12,31,12061,d,.,0
2018,12,31,12063,d,.,0
2018,12,31,12065,d,.,0
2018,12,31,12067,d,.,0
2018,12,31,12069,d,.,0
2018,12,31,12071,d,.,0
2018,12,31,12073,d,.,0
2018,12,31,12075,d,.,0
2018,12,31,12083,d,.,0
2018,12,31,12085,d,.,0
2018,12,31,12086,d,.,0
2018,12,31,12087,d,.,0
2018,12,31,12091,d,.,0
2018,12,31,12093,d,.,0
2018,12,31,12099,d,.,0
2018,12,31,12101,d,.,0
2018,12,31,12103,d,.,0
2018,12,31,12105,d,.,0
2018,12,31,12111,d,.,0
2018,12,31,12113,d,.,0
2018,12,31,12115,d,.,0
2018,12,31,12117,d,.,0
2018,12,31,12119,d,.,0
2018,12,31,12127,d,.,0
2018,12,31,12129,d,.,0
2018,12,31,12131,d,.,0
2018,12,31,12133,d,.,0
2018,12,31,13009,d,.,0
2018,12,31,13013,d,.,0
2018,12,31,13015,d,.,0
2018,12,31,13021,d,.,0
2018,12,31,13023,d,.,0
