print_quarter,letter_date,reaction_date,release_date_basis,release_clock,call_start_clock,call_end_clock,timestamped_intraday_held
2020Q3,,,approx_qend_plus_46d,not independently established in this audit,not independently established in this audit,unavailable,False
2020Q4,2021-02-25,2021-02-26,ledger,not independently established in this audit,not independently established in this audit,unavailable,False
2021Q1,2021-05-13,2021-05-14,ledger,not independently established in this audit,not independently established in this audit,unavailable,False
2021Q2,2021-08-12,2021-08-13,ledger,not independently established in this audit,not independently established in this audit,unavailable,False
2021Q3,2021-11-04,2021-11-05,ledger,not independently established in this audit,not independently established in this audit,unavailable,False
2021Q4,2022-02-15,2022-02-16,ledger,not independently established in this audit,not independently established in this audit,unavailable,False
2022Q1,2022-05-03,2022-05-04,ledger,not independently established in this audit,not independently established in this audit,unavailable,False
2022Q2,2022-08-02,2022-08-03,ledger,not independently established in this audit,not independently established in this audit,unavailable,False
2022Q3,2022-11-01,2022-11-02,ledger,not independently established in this audit,not independently established in this audit,unavailable,False
2022Q4,2023-02-14,2023-02-15,ledger,not independently established in this audit,not independently established in this audit,unavailable,False
2023Q1,2023-05-09,2023-05-10,ledger,not independently established in this audit,not independently established in this audit,unavailable,False
2023Q2,2023-08-03,2023-08-04,ledger,not independently established in this audit,not independently established in this audit,unavailable,False
2023Q3,2023-11-01,2023-11-02,ledger,not independently established in this audit,not independently established in this audit,unavailable,False
2023Q4,2024-02-13,2024-02-14,ledger,not independently established in this audit,not independently established in this audit,unavailable,False
2024Q1,2024-05-08,2024-05-09,ledger,not independently established in this audit,not independently established in this audit,unavailable,False
2024Q2,2024-08-06,2024-08-07,ledger,not independently established in this audit,not independently established in this audit,unavailable,False
2024Q3,2024-11-07,2024-11-08,ledger,not independently established in this audit,not independently established in this audit,unavailable,False
2024Q4,2025-02-13,2025-02-14,ledger,not independently established in this audit,not independently established in this audit,unavailable,False
2025Q1,2025-05-01,2025-05-02,ledger,not independently established in this audit,not independently established in this audit,unavailable,False
2025Q2,2025-08-06,2025-08-07,ledger,not independently established in this audit,not independently established in this audit,unavailable,False
2025Q3,2025-11-06,2025-11-07,ledger,not independently established in this audit,17:00 America/New_York; primary verified,unavailable,False
2025Q4,2026-02-12,2026-02-13,ledger,not independently established in this audit,not independently established in this audit,unavailable,False
2026Q1,2026-05-07,2026-05-08,ledger,not independently established in this audit,17:00 America/New_York; primary verified,unavailable,False
2026Q2,2026-08-06,2026-08-07,ledger,not independently established in this audit,17:00 America/New_York; primary verified,unavailable,False
