register_id,vendor,period,metric,value,unit,n_estimates,as_of_timestamp,url,source_path,role,pit_usable,vendor_attributed,note,source_family,expectation_object,current_at_audit
CU-2026Q3-revenue-AlphaVantage,Alpha Vantage (aggregated sell-side panel),2026Q3,revenue,4737.0,musd,36,2026-09-11,http://www.alphavantage.co,docs/revenue-forecast-strategy/01_ground-truth/04_recent_facts.md,current,True,True,"consensus $4,737M vs guide $4,690-4,770M",LSEG/Refinitiv family; distribution channels not independent,"realized-quarter revenue, not observed guide midpoint expectation",dated retained value; no fresh estimate pull in this audit
CU-2026Q4-revenue-AlphaVantage,Alpha Vantage (aggregated sell-side panel),2026Q4,revenue,3158.0,musd,36,2026-09-11,http://www.alphavantage.co,docs/revenue-forecast-strategy/01_ground-truth/04_recent_facts.md,current,True,True,"the 36-analyst 4Q26 value; the other live 4Q26 anchor is Zacks $3,200M (4 Sep, 10 estimates)",LSEG/Refinitiv family; distribution channels not independent,"realized-quarter revenue, not observed guide midpoint expectation",dated retained value; no fresh estimate pull in this audit
PIT-2026Q3-revenue-DHPNP-20260913,DoltHub post-no-preference/earnings,2026Q3,revenue,4740.0,musd,7,2026-09-13,https://www.dolthub.com/api/v1alpha1/post-no-preference/earnings/master?q=select%20*%20from%20sales_estimate%20where%20act_symbol%20%3D%20%27ABNB%27%20order%20by%20date%2C%20period%20limit%201000%20offset%201000,data/processed/github_altdata/samples/dolthub-post-no-preference-earnings-consensus-vintages/sales_estimate_ABNB_BKNG_EXPE.csv,pit_history,True,True,weekly Sunday snapshot; slot=Current Quarter; high 4770.0 / low 4720.0 / year_ago 4100.0; mirror of the Zacks free-page consensus (13 Sep 2026 snapshot equals the 11 Sep Zacks capture in this register to the dollar and count); provenance verified,"Zacks family; DoltHub is a mirror, not independent","realized-quarter revenue, not observed guide midpoint expectation",dated retained value; no fresh estimate pull in this audit
PIT-2026Q4-revenue-DHPNP-20260913,DoltHub post-no-preference/earnings,2026Q4,revenue,3200.0,musd,10,2026-09-13,https://www.dolthub.com/api/v1alpha1/post-no-preference/earnings/master?q=select%20*%20from%20sales_estimate%20where%20act_symbol%20%3D%20%27ABNB%27%20order%20by%20date%2C%20period%20limit%201000%20offset%201000,data/processed/github_altdata/samples/dolthub-post-no-preference-earnings-consensus-vintages/sales_estimate_ABNB_BKNG_EXPE.csv,pit_history,True,True,weekly Sunday snapshot; slot=Next Quarter; high 3700.0 / low 3050.0 / year_ago 2780.0; mirror of the Zacks free-page consensus (13 Sep 2026 snapshot equals the 11 Sep Zacks capture in this register to the dollar and count); provenance verified,"Zacks family; DoltHub is a mirror, not independent","realized-quarter revenue, not observed guide midpoint expectation",dated retained value; no fresh estimate pull in this audit
CU-2026Q3-revenue-MarketBeatFiscalAI-20260911,MarketBeat (Fiscal.ai),2026Q3,revenue,4600.0,musd,2,2026-09-11,https://www.marketbeat.com/stocks/NASDAQ/ABNB/earnings/,data/raw/consensus/2026-09-11/marketbeat_forecast_ABNB.csv,current,False,True,"QUARANTINED, DO NOT USE AS A STREET LEVEL. pit_usable=False is set here for DATA QUALITY, not for a missing vintage. Fiscal.ai panel via MarketBeat is 2 analysts, rounded to 0.1B, sits ~140M BELOW every other vendor today, and sits BELOW Airbnb's own 3Q26 guide floor of 4.7B shown in the adjacent column of the same table - not a coherent Street position 8 weeks post-guide. Same table also misprints 4Q24 actual revenue as 1.90B (true 2.48B).",Other / not promoted,"realized-quarter revenue, not observed guide midpoint expectation",dated retained value; no fresh estimate pull in this audit
CU-2026Q3-revenue-SPGlobal-20260910,S&P Global Market Intelligence via StockAnalysis,2026Q3,revenue,4740.0,musd,35,2026-09-10,https://stockanalysis.com/stocks/abnb/forecast/,data/raw/consensus/2026-09-11/stockanalysis_forecast_ABNB.csv,current,True,True,"vendor-stated 'Last updated: Sep 10, 2026'. Quarterly tab.",S&P stated family; not independently refreshed quarterly on Sep13,"realized-quarter revenue, not observed guide midpoint expectation",dated retained value; no fresh estimate pull in this audit
CU-2026Q4-revenue-SPGlobal-20260910,S&P Global Market Intelligence via StockAnalysis,2026Q4,revenue,3160.0,musd,35,2026-09-10,https://stockanalysis.com/stocks/abnb/forecast/,data/raw/consensus/2026-09-11/stockanalysis_forecast_ABNB.csv,current,True,True,"vendor-stated 'Last updated: Sep 10, 2026'. Quarterly tab. Agrees with Yahoo 3160 against Zacks 3200.",S&P stated family; not independently refreshed quarterly on Sep13,"realized-quarter revenue, not observed guide midpoint expectation",dated retained value; no fresh estimate pull in this audit
CU-2026Q3-revenue-Yahoo-20260911,Yahoo Finance,2026Q3,revenue,4740.0,musd,35,2026-09-11,https://finance.yahoo.com/quote/ABNB/analysis/,data/raw/consensus/2026-09-11/yahoo_finance_analysis_ABNB.csv,current,True,True,high 4790 / low 4680; YoY +15.87%. SHARED PANEL: Yahoo's high/low match Alpha Vantage's to the dollar - same LSEG/Refinitiv-family feed. Do NOT count Yahoo and Alpha Vantage as two independent vendors for dispersion.,LSEG/Refinitiv family; distribution channels not independent,"realized-quarter revenue, not observed guide midpoint expectation",dated retained value; no fresh estimate pull in this audit
CU-2026Q4-revenue-Yahoo-20260911,Yahoo Finance,2026Q4,revenue,3160.0,musd,35,2026-09-11,https://finance.yahoo.com/quote/ABNB/analysis/,data/raw/consensus/2026-09-11/yahoo_finance_analysis_ABNB.csv,current,True,True,high 3220 / low 3050; YoY +13.77%. SHARED PANEL: Yahoo's high/low match Alpha Vantage's to the dollar - same LSEG/Refinitiv-family feed. Do NOT count Yahoo and Alpha Vantage as two independent vendors for dispersion.,LSEG/Refinitiv family; distribution channels not independent,"realized-quarter revenue, not observed guide midpoint expectation",dated retained value; no fresh estimate pull in this audit
CU-2026Q3-revenue-Yahoo-20260913T1520Z,Yahoo Finance (LSEG family),2026Q3,revenue,4744.88187,musd,36,2026-09-13T15:20Z,https://finance.yahoo.com/quote/ABNB/analysis/,data/processed/forecast_methods/consensus_stamp_v2/capture_20260913T152058Z/yfinance_revenue_estimate.csv,current,True,True,"capture_method=yfinance.Ticker(ABNB).revenue_estimate; captured_utc=2026-09-13T15:20:58Z; source_period=0q; high=4792.0; low=4677.0; same LSEG-family panel as Alpha Vantage, count once. USD source converted to USD millions exactly.",LSEG/Refinitiv family; distribution channels not independent,"realized-quarter revenue, not observed guide midpoint expectation",dated retained value; no fresh estimate pull in this audit
