source,window,feature,quarter,vintage_date,n_train,n_params,pred_growth,actual_growth,legacy_naive_growth,pred_nights_m,actual_nights_m,harness_naive_nights_m,harness_ar1_nights_m,harness_trailing4_nights_m,historical_pit_admissible,admission_reason
legacy_cached_features,W1,ntto_total_full,2023Q4,2023-11-01,4,2,10.80390866468977,12.018,13.541,97.72904744225637,98.8,100.14282848545638,104.50396291966163,102.1590978080877,False,current-quarter feature and historical release vintages unavailable at guide date
legacy_cached_features,W1,ntto_total_full,2024Q1,2024-02-13,5,2,11.336649630843963,9.496,12.018,134.82868270295202,132.6,135.65396825396826,140.71563403583323,137.800059014171,False,current-quarter feature and historical release vintages unavailable at guide date
legacy_cached_features,W1,ntto_total_full,2024Q2,2024-05-08,6,2,10.636663573613042,8.688,9.496,127.3427997732286,125.1,126.0302229562345,130.37936770370075,128.35039725366184,False,current-quarter feature and historical release vintages unavailable at guide date
legacy_cached_features,W1,ntto_total_full,2024Q3,2024-08-06,7,2,10.04970712326019,8.481,8.688,124.57626846353054,122.8,123.03492615117291,126.68005187930835,125.57930970236572,False,current-quarter feature and historical release vintages unavailable at guide date
legacy_cached_features,W1,ntto_total_full,2024Q4,2024-11-07,8,2,9.712788458316158,12.348,8.481,108.39623499681636,111.0,107.17879858657243,109.89373536498411,108.35472257052031,False,current-quarter feature and historical release vintages unavailable at guide date
legacy_cached_features,W1,ntto_total_full,2025Q1,2025-02-13,9,2,9.952383329009642,7.919,12.348,145.7968602942668,143.1,148.97368421052633,151.33452936913616,145.53285089709826,False,current-quarter feature and historical release vintages unavailable at guide date
legacy_cached_features,W1,ntto_total_full,2025Q2,2025-05-01,10,2,9.578374321806034,7.434,7.919,137.08254627657934,134.4,135.00610859728505,137.985013038108,136.8079191143271,False,current-quarter feature and historical release vintages unavailable at guide date
legacy_cached_features,W1,ntto_total_full,2025Q3,2025-08-06,11,2,9.12160473566519,8.795,7.434,134.00133061539685,133.6,131.92901678657077,134.61302590867743,133.9076739289195,False,current-quarter feature and historical release vintages unavailable at guide date
legacy_cached_features,W1,ntto_total_full,2025Q4,2025-11-06,12,2,9.183070684585562,9.82,8.795,121.19320845988999,121.9,120.76221498371336,122.70011284022125,121.12752100945976,False,current-quarter feature and historical release vintages unavailable at guide date
legacy_cached_features,W1,ntto_total_full,2026Q1,2026-02-12,13,2,9.406630076893261,9.154,9.82,156.56088764003425,156.2,157.15216216216217,159.18152081317808,155.2517704104775,False,current-quarter feature and historical release vintages unavailable at guide date
legacy_cached_features,W1,ntto_total_full,2026Q2,2026-05-07,14,2,9.385478372050294,10.342,9.154,147.01408293203562,148.3,146.7035639412998,148.62363847098032,146.22824103133797,False,current-quarter feature and historical release vintages unavailable at guide date
legacy_cached_features,W1,ntto_total_qtd1m,2023Q4,2023-11-01,4,2,6.243370464820792,12.018,13.541,93.70665274997195,98.8,100.14282848545638,104.50396291966163,102.1590978080877,False,current-quarter feature and historical release vintages unavailable at guide date
legacy_cached_features,W1,ntto_total_qtd1m,2024Q1,2024-02-13,5,2,10.193969922952506,9.496,12.018,133.4448975766955,132.6,135.65396825396826,140.71563403583323,137.800059014171,False,current-quarter feature and historical release vintages unavailable at guide date
legacy_cached_features,W1,ntto_total_qtd1m,2024Q2,2024-05-08,6,2,9.726961630228354,8.688,9.496,126.29573283639282,125.1,126.0302229562345,130.37936770370075,128.35039725366184,False,current-quarter feature and historical release vintages unavailable at guide date
legacy_cached_features,W1,ntto_total_qtd1m,2024Q3,2024-08-06,7,2,9.452491289130114,8.481,8.688,123.90022013929529,122.8,123.03492615117291,126.68005187930835,125.57930970236572,False,current-quarter feature and historical release vintages unavailable at guide date
legacy_cached_features,W1,ntto_total_qtd1m,2024Q4,2024-11-07,8,2,9.15211804311188,12.348,8.481,107.84229262659454,111.0,107.17879858657243,109.89373536498411,108.35472257052031,False,current-quarter feature and historical release vintages unavailable at guide date
legacy_cached_features,W1,ntto_total_qtd1m,2025Q1,2025-02-13,9,2,9.782295749538555,7.919,12.348,145.5713241638881,143.1,148.97368421052633,151.33452936913616,145.53285089709826,False,current-quarter feature and historical release vintages unavailable at guide date
legacy_cached_features,W1,ntto_total_qtd1m,2025Q2,2025-05-01,10,2,9.401756315149063,7.434,7.919,136.86159715025147,134.4,135.00610859728505,137.985013038108,136.8079191143271,False,current-quarter feature and historical release vintages unavailable at guide date
legacy_cached_features,W1,ntto_total_qtd1m,2025Q3,2025-08-06,11,2,8.821670509160516,8.795,7.434,133.63301138524912,133.6,131.92901678657077,134.61302590867743,133.9076739289195,False,current-quarter feature and historical release vintages unavailable at guide date
legacy_cached_features,W1,ntto_total_qtd1m,2025Q4,2025-11-06,12,2,8.902173153485096,9.82,8.795,120.88141220036846,121.9,120.76221498371336,122.70011284022125,121.12752100945976,False,current-quarter feature and historical release vintages unavailable at guide date
legacy_cached_features,W1,ntto_total_qtd1m,2026Q1,2026-02-12,13,2,9.080634244870147,9.154,9.82,156.09438760440918,156.2,157.15216216216217,159.18152081317808,155.2517704104775,False,current-quarter feature and historical release vintages unavailable at guide date
legacy_cached_features,W1,ntto_total_qtd1m,2026Q2,2026-05-07,14,2,9.032200069262348,10.342,9.154,146.5392768930886,148.3,146.7035639412998,148.62363847098032,146.22824103133797,False,current-quarter feature and historical release vintages unavailable at guide date
legacy_cached_features,W1,ntto_overseas_qtd1m,2023Q4,2023-11-01,4,2,8.108097555140885,12.018,13.541,95.35134204363426,98.8,100.14282848545638,104.50396291966163,102.1590978080877,False,current-quarter feature and historical release vintages unavailable at guide date
legacy_cached_features,W1,ntto_overseas_qtd1m,2024Q1,2024-02-13,5,2,10.637390097802104,9.496,12.018,133.98187940843835,132.6,135.65396825396826,140.71563403583323,137.800059014171,False,current-quarter feature and historical release vintages unavailable at guide date
legacy_cached_features,W1,ntto_overseas_qtd1m,2024Q2,2024-05-08,6,2,9.926492479971117,8.688,9.496,126.52539284444676,125.1,126.0302229562345,130.37936770370075,128.35039725366184,False,current-quarter feature and historical release vintages unavailable at guide date
legacy_cached_features,W1,ntto_overseas_qtd1m,2024Q3,2024-08-06,7,2,9.56192277910513,8.481,8.688,124.024096585947,122.8,123.03492615117291,126.68005187930835,125.57930970236572,False,current-quarter feature and historical release vintages unavailable at guide date
legacy_cached_features,W1,ntto_overseas_qtd1m,2024Q4,2024-11-07,8,2,9.248861180515108,12.348,8.481,107.93787484634893,111.0,107.17879858657243,109.89373536498411,108.35472257052031,False,current-quarter feature and historical release vintages unavailable at guide date
legacy_cached_features,W1,ntto_overseas_qtd1m,2025Q1,2025-02-13,9,2,9.823712574647349,7.919,12.348,145.6262428739824,143.1,148.97368421052633,151.33452936913616,145.53285089709826,False,current-quarter feature and historical release vintages unavailable at guide date
legacy_cached_features,W1,ntto_overseas_qtd1m,2025Q2,2025-05-01,10,2,9.572830846720155,7.434,7.919,137.07561138924692,134.4,135.00610859728505,137.985013038108,136.8079191143271,False,current-quarter feature and historical release vintages unavailable at guide date
legacy_cached_features,W1,ntto_overseas_qtd1m,2025Q3,2025-08-06,11,2,9.06311447978053,8.795,7.434,133.92950458117048,133.6,131.92901678657077,134.61302590867743,133.9076739289195,False,current-quarter feature and historical release vintages unavailable at guide date
legacy_cached_features,W1,ntto_overseas_qtd1m,2025Q4,2025-11-06,12,2,9.02895759829223,9.82,8.795,121.02214293410438,121.9,120.76221498371336,122.70011284022125,121.12752100945976,False,current-quarter feature and historical release vintages unavailable at guide date
legacy_cached_features,W1,ntto_overseas_qtd1m,2026Q1,2026-02-12,13,2,9.095556040991061,9.154,9.82,156.1157406946582,156.2,157.15216216216217,159.18152081317808,155.2517704104775,False,current-quarter feature and historical release vintages unavailable at guide date
legacy_cached_features,W1,ntto_overseas_qtd1m,2026Q2,2026-05-07,14,2,8.905943863572261,10.342,9.154,146.36958855264112,148.3,146.7035639412998,148.62363847098032,146.22824103133797,False,current-quarter feature and historical release vintages unavailable at guide date
legacy_cached_features,W2,ntto_total_full,2024Q1,2024-02-13,4,2,11.115361258301267,9.496,12.018,134.56070248380283,132.6,135.65396825396826,140.71563403583323,137.800059014171,False,current-quarter feature and historical release vintages unavailable at guide date
legacy_cached_features,W2,ntto_total_full,2024Q2,2024-05-08,5,2,10.241875338137296,8.688,9.496,126.88839851419603,125.1,126.0302229562345,130.37936770370075,128.35039725366184,False,current-quarter feature and historical release vintages unavailable at guide date
legacy_cached_features,W2,ntto_total_full,2024Q3,2024-08-06,6,2,9.617321369841342,8.481,8.688,124.0868077906604,122.8,123.03492615117291,126.68005187930835,125.57930970236572,False,current-quarter feature and historical release vintages unavailable at guide date
