series,period,destination,origin,origin_basis,metric,unit,value,published_on,publication_basis,release_source_url,knowable_from,pit_usable,vintage_basis,source_url
ine_frontur,2018-01,ES,Belgium. Tourist. Base data. National Total.,residence,international_tourists,persons,131383.0,,unknown_exact_release_date,https://www.ine.es/dyngs/Prensa/en/FRONTUR0726.htm,2026-09-13,False,current_download; historical_release_values_not_verified,https://servicios.ine.es/wstempus/js/EN/DATOS_TABLA/75719?nult=200
ine_frontur,2018-01,ES,France. Tourist. Base data. National Total.,residence,international_tourists,persons,489063.0,,unknown_exact_release_date,https://www.ine.es/dyngs/Prensa/en/FRONTUR0726.htm,2026-09-13,False,current_download; historical_release_values_not_verified,https://servicios.ine.es/wstempus/js/EN/DATOS_TABLA/75719?nult=200
ine_frontur,2018-01,ES,Germany. Tourist. Base data. National Total.,residence,international_tourists,persons,502305.0,,unknown_exact_release_date,https://www.ine.es/dyngs/Prensa/en/FRONTUR0726.htm,2026-09-13,False,current_download; historical_release_values_not_verified,https://servicios.ine.es/wstempus/js/EN/DATOS_TABLA/75719?nult=200
ine_frontur,2018-01,ES,Ireland. Tourist. Base data. National Total.,residence,international_tourists,persons,80430.0,,unknown_exact_release_date,https://www.ine.es/dyngs/Prensa/en/FRONTUR0726.htm,2026-09-13,False,current_download; historical_release_values_not_verified,https://servicios.ine.es/wstempus/js/EN/DATOS_TABLA/75719?nult=200
ine_frontur,2018-01,ES,Italy. Tourist. Base data. National Total.,residence,international_tourists,persons,259393.0,,unknown_exact_release_date,https://www.ine.es/dyngs/Prensa/en/FRONTUR0726.htm,2026-09-13,False,current_download; historical_release_values_not_verified,https://servicios.ine.es/wstempus/js/EN/DATOS_TABLA/75719?nult=200
ine_frontur,2018-01,ES,Netherlands. Tourist. Base data. National Total.,residence,international_tourists,persons,160700.0,,unknown_exact_release_date,https://www.ine.es/dyngs/Prensa/en/FRONTUR0726.htm,2026-09-13,False,current_download; historical_release_values_not_verified,https://servicios.ine.es/wstempus/js/EN/DATOS_TABLA/75719?nult=200
ine_frontur,2018-01,ES,Nordic Countries. Tourist. Base data. National Total.,residence,international_tourists,persons,426310.0,,unknown_exact_release_date,https://www.ine.es/dyngs/Prensa/en/FRONTUR0726.htm,2026-09-13,False,current_download; historical_release_values_not_verified,https://servicios.ine.es/wstempus/js/EN/DATOS_TABLA/75719?nult=200
ine_frontur,2018-01,ES,Other countries. Tourist. Base data. National Total.,residence,international_tourists,persons,288154.0,,unknown_exact_release_date,https://www.ine.es/dyngs/Prensa/en/FRONTUR0726.htm,2026-09-13,False,current_download; historical_release_values_not_verified,https://servicios.ine.es/wstempus/js/EN/DATOS_TABLA/75719?nult=200
ine_frontur,2018-01,ES,Portugal. Tourist. Base data. National Total.,residence,international_tourists,persons,116255.0,,unknown_exact_release_date,https://www.ine.es/dyngs/Prensa/en/FRONTUR0726.htm,2026-09-13,False,current_download; historical_release_values_not_verified,https://servicios.ine.es/wstempus/js/EN/DATOS_TABLA/75719?nult=200
ine_frontur,2018-01,ES,Rest of  America. Tourist. Base data. National Total.,residence,international_tourists,persons,241214.0,,unknown_exact_release_date,https://www.ine.es/dyngs/Prensa/en/FRONTUR0726.htm,2026-09-13,False,current_download; historical_release_values_not_verified,https://servicios.ine.es/wstempus/js/EN/DATOS_TABLA/75719?nult=200
ine_frontur,2018-01,ES,Resto de Europa. Tourist. Base data. National Total.,residence,international_tourists,persons,333146.0,,unknown_exact_release_date,https://www.ine.es/dyngs/Prensa/en/FRONTUR0726.htm,2026-09-13,False,current_download; historical_release_values_not_verified,https://servicios.ine.es/wstempus/js/EN/DATOS_TABLA/75719?nult=200
ine_frontur,2018-01,ES,Russia. Tourist. Base data. National Total.,residence,international_tourists,persons,67994.0,,unknown_exact_release_date,https://www.ine.es/dyngs/Prensa/en/FRONTUR0726.htm,2026-09-13,False,current_download; historical_release_values_not_verified,https://servicios.ine.es/wstempus/js/EN/DATOS_TABLA/75719?nult=200
ine_frontur,2018-01,ES,Switzerland. Tourist. Base data. National Total.,residence,international_tourists,persons,92196.0,,unknown_exact_release_date,https://www.ine.es/dyngs/Prensa/en/FRONTUR0726.htm,2026-09-13,False,current_download; historical_release_values_not_verified,https://servicios.ine.es/wstempus/js/EN/DATOS_TABLA/75719?nult=200
