parameter,value,label,source
"reported nights, 1Q24 to 2Q26",disclosed quarterly series,sourced,"main tree data/processed/overnight/02_kpi_panel_quarterly.csv, reconciling to the Airbnb quarterly summaries"
3Q26 and 4Q26 baseline reported nights,"146.8mm and 132.7mm, +9.89% and +8.90%",sourced,"research/notes/2026-09-10_nights-baseline-reconciliation.md, team reconciled baseline"
"RNPL GBV share, 1Q26",roughly 20%,sourced,"ledger D031, official 1Q26 shareholder letter"
"RNPL GBV share, 2Q26","over 20%, used at 21%",sourced lower bound,"ledger D043, 2Q26 call via stockanalysis.com mirror; the official letter carries no share"
"RNPL GBV share, 3Q25 and 4Q25","4% and 9% central, 2.5 to 6 and 7 to 12 range",assumed,no quarterly 2025 share has ever been disclosed. The 4Q25 'over 70% adoption by eligible bookings' figure is a share of eligible bookings on a GBV basis and cannot be used here
"RNPL GBV share, 3Q26 and 4Q26","22% and 23% central, 21/21 flat to 25/27 high",assumed,"direction supported by the July 2026 eligibility expansion, ledger D044, and continued expansion language in the 2Q26 letter"
RNPL to non-RNPL ADR ratio,"1.00, 1.15, 1.25","direction sourced, magnitude assumed","ledger D016, D033, D045: mix shift to larger entire homes, especially four or more bedrooms, and a contribution to the ADR increase. The ratio itself is undisclosed"
GBV share to nights share conversion,p = s / (r(1-s) + s),derived,research/notes/2026-09-10_rnpl-conversion-framework.md section 3
baseline lifetime cancellation rate,16% of booked nights,sourced with an unstated unit of account,"ledger D018: 'an average of maybe 16% cancellation rate historically'. Not stated to be per night, per booking or per dollar, and no base period given"
incremental RNPL cancellation propensity,"0, +1, +2, +4 points, plus management-implied",scenario grid,"the four fixed values are the task's grid. Management-implied is 1.0 divided by the RNPL nights share, from the 16 to 17 platform remark, ledger D017 and D018"
mean booking-to-check-in lead time,"2.2 months central, 1.8 to 3.0 range",derived from disclosure,"Little's Law on the unearned-fee pool. Opening unearned fees over quarterly revenue is 0.66x to 0.88x for 2025, so mean residence of a booked-but-unstayed fee is 2.0 to 2.6 months. Table from origin/jessie/backlog-conversion via research/notes/2026-09-05_eu-platform-and-backlog.md section 3b"
lead-time distribution shape,shifted geometric in whole months,assumed,Airbnb has never published a lead-time distribution. Only the mean is anchored
RNPL lead-time uplift,"0%, 7%, 15%","direction sourced, magnitude assumed","lengthening disclosed in every print from 3Q25, ledger D010, D016, D039, D045. The only quantified y/y lead-time move on record is minus 7% in April 2025, pre-RNPL, ledger D011"
excess cancellations recognised in the stay month,"85%, remainder in the prior month","window sourced, split assumed","RNPL payment falls due shortly before the end of the free cancellation period, ledger D002, and that window is 24 hours to 14 days before check-in, ledger D012"
baseline cancellations recognised in the booking month,25%,"mechanism sourced, magnitude assumed","the 24-hour full-refund grace period for bookings made more than 7 days ahead, ledger D012. Held constant across runs and years, so close to y/y neutral"
same-quarter net rebooking offset,"0%, 25%, 50%","mechanism sourced, magnitude assumed","ledger D002 and D046. The calendar pilot's 32 to 44% reclosure of reopened short-run dates is a descriptive lead, not a measured rebooking rate"
within-quarter monthly split of bookings,equal thirds,assumed,"only quarterly aggregates are reported on, so the split affects only cross-quarter spill at the margin"
North America share of total nights,28.8%,sourced,"main tree data/processed/overnight/02_kpi_panel_quarterly.csv, na_share_of_nights_pct"
PR #32 fitted product terms,"RNPL +2.40 pts NA, fee and cancellation redesign +2.29 pts NA, ex-NA lap switch 1.75 pts of total nights","sourced from a team model, not from disclosure","origin/krish/nights-quarterly, research/notes/nights_quarterly.md and data/processed/nights_quarterly_na.csv and nights_quarterly_total.csv. Two free parameters fitted on four WS10 NA estimates"
