share_path,adr_ratio,delta_scenario,delta_pp_applied,lead_time,lead_uplift,rebook_offset,rnpl_nights_share_1q26_pct,rnpl_nights_share_3q26_pct,rnpl_nights_share_4q26_pct,3Q26_nights_delta_mm,3Q26_prior_year_delta_mm,3Q26_growth_delta_pts,3Q26_nights_mm,3Q26_growth_pct,4Q26_nights_delta_mm,4Q26_prior_year_delta_mm,4Q26_growth_delta_pts,4Q26_nights_mm,4Q26_growth_pct
share_central,adr_equal,delta_0pp,0.0,lead_1.8,uplift_0,0.0,20.0,22.0,23.0,0.0,0.0,0.0,146.8,9.89,0.0,0.0,0.0,132.7,8.9
share_central,adr_equal,delta_0pp,0.0,lead_1.8,uplift_0,0.25,20.0,22.0,23.0,0.0,0.0,0.0,146.8,9.89,0.0,0.0,0.0,132.7,8.9
share_central,adr_equal,delta_0pp,0.0,lead_1.8,uplift_0,0.5,20.0,22.0,23.0,0.0,0.0,0.0,146.8,9.89,0.0,0.0,0.0,132.7,8.9
share_central,adr_equal,delta_0pp,0.0,lead_1.8,uplift_7,0.0,20.0,22.0,23.0,0.0,0.0,0.0,146.8,9.89,0.0,0.0,0.0,132.7,8.9
share_central,adr_equal,delta_0pp,0.0,lead_1.8,uplift_7,0.25,20.0,22.0,23.0,0.0,0.0,0.0,146.8,9.89,0.0,0.0,0.0,132.7,8.9
share_central,adr_equal,delta_0pp,0.0,lead_1.8,uplift_7,0.5,20.0,22.0,23.0,0.0,0.0,0.0,146.8,9.89,0.0,0.0,0.0,132.7,8.9
share_central,adr_equal,delta_0pp,0.0,lead_1.8,uplift_15,0.0,20.0,22.0,23.0,0.0,0.0,0.0,146.8,9.89,0.0,0.0,0.0,132.7,8.9
share_central,adr_equal,delta_0pp,0.0,lead_1.8,uplift_15,0.25,20.0,22.0,23.0,0.0,0.0,0.0,146.8,9.89,0.0,0.0,0.0,132.7,8.9
share_central,adr_equal,delta_0pp,0.0,lead_1.8,uplift_15,0.5,20.0,22.0,23.0,0.0,0.0,0.0,146.8,9.89,0.0,0.0,0.0,132.7,8.9
share_central,adr_equal,delta_0pp,0.0,lead_2.2,uplift_0,0.0,20.0,22.0,23.0,0.0,0.0,0.0,146.8,9.89,0.0,0.0,0.0,132.7,8.9
share_central,adr_equal,delta_0pp,0.0,lead_2.2,uplift_0,0.25,20.0,22.0,23.0,0.0,0.0,0.0,146.8,9.89,0.0,0.0,0.0,132.7,8.9
