series,period,destination,origin,origin_basis,metric,unit,value,published_on,publication_basis,release_source_url,knowable_from,pit_usable,vintage_basis,source_url
eurostat_platform_FR,2018-01,FR,DOM,residence_domestic_foreign_total,platform_guest_nights,guest_nights,1754911.0,,unknown_exact_release_date,https://ec.europa.eu/eurostat/web/tourism/,2026-09-13,False,current_download; historical_release_values_not_verified,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/tour_ce_omr?lang=en&geo=FR&indic_to=NGT_SP&unit=NR
eurostat_platform_FR,2018-01,FR,FOR,residence_domestic_foreign_total,platform_guest_nights,guest_nights,1366466.0,,unknown_exact_release_date,https://ec.europa.eu/eurostat/web/tourism/,2026-09-13,False,current_download; historical_release_values_not_verified,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/tour_ce_omr?lang=en&geo=FR&indic_to=NGT_SP&unit=NR
eurostat_platform_FR,2018-01,FR,TOTAL,residence_domestic_foreign_total,platform_guest_nights,guest_nights,3121377.0,,unknown_exact_release_date,https://ec.europa.eu/eurostat/web/tourism/,2026-09-13,False,current_download; historical_release_values_not_verified,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/tour_ce_omr?lang=en&geo=FR&indic_to=NGT_SP&unit=NR
eurostat_platform_FR,2018-02,FR,DOM,residence_domestic_foreign_total,platform_guest_nights,guest_nights,2664055.0,,unknown_exact_release_date,https://ec.europa.eu/eurostat/web/tourism/,2026-09-13,False,current_download; historical_release_values_not_verified,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/tour_ce_omr?lang=en&geo=FR&indic_to=NGT_SP&unit=NR
eurostat_platform_FR,2018-02,FR,FOR,residence_domestic_foreign_total,platform_guest_nights,guest_nights,1534911.0,,unknown_exact_release_date,https://ec.europa.eu/eurostat/web/tourism/,2026-09-13,False,current_download; historical_release_values_not_verified,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/tour_ce_omr?lang=en&geo=FR&indic_to=NGT_SP&unit=NR
eurostat_platform_FR,2018-02,FR,TOTAL,residence_domestic_foreign_total,platform_guest_nights,guest_nights,4198966.0,,unknown_exact_release_date,https://ec.europa.eu/eurostat/web/tourism/,2026-09-13,False,current_download; historical_release_values_not_verified,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/tour_ce_omr?lang=en&geo=FR&indic_to=NGT_SP&unit=NR
eurostat_platform_FR,2018-03,FR,DOM,residence_domestic_foreign_total,platform_guest_nights,guest_nights,2675723.0,,unknown_exact_release_date,https://ec.europa.eu/eurostat/web/tourism/,2026-09-13,False,current_download; historical_release_values_not_verified,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/tour_ce_omr?lang=en&geo=FR&indic_to=NGT_SP&unit=NR
eurostat_platform_FR,2018-03,FR,FOR,residence_domestic_foreign_total,platform_guest_nights,guest_nights,2157557.0,,unknown_exact_release_date,https://ec.europa.eu/eurostat/web/tourism/,2026-09-13,False,current_download; historical_release_values_not_verified,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/tour_ce_omr?lang=en&geo=FR&indic_to=NGT_SP&unit=NR
eurostat_platform_FR,2018-03,FR,TOTAL,residence_domestic_foreign_total,platform_guest_nights,guest_nights,4833280.0,,unknown_exact_release_date,https://ec.europa.eu/eurostat/web/tourism/,2026-09-13,False,current_download; historical_release_values_not_verified,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/tour_ce_omr?lang=en&geo=FR&indic_to=NGT_SP&unit=NR
eurostat_platform_FR,2018-04,FR,DOM,residence_domestic_foreign_total,platform_guest_nights,guest_nights,3387961.0,,unknown_exact_release_date,https://ec.europa.eu/eurostat/web/tourism/,2026-09-13,False,current_download; historical_release_values_not_verified,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/tour_ce_omr?lang=en&geo=FR&indic_to=NGT_SP&unit=NR
eurostat_platform_FR,2018-04,FR,FOR,residence_domestic_foreign_total,platform_guest_nights,guest_nights,2155422.0,,unknown_exact_release_date,https://ec.europa.eu/eurostat/web/tourism/,2026-09-13,False,current_download; historical_release_values_not_verified,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/tour_ce_omr?lang=en&geo=FR&indic_to=NGT_SP&unit=NR
eurostat_platform_FR,2018-04,FR,TOTAL,residence_domestic_foreign_total,platform_guest_nights,guest_nights,5543383.0,,unknown_exact_release_date,https://ec.europa.eu/eurostat/web/tourism/,2026-09-13,False,current_download; historical_release_values_not_verified,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/tour_ce_omr?lang=en&geo=FR&indic_to=NGT_SP&unit=NR
eurostat_platform_FR,2018-05,FR,DOM,residence_domestic_foreign_total,platform_guest_nights,guest_nights,3901990.0,,unknown_exact_release_date,https://ec.europa.eu/eurostat/web/tourism/,2026-09-13,False,current_download; historical_release_values_not_verified,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/tour_ce_omr?lang=en&geo=FR&indic_to=NGT_SP&unit=NR
eurostat_platform_FR,2018-05,FR,FOR,residence_domestic_foreign_total,platform_guest_nights,guest_nights,2895952.0,,unknown_exact_release_date,https://ec.europa.eu/eurostat/web/tourism/,2026-09-13,False,current_download; historical_release_values_not_verified,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/tour_ce_omr?lang=en&geo=FR&indic_to=NGT_SP&unit=NR
