scenario,year,revenue,nights,gbv,cor,ops,pd,bpm,fop,ga,nb_cost,ai_cost,cash_costs,addbacks,adj_uncapped,adj_ebitda,margin,sbc,da,op_income,pretax,net_income,eps,interest_income,interest_expense,cash_taxes,d_unearned,capex,wc_resid,fcf,sbc_adj_fcf,buybacks,withholding,price,opening_cash,delta_fcf,delta_buybacks,delta_withholding,net_cash,opening_shares,buyback_shares,issuance_shares,shares
review_with_k,2026,14273.70658378032,583.1,105416.882,2408.539056429354,1285.6096904315198,1484.0700000000002,1993.75,921.5799999999999,1090.38,8.422559940396688,0.0,9192.35130680127,128.46335925402286,5209.8186362330725,5209.8186362330725,0.3649940963584862,1786.5299999999997,99.91594608646224,3294.8252769790497,3834.8252769790497,3106.2084743530304,5.275041716718789,660.0,120.0,371.1163711782883,0.0,42.82111975134096,-157.0107724215835,5178.87037288186,3392.3403728818603,4200.0,625.2854999999998,181.94,9593.0,2221.87037288186,2061.0,320.28549999999984,9433.58487288186,597.0,11.327910300098933,3.1779405298450034,588.850030229746
review_with_k,2027,15952.233240744836,634.815255449984,117859.51573801387,2692.825299337316,1329.6491370918313,1632.4770000000003,2312.75,1050.6012,1150.3509000000001,58.998795545192756,60.61848631483038,10288.270818289171,143.5700991667035,5807.532521622368,5807.532521622368,0.36405764847951816,1965.1829999999998,111.66563268521385,3698.7794224556646,4193.779422455665,3355.023537964532,5.838903889818897,620.0,125.0,542.3759301853245,0.0,47.85669972223451,-175.4745656481932,5536.825326066617,3571.642326066617,4000.0,687.8140499999998,191.037,9433.58487288186,5536.825326066617,4000.0,687.8140499999998,10282.596148948478,588.850030229746,20.938352256369186,6.686500259112107,574.598178232489
review_with_k,2028,18071.97624462258,682.1167727759473,129807.53159538114,2950.9815810889954,1357.2880802790019,1787.5623150000004,2624.97125,1176.6733440000003,1207.8684450000003,149.66858377950746,139.15421708359386,11394.1678162311,162.6477862016032,6840.456214593083,6840.456214593083,0.37851179760312603,2122.3976399999997,126.50383371235806,4555.41078839148,5020.41078839148,4016.3286307131843,7.152417360642037,590.0,125.0,722.8790497849031,0.0,54.21592873386774,-198.79173869084838,6329.569497383463,4207.171857383464,4000.0,742.8391739999998,200.58885,10282.596148948478,6329.569497383463,4000.0,742.8391739999998,11869.32647233194,574.598178232489,19.941287863208746,6.877543123658169,561.5344334929384
review_without_k,2026,14270.28936710496,583.1,105291.276,2405.66924135816,1285.6096904315198,1484.0700000000002,1993.75,921.5799999999999,1090.38,8.422559940396688,0.0,9189.481491730077,128.43260430394463,5209.240479678828,5209.240479678828,0.3650409845007674,1786.5299999999997,99.89202556973473,3294.2778753748835,3834.2778753748835,3105.765079053656,5.274288731617979,660.0,120.0,371.027523544729,0.0,42.81086810131488,-156.97318303815456,5178.42890499463,3391.8989049946304,4200.0,625.2854999999998,181.94,9593.0,2221.42890499463,2061.0,320.28549999999984,9433.143404994631,597.0,11.327910300098933,3.1779405298450034,588.850030229746
review_without_k,2027,15939.53130946185,634.815255449984,117718.5219212887,2689.60390720491,1329.6491370918313,1632.4770000000003,2312.75,1050.6012,1150.3509000000001,58.998795545192756,60.57021897595503,10285.00115881789,143.45578178515663,5797.985932429117,5797.985932429117,0.36374883425759075,1965.1829999999998,111.57671916623296,3689.347150643961,4184.347150643961,3347.477720515169,5.825771551890896,620.0,125.0,541.9440645217029,0.0,47.81859392838555,-175.33484440408034,5527.8884295749485,3562.7054295749485,4000.0,687.8140499999998,191.037,9433.143404994631,5527.8884295749485,4000.0,687.8140499999998,10273.21778456958,588.850030229746,20.938352256369186,6.686500259112107,574.598178232489
review_without_k,2028,18057.586472548497,682.1167727759473,129652.24452157381,2947.451359930372,1357.2880802790019,1787.5623150000004,2624.97125,1176.6733440000003,1207.8684450000003,149.66858377950746,139.04341583862345,11390.526793827505,162.51827825293645,6829.577956973929,6829.577956973929,0.37821100662352575,2122.3976399999997,126.40310530783948,4544.662038720992,5009.662038720992,4007.729630976794,7.137103963593701,590.0,125.0,722.3034589019398,0.0,54.172759417645494,-198.63345119803347,6319.4682874563105,4197.07064745631,4000.0,742.8391739999998,200.58885,10273.21778456958,6319.4682874563105,4000.0,742.8391739999998,11849.846898025891,574.598178232489,19.941287863208746,6.877543123658169,561.5344334929384
k0_conditional,2026,14309.13868038772,583.1,106412.3930807141,2431.2842493578273,1285.6096904315198,1484.0700000000002,1993.75,921.5799999999999,1090.38,8.422559940396688,0.0,9215.096499729743,128.78224812348947,5222.824428781466,5222.824428781466,0.36499921801302637,1786.5299999999997,100.16397076271404,3307.512180657977,3847.512180657977,3116.4848663329612,5.292493345236022,660.0,120.0,372.0376056900807,0.0,42.92741604116316,-157.4005254842649,5190.458881565957,3403.9288815659575,4200.0,625.2854999999998,181.94,9593.0,2233.458881565957,2061.0,320.28549999999984,9445.173381565957,597.0,11.327910300098933,3.1779405298450034,588.850030229746
k0_conditional,2027,16057.898603629294,634.815255449984,118977.087446506,2718.359303542295,1329.6491370918313,1632.4770000000003,2312.75,1050.6012,1150.3509000000001,58.998795545192756,61.02001469379132,10314.206350873112,144.52108743266362,5888.213340188846,5888.213340188846,0.3666864192839051,1965.1829999999998,112.40529022540505,3778.5092527561824,4273.509252756183,3418.8074022049464,5.949909922654955,620.0,125.0,545.968552523396,0.0,48.173695810887885,-176.63688463992222,5612.43420721464,3647.25120721464,4000.0,687.8140499999998,191.037,9445.173381565957,5612.43420721464,4000.0,687.8140499999998,10369.793538780597,588.850030229746,20.938352256369186,6.686500259112107,574.598178232489
k0_conditional,2028,18191.682488827308,682.1167727759473,131038.39720645887,2978.9634840066797,1357.2880802790019,1787.5623150000004,2624.97125,1176.6733440000003,1207.8684450000003,149.66858377950746,140.07595516397026,11423.071457229158,163.72514239944576,6932.336173997595,6912.839345754377,0.38,2122.3976399999997,127.34177742179115,4626.716563354932,5091.716563354932,4073.373250683946,7.254004398886378,590.0,125.0,727.6672995530923,0.0,54.57504746648193,-200.10850737710038,6395.4884913577025,4273.090851357703,4000.0,742.8391739999998,200.58885,10369.793538780597,6395.4884913577025,4000.0,742.8391739999998,12022.4428561383,574.598178232489,19.941287863208746,6.877543123658169,561.5344334929384
nights_case_a,2026,14273.70658378032,584.0,105573.995,2412.128735706462,1287.5939962476548,1484.0700000000002,1993.75,921.5799999999999,1090.38,8.422559940396688,0.0,9197.925291894515,128.46335925402286,5204.244651139828,5204.244651139828,0.3646035891653806,1786.5299999999997,99.91594608646224,3289.2512918858056,3829.2512918858056,3101.693546427503,5.2673743520355165,660.0,120.0,371.1163711782883,0.0,42.82111975134096,-157.0107724215835,5173.296387788616,3386.766387788616,4200.0,625.2854999999998,181.94,9593.0,2216.296387788616,2061.0,320.28549999999984,9428.010887788616,597.0,11.327910300098933,3.1779405298450034,588.850030229746
