item,value
"walk-forward midpoint RMSE, bias (model - actual), n","0.927, -0.308, 10"
"bias split ex-post decel (actual < prior): n, mean, SE, quarters","5, +0.070, 0.446, ['2Q24', '3Q24', '4Q24', '1Q25', '2Q26']"
"bias split ex-post accel: n, mean, SE, quarters","5, -0.685, 0.336, ['1Q24', '2Q25', '3Q25', '4Q25', '1Q26']"
"bias split ex-ante decel (model point < prior): n, mean, SE, quarters","5, -0.579, 0.337, ['1Q24', '2Q24', '4Q24', '1Q25', '2Q26']"
"bias split ex-ante accel: n, mean, SE, quarters","5, -0.036, 0.482, ['3Q24', '2Q25', '3Q25', '4Q25', '1Q26']"
"bias adjustment applied to the centre: half the POOLED bias (shrinkage on n 10, SE 0.29); neither direction split is distinguishable from pooled",0.15
"AR(1) OLS const, rho, innovation sd, 3Q26 point","0.750, 0.747, 0.939, 4.374"
"AR(1) Kendall-corrected rho (T=14), 3Q26 point; branch centre used (midpoint)","0.979, 4.809; 4.59"
"FX record n, |err| mean, corr(|err|, spread), err >= +0.57 (disclosed <= -1.0 from midpoint -0.43) count, Laplace","17, 0.337, -0.390, 1, 0.105"
FX record: quarters with spread >= 0.7 and their midpoint errors,2Q22 +0.31; 3Q22 +0.35; 1Q24 -0.21; 2Q26 -0.16
"JOINT MODEL revision 3 (0.60 structural + 0.40 Gaussian): P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.1951, 0.0903, 3.497, 3.471, 1.089"
"  structural component alone (A14-05, -11, -12 repaired): P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.1878, 0.1120, 3.442, 3.401, 1.139"
"  Gaussian route alone N(3.58, 1.00): P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.2074, 0.0567, 3.582, 3.583, 1.000"
"  revision-2 model (mix sd 0.35, AR(1) 4.37, FX .50/.25/.25, structural only): P(>=4.4) [R07], P(<=2.0) [B02], median, mean, sd","0.1723, 0.1187, 3.396, 3.349, 1.122"
"joint: P(>=4.0), P(>=3.4 Street mean), P(<=2.5), P(<=1.0), P(<=0)","0.3162, 0.5372, 0.1815, 0.0157, 0.0016"
"joint: E[reported | >=4.4], E[reported | <=2.0]","4.976, 1.433"
joint: p5/p10/p25/p50/p75/p90/p95,"1.63, 2.07, 2.77, 3.50, 4.21, 4.84, 5.22"
