quarter,adr_yoy_reported_pp,fx_effect_pp,adr_exfx_yoy_pp,residual_pricing_pp,reported_ge_4.4,fx_adjusted_to_3q26(-0.43),fxadj_ge_4.4
1Q23,0.2141964657583317,-2.8,3.0,3.4765599528784485,False,2.57,False
2Q23,1.3863442042262086,-0.6,2.0,2.4720399165943165,False,1.57,False
3Q23,3.1577601636410213,2.7,0.5,1.005193813553488,False,0.07,False
4Q23,2.565277141548328,2.1,0.5,0.8339628069705792,False,0.07,False
1Q24,2.642047141245607,0.6,2.0,2.2557752082862383,False,1.57,False
2Q24,2.120354195530405,-0.9,3.0,3.234375616562978,False,2.57,False
3Q24,1.40042136572065,-0.6,2.0,2.083188605444465,False,1.57,False
4Q24,0.8932559178204569,-1.1,2.0,2.760245101599631,False,1.57,False
1Q25,-0.8907913003239232,-1.9,1.0,2.231373644528559,False,0.5700000000000001,False
2Q25,2.9198371969562764,1.9,1.0,1.905622741315353,False,0.5700000000000001,False
3Q25,4.674896113419713,2.7,2.0,2.8222911901990337,True,1.57,False
4Q25,5.931828242585202,2.9,3.0,3.69881318212152,True,2.57,False
1Q26,9.0346679117544,5.0,4.0,4.380588950682848,True,3.57,False
2Q26,5.30146721687299,1.3,4.0,4.84932637648649,True,3.57,False
