event_date,quarter,lambda_pct,lambda_variant,training_quarters,training_max_date,training_n,variant_selection_max_date,cushion_quarters,cushion_n,cushion_max_date,cushion_ratio,lag1_quarter,lag2_quarter,lag1_gbv,lag2_gbv,lag1_date,lag2_date
2023-05-09,2023Q2,13.811816192560176,ex_covid,2022Q2,2022-08-02,1,2023-05-09,2021Q4|2022Q1|2022Q2|2022Q3|2022Q4|2023Q1,6,2023-05-09,1.0263884621293595,2023Q1,2022Q4,20400.0,13500.0,2023-05-09,2023-02-14
2023-11-01,2023Q4,11.83817427385892,ex_covid,2022Q4,2023-02-14,1,2023-11-01,2021Q4|2022Q1|2022Q2|2022Q3|2022Q4|2023Q1|2023Q2|2023Q3,8,2023-11-01,1.0263884621293595,2023Q3,2023Q2,18300.0,19100.0,2023-11-01,2023-08-03
2024-02-13,2024Q1,12.80281690140845,ex_covid,2023Q1,2023-05-09,1,2024-02-13,2022Q1|2022Q2|2022Q3|2022Q4|2023Q1|2023Q2|2023Q3|2023Q4,8,2024-02-13,1.025354589530775,2023Q4,2023Q3,15500.0,18300.0,2024-02-13,2023-11-01
2024-05-08,2024Q2,13.767786549318762,ex_covid,2022Q2|2023Q2,2023-08-03,2,2024-05-08,2022Q2|2022Q3|2022Q4|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1,8,2024-05-08,1.025354589530775,2024Q1,2023Q4,22900.0,15500.0,2024-05-08,2024-02-13
2024-08-06,2024Q3,17.390784982935156,ex_covid,2023Q3,2023-11-01,1,2024-08-06,2022Q3|2022Q4|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2,8,2024-08-06,1.025354589530775,2024Q2,2024Q1,21200.0,22900.0,2024-08-06,2024-05-08
2024-11-07,2024Q4,11.892157154882781,ex_covid,2022Q4|2023Q4,2024-02-13,2,2024-11-07,2022Q4|2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3,8,2024-11-07,1.0250576509673637,2024Q3,2024Q2,20100.0,21200.0,2024-11-07,2024-08-06
2025-02-13,2025Q1,12.91864983001457,ex_covid,2023Q1|2024Q1,2024-05-08,2,2025-02-13,2023Q1|2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4,8,2025-02-13,1.0227012544148093,2024Q4,2024Q3,17600.0,20100.0,2025-02-13,2024-11-07
2025-05-01,2025Q2,13.661395491824253,ex_covid,2022Q2|2023Q2|2024Q2,2024-08-06,3,2025-05-01,2023Q2|2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1,8,2025-05-01,1.0204724823089522,2025Q1,2024Q4,24500.0,17600.0,2025-05-01,2025-02-13
2025-08-06,2025Q3,17.26813368595456,ex_covid,2023Q3|2024Q3,2024-11-07,2,2025-08-06,2023Q3|2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2,8,2025-08-06,1.0195977068300879,2025Q2,2025Q1,23500.0,24500.0,2025-08-06,2025-05-01
2025-11-06,2025Q4,11.967192717804592,ex_covid,2022Q4|2023Q4|2024Q4,2025-02-13,3,2025-11-06,2023Q4|2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3,8,2025-11-06,1.0195938515676548,2025Q3,2025Q2,22900.0,23500.0,2025-11-06,2025-08-06
2026-02-12,2026Q1,12.72093231585058,ex_covid,2023Q1|2024Q1|2025Q1,2025-05-01,3,2026-02-12,2024Q1|2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4,8,2026-02-12,1.0195938515676548,2025Q4,2025Q3,20400.0,22900.0,2026-02-12,2025-11-06
2026-05-07,2026Q2,13.732533105354676,ex_covid,2022Q2|2023Q2|2024Q2|2025Q2,2025-08-06,4,2026-05-07,2024Q2|2024Q3|2024Q4|2025Q1|2025Q2|2025Q3|2025Q4|2026Q1,8,2026-05-07,1.0195938515676548,2026Q1,2025Q4,29200.0,20400.0,2026-05-07,2026-02-12
