origin_or_endpoint,register_id,vendor,period,metric,value,unit,n_estimates,as_of_timestamp,url,source_path,role,pit_usable,vendor_attributed,note,date_only,pre_close,flags_pass,admitted
2023-02-14,PG-2023Q1-revenue,Refinitiv,2023Q1,revenue,1690.0,musd,,2023-02-14,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline.",True,True,True,True
2023-05-09,AP-2023Q1-revenue,Refinitiv,2023Q1,revenue,1790.0,musd,,2023-05-09,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high,True,True,True,True
2023-05-09,PG-2023Q2-revenue,Refinitiv,2023Q2,revenue,2420.0,musd,,2023-05-09,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline.",True,True,True,True
2023-08-03,AP-2023Q2-revenue,Refinitiv,2023Q2,revenue,2420.0,musd,,2023-08-03,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high,True,True,True,True
2023-08-03,PG-2023Q3-revenue,Refinitiv,2023Q3,revenue,3220.0,musd,,2023-08-03,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline.",True,True,True,True
2023-11-01,AP-2023Q3-revenue,LSEG,2023Q3,revenue,3370.0,musd,,2023-11-01,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high,True,True,True,True
2023-11-01,PG-2023Q4-revenue,LSEG,2023Q4,revenue,2180.0,musd,,2023-11-01,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline.",True,True,True,True
2024-02-13,AP-2023Q4-revenue,LSEG,2023Q4,revenue,2170.0,musd,,2024-02-13,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high,True,True,True,True
2024-02-13,PG-2024Q1-revenue,LSEG,2024Q1,revenue,2030.0,musd,,2024-02-13,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline.",True,True,True,True
2024-05-08,AP-2024Q1-revenue,LSEG,2024Q1,revenue,2060.0,musd,,2024-05-08,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high,True,True,True,True
2024-05-08,PG-2024Q2-revenue,LSEG,2024Q2,revenue,2740.0,musd,,2024-05-08,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline.",True,True,True,True
2024-08-06,AP-2024Q2-revenue,LSEG,2024Q2,revenue,2740.0,musd,,2024-08-06,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=medium,True,True,True,True
2024-08-06,PG-2024Q3-revenue,LSEG,2024Q3,revenue,3840.0,musd,,,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,False,True,"vintage_unknown: this value appears only in 16_consensus_at_print_merged.csv, is absent from 04_consensus_at_print.csv, carries no as-of timestamp or url, and the same row's notes column says NEXT-QUARTER CONSENSUS NOT FOUND. Registered for audit; excluded from every PIT use.",False,False,False,False
2024-11-07,AP-2024Q3-revenue,LSEG,2024Q3,revenue,3720.0,musd,,2024-11-07,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high,True,True,True,True
2024-11-07,PG-2024Q4-revenue,LSEG,2024Q4,revenue,2420.0,musd,,2024-11-07,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline.",True,True,True,True
2025-02-13,AP-2024Q4-revenue,LSEG,2024Q4,revenue,2420.0,musd,,2025-02-13,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high,True,True,True,True
2025-02-13,PG-2025Q1-revenue,LSEG,2025Q1,revenue,2300.0,musd,,2025-02-13,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline.",True,True,True,True
2025-05-01,AP-2025Q1-revenue,LSEG,2025Q1,revenue,2260.0,musd,,2025-05-01,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high,True,True,True,True
2025-05-01,PG-2025Q2-revenue,LSEG,2025Q2,revenue,3040.0,musd,,2025-05-01,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline.",True,True,True,True
2025-08-06,AP-2025Q2-revenue,LSEG,2025Q2,revenue,3040.0,musd,,2025-08-06,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high,True,True,True,True
2025-08-06,PG-2025Q3-revenue,LSEG,2025Q3,revenue,4050.0,musd,,2025-08-06,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline.",True,True,True,True
2025-11-06,AP-2025Q3-revenue,LSEG,2025Q3,revenue,4080.0,musd,,2025-11-06,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high,True,True,True,True
2025-11-06,PG-2025Q4-revenue,LSEG,2025Q4,revenue,2670.0,musd,,2025-11-06,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline.",True,True,True,True
2026-02-12,AP-2025Q4-revenue,LSEG,2025Q4,revenue,2720.0,musd,,2026-02-12,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high,True,True,True,True
2026-02-12,PG-2026Q1-revenue,LSEG,2026Q1,revenue,2530.0,musd,,2026-02-12,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline.",True,True,True,True
2026-05-07,AP-2026Q1-revenue,LSEG,2026Q1,revenue,2620.0,musd,,2026-05-07,,data/processed/overnight/16_consensus_at_print_merged.csv,at_print,True,True,consensus quoted on the print-day article; confidence=high,True,True,True,True
