method,object,target,quarter,vintage_date,horizon_q,point,q50,window,prior_basis,n_params,n_train,q05,q10,q25,q75,q90,q95,sd,base_naive,base_ar1,base_trailing4,base_guide_cushion,base_street,street_vendor,street_as_of,knowable_from,spec_id,notes,format_version,expected_horizon
alpha-b2,revenue_q_plus_2,revenue_musd,2023Q2,2023-02-14,1,2313.3952494796035,2313.3952494796035,W1,PIT,2,10,,,,,,,,2612.1462140992166,,,,,,,2023-02-14,w_2over3_unseasonal_gbv_growth,Revenue before guide cushion; full_sample coefficients look ahead to RUN_DATE; horizon_from_print=2 in sidecar; horizon_q uses vintage calendar quarter,1.1,1
alpha-b2,revenue_q_plus_2,revenue_musd,2023Q4,2023-08-03,1,2568.294664439025,2568.294664439025,W1,PIT,2,12,,,,,,,,2245.51711026616,,,,,,,2023-08-03,w_2over3_unseasonal_gbv_growth,Revenue before guide cushion; full_sample coefficients look ahead to RUN_DATE; horizon_from_print=2 in sidecar; horizon_q uses vintage calendar quarter,1.1,1
alpha-b2,revenue_q_plus_2,revenue_musd,2024Q1,2023-11-01,1,2607.408438132836,2607.408438132836,W1,PIT,2,13,,,,,,,,2141.3821081830797,,,,,,,2023-11-01,w_2over3_unseasonal_gbv_growth,Revenue before guide cushion; full_sample coefficients look ahead to RUN_DATE; horizon_from_print=2 in sidecar; horizon_q uses vintage calendar quarter,1.1,1
alpha-b2,revenue_q_plus_2,revenue_musd,2024Q1,2023-11-01,1,2607.408438132836,2607.408438132836,W2,PIT,2,13,,,,,,,,2141.3821081830797,,,,,,,2023-11-01,w_2over3_unseasonal_gbv_growth,Revenue before guide cushion; full_sample coefficients look ahead to RUN_DATE; horizon_from_print=2 in sidecar; horizon_q uses vintage calendar quarter,1.1,1
alpha-b2,revenue_q_plus_2,revenue_musd,2024Q2,2024-02-13,1,2358.3625292434263,2358.3625292434263,W1,PIT,2,14,,,,,,,,2896.6940063091483,,,,,,,2024-02-13,w_2over3_unseasonal_gbv_growth,Revenue before guide cushion; full_sample coefficients look ahead to RUN_DATE; horizon_from_print=2 in sidecar; horizon_q uses vintage calendar quarter,1.1,1
alpha-b2,revenue_q_plus_2,revenue_musd,2024Q2,2024-02-13,1,2358.3625292434263,2358.3625292434263,W2,PIT,2,14,,,,,,,,2896.6940063091483,,,,,,,2024-02-13,w_2over3_unseasonal_gbv_growth,Revenue before guide cushion; full_sample coefficients look ahead to RUN_DATE; horizon_from_print=2 in sidecar; horizon_q uses vintage calendar quarter,1.1,1
alpha-b2,revenue_q_plus_2,revenue_musd,2024Q3,2024-05-08,1,4359.036492846607,4359.036492846607,W1,PIT,2,15,,,,,,,,4002.4059405940593,,,,,,,2024-05-08,w_2over3_unseasonal_gbv_growth,Revenue before guide cushion; full_sample coefficients look ahead to RUN_DATE; horizon_from_print=2 in sidecar; horizon_q uses vintage calendar quarter,1.1,1
alpha-b2,revenue_q_plus_2,revenue_musd,2024Q3,2024-05-08,1,4359.036492846607,4359.036492846607,W2,PIT,2,15,,,,,,,,4002.4059405940593,,,,,,,2024-05-08,w_2over3_unseasonal_gbv_growth,Revenue before guide cushion; full_sample coefficients look ahead to RUN_DATE; horizon_from_print=2 in sidecar; horizon_q uses vintage calendar quarter,1.1,1
alpha-b2,revenue_q_plus_2,revenue_musd,2024Q4,2024-08-06,1,2753.8054049646767,2753.8054049646767,W1,PIT,2,16,,,,,,,,2453.7294685990337,,,,,,,2024-08-06,w_2over3_unseasonal_gbv_growth,Revenue before guide cushion; full_sample coefficients look ahead to RUN_DATE; horizon_from_print=2 in sidecar; horizon_q uses vintage calendar quarter,1.1,1
alpha-b2,revenue_q_plus_2,revenue_musd,2024Q4,2024-08-06,1,2753.8054049646767,2753.8054049646767,W2,PIT,2,16,,,,,,,,2453.7294685990337,,,,,,,2024-08-06,w_2over3_unseasonal_gbv_growth,Revenue before guide cushion; full_sample coefficients look ahead to RUN_DATE; horizon_from_print=2 in sidecar; horizon_q uses vintage calendar quarter,1.1,1
alpha-b2,revenue_q_plus_2,revenue_musd,2025Q1,2024-11-07,1,2803.9500965145166,2803.9500965145166,W1,PIT,2,17,,,,,,,,2353.2363850456286,,,,,,,2024-11-07,w_2over3_unseasonal_gbv_growth,Revenue before guide cushion; full_sample coefficients look ahead to RUN_DATE; horizon_from_print=2 in sidecar; horizon_q uses vintage calendar quarter,1.1,1
alpha-b2,revenue_q_plus_2,revenue_musd,2025Q1,2024-11-07,1,2803.9500965145166,2803.9500965145166,W2,PIT,2,17,,,,,,,,2353.2363850456286,,,,,,,2024-11-07,w_2over3_unseasonal_gbv_growth,Revenue before guide cushion; full_sample coefficients look ahead to RUN_DATE; horizon_from_print=2 in sidecar; horizon_q uses vintage calendar quarter,1.1,1
alpha-b2,revenue_q_plus_2,revenue_musd,2025Q2,2025-02-13,1,2591.2845019792826,2591.2845019792826,W1,PIT,2,18,,,,,,,,3072.605951307484,,,,,,,2025-02-13,w_2over3_unseasonal_gbv_growth,Revenue before guide cushion; full_sample coefficients look ahead to RUN_DATE; horizon_from_print=2 in sidecar; horizon_q uses vintage calendar quarter,1.1,1
alpha-b2,revenue_q_plus_2,revenue_musd,2025Q2,2025-02-13,1,2591.2845019792826,2591.2845019792826,W2,PIT,2,18,,,,,,,,3072.605951307484,,,,,,,2025-02-13,w_2over3_unseasonal_gbv_growth,Revenue before guide cushion; full_sample coefficients look ahead to RUN_DATE; horizon_from_print=2 in sidecar; horizon_q uses vintage calendar quarter,1.1,1
alpha-b2,revenue_q_plus_2,revenue_musd,2025Q3,2025-05-01,1,4522.371636152557,4522.371636152557,W1,PIT,2,19,,,,,,,,3958.498599439776,,,,,,,2025-05-01,w_2over3_unseasonal_gbv_growth,Revenue before guide cushion; full_sample coefficients look ahead to RUN_DATE; horizon_from_print=2 in sidecar; horizon_q uses vintage calendar quarter,1.1,1
alpha-b2,revenue_q_plus_2,revenue_musd,2025Q3,2025-05-01,1,4522.371636152557,4522.371636152557,W2,PIT,2,19,,,,,,,,3958.498599439776,,,,,,,2025-05-01,w_2over3_unseasonal_gbv_growth,Revenue before guide cushion; full_sample coefficients look ahead to RUN_DATE; horizon_from_print=2 in sidecar; horizon_q uses vintage calendar quarter,1.1,1
alpha-b2,revenue_q_plus_2,revenue_musd,2025Q4,2025-08-06,1,3005.496547800202,3005.496547800202,W1,PIT,2,20,,,,,,,,2794.061135371179,,,,,,,2025-08-06,w_2over3_unseasonal_gbv_growth,Revenue before guide cushion; full_sample coefficients look ahead to RUN_DATE; horizon_from_print=2 in sidecar; horizon_q uses vintage calendar quarter,1.1,1
alpha-b2,revenue_q_plus_2,revenue_musd,2025Q4,2025-08-06,1,3005.496547800202,3005.496547800202,W2,PIT,2,20,,,,,,,,2794.061135371179,,,,,,,2025-08-06,w_2over3_unseasonal_gbv_growth,Revenue before guide cushion; full_sample coefficients look ahead to RUN_DATE; horizon_from_print=2 in sidecar; horizon_q uses vintage calendar quarter,1.1,1
alpha-b2,revenue_q_plus_2,revenue_musd,2026Q1,2025-11-06,1,3133.1033892362107,3133.1033892362107,W1,PIT,2,21,,,,,,,,2492.990353697749,,,,,,,2025-11-06,w_2over3_unseasonal_gbv_growth,Revenue before guide cushion; full_sample coefficients look ahead to RUN_DATE; horizon_from_print=2 in sidecar; horizon_q uses vintage calendar quarter,1.1,1
