case,p_ge_21.9,ratio_p50,cond_a,cond_b,cond_c,cond_d,cond_e
base,0.5805,22.16,0.398,0.463,0.564,0.673,0.531
no short-revenue tail,0.5281,21.99,0.341,0.407,0.51,0.626,0.476
short-revenue tail 0.5,0.6333,22.35,0.451,0.52,0.619,0.721,0.586
S&M growth centred 22% (run allocation 23.5%),0.9074,23.62,0.804,0.854,0.904,0.945,0.888
S&M growth centred 10% (cost bull),0.3187,21.29,0.171,0.217,0.302,0.402,0.274
S&M growth centred 20% (cost bear),0.8472,23.23,0.713,0.774,0.841,0.901,0.819
S&M growth centred 12%,0.4321,21.68,0.257,0.315,0.415,0.525,0.382
S&M growth centred 17%,0.7179,22.65,0.543,0.615,0.705,0.797,0.676
"total growth sd ~3 (g_z 1.5, g_sd 2.6)",0.6074,22.16,0.362,0.459,0.594,0.681,0.575
"total growth sd ~8 (g_z 4, g_sd 7)",0.5606,22.17,0.424,0.466,0.543,0.648,0.512
beta 0 (no flex),0.5928,22.23,0.428,0.486,0.576,0.678,0.548
beta 0.6 (strong flex),0.5631,22.09,0.366,0.435,0.546,0.662,0.51
"FY26 S&M 3,100 (2H26 +30%)",0.7038,22.6,0.534,0.601,0.69,0.785,0.66
"FY26 S&M 2,980 (2H26 +20%)",0.4462,21.73,0.264,0.326,0.43,0.539,0.397
z also raises the short-revenue tail (z_short 0.08),0.5776,22.16,0.398,0.461,0.56,0.676,0.524
"no z link to S&M (g_z 0, g_sd 5.4)",0.5812,22.16,0.404,0.478,0.579,0.599,0.581
"FY27 revenue base 15,500 (RNPL-aware +8.6%)",0.6564,22.42,0.47,0.542,0.641,0.745,0.61
"FY27 revenue base 16,100 (bull)",0.517,21.96,0.337,0.398,0.5,0.609,0.468
