case,p_ge_21.9,ratio_p50
base,0.581,22.16
no short-revenue tail,0.528,21.98
short-revenue tail 0.5,0.635,22.35
S&M growth centred 22% (run allocation 23.5%),0.911,23.61
S&M growth centred 10% (cost bull),0.315,21.28
S&M growth centred 20% (cost bear),0.852,23.23
S&M growth sd 3,0.611,22.16
S&M growth sd 8,0.561,22.16
beta 0 (no flex),0.593,22.22
beta 0.6 (strong flex),0.563,22.09
"FY26 S&M 3,100 (2H26 +30%)",0.706,22.59
"FY26 S&M 2,980 (2H26 +20%)",0.443,21.72
F03 (a) >=36.5 guide,0.283,21.19
F03 (b) 36.0-36.4,0.437,21.7
F03 (c) 35.5-35.9,0.581,22.16
F03 (d) <35.5 / down / investment year,0.784,22.92
F03 (e) no numeric guide,0.621,22.29
