quarter,revenue,sm_gaap,sm_cash,sm_gaap_pct_rev,sm_cash_pct_rev,sm_cash_per_night_usd,sm_gaap_yoy_pct,sm_cash_yoy_pct
3Q23,3397.0,403.0,370.0,11.86,10.89,3.269,4.95,3.77
4Q23,2218.0,424.0,391.0,19.12,17.63,3.957,3.92,5.11
1Q24,2142.0,514.0,479.0,24.0,22.36,3.612,14.22,13.51
2Q24,2748.0,573.0,527.0,20.85,19.18,4.213,17.9,17.11
3Q24,3732.0,514.0,471.0,13.77,12.62,3.836,27.54,27.3
4Q24,2480.0,547.0,501.0,22.06,20.2,4.514,29.01,28.13
1Q25,2272.0,563.0,519.0,24.78,22.84,3.627,9.53,8.35
2Q25,3096.0,691.0,639.0,22.32,20.64,4.754,20.59,21.25
3Q25,4095.0,639.0,585.0,15.6,14.29,4.379,24.32,24.2
4Q25,2778.0,695.0,633.0,25.02,22.79,5.193,27.06,26.35
1Q26,2678.0,751.0,696.0,28.04,25.99,4.456,33.39,34.1
2Q26,3608.0,875.0,808.0,24.25,22.39,5.448,26.63,26.45
