market,dump_date,url,bytes,sha256,local_path,content_length_head,size_matches_head,downloaded_utc
austin,2024-06-17,https://data.insideairbnb.com/united-states/tx/austin/2024-06-17/data/calendar.csv.gz,13702899,f81abd06560dd53989c6d1c5106d8db0d5aee8a2bbb7b53111385b6ecbf02a7b,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_calendar\austin_2024-06-17_calendar.csv.gz,13702899,True,2026-09-11T15:00:03
austin,2024-09-13,https://data.insideairbnb.com/united-states/tx/austin/2024-09-13/data/calendar.csv.gz,14275534,5877a149ce47c6996ad0e71df0ecb0f2022c3a7ae952ee7ac35a174c2431f4f8,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_calendar\austin_2024-09-13_calendar.csv.gz,14275534,True,2026-09-11T15:00:07
austin,2024-12-14,https://data.insideairbnb.com/united-states/tx/austin/2024-12-14/data/calendar.csv.gz,14775701,225b81c358936d1695c737a29fa903ec033abc91d69187d72b94f93d74ad750d,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_calendar\austin_2024-12-14_calendar.csv.gz,14775701,True,2026-09-11T15:00:10
austin,2025-03-06,https://data.insideairbnb.com/united-states/tx/austin/2025-03-06/data/calendar.csv.gz,14054867,7bacb29a70d19b2aec2d4697e0119fb659656c750fc0a6b10ce1dee161df0201,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_calendar\austin_2025-03-06_calendar.csv.gz,14054867,True,2026-09-11T15:00:14
chicago,2025-03-11,https://data.insideairbnb.com/united-states/il/chicago/2025-03-11/data/calendar.csv.gz,7981076,d4e79ddf5fcbceace099940103cc1c05d3350499e31b055002e8d9a1724abec7,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_calendar\chicago_2025-03-11_calendar.csv.gz,7981076,True,2026-09-11T15:00:17
los-angeles,2025-03-01,https://data.insideairbnb.com/united-states/ca/los-angeles/2025-03-01/data/calendar.csv.gz,41428902,bd55bf98795e98495c43a6cba9c18a03986d93d55937281792d532c001182aed,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_calendar\los-angeles_2025-03-01_calendar.csv.gz,41428902,True,2026-09-11T15:00:33
nashville,2024-06-22,https://data.insideairbnb.com/united-states/tn/nashville/2024-06-22/data/calendar.csv.gz,8590493,42043d6680d812e046412e565466e0934b02fa6b921758f6e8dadac25c0eb3fb,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_calendar\nashville_2024-06-22_calendar.csv.gz,8590493,True,2026-09-11T15:00:35
nashville,2024-09-18,https://data.insideairbnb.com/united-states/tn/nashville/2024-09-18/data/calendar.csv.gz,8801755,13fd947085fa4e79006292cf6169c2589a40eee9314628c608598c31e48fb0d1,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_calendar\nashville_2024-09-18_calendar.csv.gz,8801755,True,2026-09-11T15:00:40
nashville,2024-12-21,https://data.insideairbnb.com/united-states/tn/nashville/2024-12-21/data/calendar.csv.gz,9196961,27f4bafb186faef3fc99a6f52686333c240bae1764d73256d19eff47e8f3887d,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_calendar\nashville_2024-12-21_calendar.csv.gz,9196961,True,2026-09-11T15:00:46
nashville,2025-03-15,https://data.insideairbnb.com/united-states/tn/nashville/2025-03-15/data/calendar.csv.gz,9260252,720573fb80aed72dd55cd91b47d303b5aa4b05485122235c1fc311cb2e47b963,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_calendar\nashville_2025-03-15_calendar.csv.gz,9260252,True,2026-09-11T15:00:50
paris,2024-06-10,https://data.insideairbnb.com/france/ile-de-france/paris/2024-06-10/data/calendar.csv.gz,85294070,ca74badfacdc5a38d98a1eadd4e11a9de71d0b5aaffe779cf56ef9add6016e96,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_calendar\paris_2024-06-10_calendar.csv.gz,85294070,True,2026-09-11T15:01:16
