market,region,snapshot0,snapshot1,regime,interval_days,matched_listings,matched_future_nights,baseline_future_rows,matched_row_retention_pct
austin,na,2024-05-19,2024-06-17,all,29,14539,4874265,5096124,95.65
austin,na,2024-05-19,2024-06-17,screened,29,10082,3379461,5096124,66.31
austin,na,2024-06-17,2024-07-21,all,34,14504,4794563,5010349,95.69
austin,na,2024-06-17,2024-07-21,screened,34,10060,3327943,5010349,66.42
austin,na,2024-06-17,2024-08-14,all,58,14133,4323538,4646989,93.04
austin,na,2024-06-17,2024-08-14,screened,58,9561,2928200,4646989,63.01
austin,na,2024-07-21,2024-08-14,all,24,14660,4984591,5176198,96.3
austin,na,2024-07-21,2024-08-14,screened,24,10178,3460830,5176198,66.86
austin,na,2024-08-14,2024-09-13,all,30,14607,4902693,5088953,96.34
austin,na,2024-08-14,2024-09-13,screened,30,10183,3416668,5088953,67.14
austin,na,2024-09-13,2024-10-14,all,31,14767,4919994,5078908,96.87
austin,na,2024-09-13,2024-10-14,screened,31,10108,3366115,5078908,66.28
austin,na,2024-10-14,2024-11-14,all,31,14832,4951728,5197473,95.27
austin,na,2024-10-14,2024-11-14,screened,31,10246,3420281,5197473,65.81
austin,na,2024-11-14,2024-12-14,all,30,14923,4991234,5158655,96.75
austin,na,2024-11-14,2024-12-14,screened,30,10436,3488642,5158655,67.63
austin,na,2024-12-14,2025-01-16,all,33,14886,4932421,5132926,96.09
austin,na,2024-12-14,2025-01-16,screened,33,10198,3379401,5132926,65.84
austin,na,2025-01-16,2025-02-16,all,31,14799,4930076,5136584,95.98
austin,na,2025-01-16,2025-02-16,screened,31,10087,3360873,5136584,65.43
austin,na,2025-02-16,2025-03-06,all,18,14957,5123377,5332831,96.07
austin,na,2025-02-16,2025-03-06,screened,18,10418,3570058,5332831,66.94
austin,na,2025-03-06,2025-04-12,all,37,14740,4894168,5125168,95.49
austin,na,2025-03-06,2025-04-12,screened,37,10178,3380314,5125168,65.96
austin,na,2025-04-12,2025-05-11,all,29,14755,4953147,5146084,96.25
austin,na,2025-04-12,2025-05-11,screened,29,10255,3441702,5146084,66.88
austin,na,2025-04-12,2025-07-11,all,90,13887,3822686,4212540,90.75
austin,na,2025-04-12,2025-07-11,screened,90,8096,2226604,4212540,52.86
austin,na,2025-05-11,2025-07-11,all,61,14232,4333889,4649236,93.22
austin,na,2025-05-11,2025-07-11,screened,61,9505,2892810,4649236,62.22
austin,na,2025-07-11,2025-08-16,all,36,14503,4767736,4977105,95.79
austin,na,2025-07-11,2025-08-16,screened,36,9912,3257511,4977105,65.45
austin,na,2025-08-16,2025-09-16,all,31,9955,3322368,5036496,65.97
austin,na,2025-08-16,2025-09-16,screened,31,9378,3129733,5036496,62.14
austin,na,2025-09-16,2025-12-22,all,97,9387,2487046,2817149,88.28
austin,na,2025-09-16,2025-12-22,screened,97,7783,2061968,2817149,73.19
austin,na,2025-12-22,2026-03-25,all,93,7201,1974221,3091560,63.86
austin,na,2025-12-22,2026-03-25,screened,93,6185,1695763,3091560,54.85
austin,na,2026-03-25,2026-06-22,all,89,7325,2018564,2255956,89.48
austin,na,2026-03-25,2026-06-22,screened,89,6207,1712519,2255956,75.91
austin,na,2026-06-22,2026-08-25,all,64,10343,3108302,3413642,91.06
austin,na,2026-06-22,2026-08-25,screened,64,9075,2724423,3413642,79.81
bangkok,apac,2025-03-19,2025-04-25,all,37,26311,8618701,9044744,95.29
bangkok,apac,2025-03-19,2025-04-25,screened,37,22851,7489100,9044744,82.8
bangkok,apac,2025-03-19,2025-06-24,all,97,24982,6643326,7391924,89.87
bangkok,apac,2025-03-19,2025-06-24,screened,97,19519,5188952,7391924,70.2
bangkok,apac,2025-04-25,2025-05-26,all,31,21712,7243670,9278449,78.07
bangkok,apac,2025-04-25,2025-05-26,screened,31,19860,6625753,9278449,71.41
bangkok,apac,2025-05-26,2025-06-24,all,29,21938,7335712,7684467,95.46
bangkok,apac,2025-05-26,2025-06-24,screened,29,20142,6732665,7684467,87.61
bangkok,apac,2025-06-24,2025-07-26,all,32,27218,9116881,9457200,96.4
bangkok,apac,2025-06-24,2025-07-26,screened,32,23913,8014003,9457200,84.74
bangkok,apac,2025-06-24,2025-08-28,all,65,26708,8075528,8526732,94.71
bangkok,apac,2025-06-24,2025-08-28,screened,65,23242,7030689,8526732,82.45
bangkok,apac,2025-07-26,2025-08-28,all,33,27833,9251771,9472710,97.67
bangkok,apac,2025-07-26,2025-08-28,screened,33,24539,8155917,9472710,86.1
bangkok,apac,2025-08-28,2025-09-26,all,29,27806,9336102,9700957,96.24
bangkok,apac,2025-08-28,2025-09-26,screened,29,24557,8245574,9700957,85.0
bangkok,apac,2025-09-26,2025-12-28,all,93,26631,7229573,7837348,92.25
bangkok,apac,2025-09-26,2025-12-28,screened,93,21340,5792849,7837348,73.91
bangkok,apac,2025-12-28,2026-03-30,all,92,14167,3851736,8177994,47.1
bangkok,apac,2025-12-28,2026-03-30,screened,92,12886,3503569,8177994,42.84
bangkok,apac,2026-03-30,2026-06-29,all,91,15398,4229846,4532772,93.32
bangkok,apac,2026-03-30,2026-06-29,screened,91,14135,3882901,4532772,85.66
bangkok,apac,2026-06-29,2026-08-30,all,62,29367,8852838,9436158,93.82
bangkok,apac,2026-06-29,2026-08-30,screened,62,27755,8366454,9436158,88.66
barcelona,emea,2025-08-10,2025-09-14,all,35,18472,6098276,6379733,95.59
barcelona,emea,2025-08-10,2025-09-14,screened,35,14867,4906155,6379733,76.9
barcelona,emea,2025-09-14,2025-12-14,all,91,16028,4388693,5314524,82.58
barcelona,emea,2025-09-14,2025-12-14,screened,91,12130,3321026,5314524,62.49
barcelona,emea,2025-12-14,2026-03-21,all,97,14939,3992786,4858126,82.19
barcelona,emea,2025-12-14,2026-03-21,screened,97,10863,2901908,4858126,59.73
barcelona,emea,2026-03-21,2026-06-24,all,95,12955,3479438,4346353,80.05
barcelona,emea,2026-03-21,2026-06-24,screened,95,10863,2926381,4346353,67.33
barcelona,emea,2026-06-24,2026-08-23,all,60,14659,4468346,4714932,94.77
barcelona,emea,2026-06-24,2026-08-23,screened,60,12473,3798713,4714932,80.57
barossa-valley,apac,2025-09-27,2025-12-28,all,92,343,93287,96016,97.16
barossa-valley,apac,2025-09-27,2025-12-28,screened,92,297,80777,96016,84.13
barossa-valley,apac,2025-12-28,2026-03-30,all,92,302,82167,98506,83.41
barossa-valley,apac,2025-12-28,2026-03-30,screened,92,291,79175,98506,80.38
barossa-valley,apac,2026-03-30,2026-06-29,all,91,304,82970,88179,94.09
barossa-valley,apac,2026-03-30,2026-06-29,screened,91,279,76165,88179,86.38
barossa-valley,apac,2026-06-29,2026-08-30,all,62,341,103072,108831,94.71
barossa-valley,apac,2026-06-29,2026-08-30,screened,62,308,93025,108831,85.48
barwon-south-west-vic,apac,2025-03-21,2025-04-26,all,36,7273,2384616,2439992,97.73
barwon-south-west-vic,apac,2025-03-21,2025-04-26,screened,36,5880,1927904,2439992,79.01
barwon-south-west-vic,apac,2025-03-21,2025-06-25,all,96,6938,1855824,1993652,93.09
barwon-south-west-vic,apac,2025-03-21,2025-06-25,screened,96,5011,1340792,1993652,67.25
barwon-south-west-vic,apac,2025-04-26,2025-05-28,all,32,5301,1764411,2472051,71.37
barwon-south-west-vic,apac,2025-04-26,2025-05-28,screened,32,4321,1438084,2472051,58.17
barwon-south-west-vic,apac,2025-05-28,2025-06-25,all,28,5262,1770601,1814745,97.57
barwon-south-west-vic,apac,2025-05-28,2025-06-25,screened,28,4329,1456992,1814745,80.29
barwon-south-west-vic,apac,2025-06-25,2025-07-27,all,32,7138,2380305,2422325,98.27
barwon-south-west-vic,apac,2025-06-25,2025-07-27,screened,32,5935,1978697,2422325,81.69
barwon-south-west-vic,apac,2025-06-25,2025-08-30,all,66,7018,2101681,2175349,96.61
barwon-south-west-vic,apac,2025-06-25,2025-08-30,screened,66,5710,1709519,2175349,78.59
barwon-south-west-vic,apac,2025-07-27,2025-08-30,all,34,7120,2354120,2395790,98.26
barwon-south-west-vic,apac,2025-07-27,2025-08-30,screened,34,5916,1955733,2395790,81.63
barwon-south-west-vic,apac,2025-08-30,2025-09-28,all,29,7143,2392905,2433440,98.33
barwon-south-west-vic,apac,2025-08-30,2025-09-28,screened,29,5934,1987890,2433440,81.69
barwon-south-west-vic,apac,2025-09-28,2025-12-29,all,92,6907,1878614,1980160,94.87
barwon-south-west-vic,apac,2025-09-28,2025-12-29,screened,92,5152,1401260,1980160,70.76
barwon-south-west-vic,apac,2025-12-29,2026-03-30,all,91,5518,1503915,2035636,73.88
barwon-south-west-vic,apac,2025-12-29,2026-03-30,screened,91,4608,1255920,2035636,61.7
barwon-south-west-vic,apac,2026-03-30,2026-06-29,all,91,5498,1513780,1609494,94.05
barwon-south-west-vic,apac,2026-03-30,2026-06-29,screened,91,4699,1294108,1609494,80.4
barwon-south-west-vic,apac,2026-06-29,2026-08-31,all,63,6798,2051078,2141392,95.78
barwon-south-west-vic,apac,2026-06-29,2026-08-31,screened,63,5492,1655476,2141392,77.31
belize,latam,2025-03-23,2025-04-27,all,35,3385,1112874,1129457,98.53
belize,latam,2025-03-23,2025-04-27,screened,35,3054,1004150,1129457,88.91
belize,latam,2025-03-23,2025-06-25,all,94,3316,894904,926910,96.55
belize,latam,2025-03-23,2025-06-25,screened,94,2883,778034,926910,83.94
belize,latam,2025-04-27,2025-06-25,all,59,3421,1043901,1068428,97.7
belize,latam,2025-04-27,2025-06-25,screened,59,3032,925088,1068428,86.58
belize,latam,2025-06-25,2025-07-29,all,34,3506,1160503,1175721,98.71
belize,latam,2025-06-25,2025-07-29,screened,34,3136,1038008,1175721,88.29
belize,latam,2025-06-25,2025-08-30,all,66,3437,1027676,1062057,96.76
belize,latam,2025-06-25,2025-08-30,screened,66,3051,912241,1062057,85.89
belize,latam,2025-07-29,2025-08-30,all,32,3482,1156024,1180924,97.89
belize,latam,2025-07-29,2025-08-30,screened,32,3145,1044140,1180924,88.42
