scenario,quarter,old_revenue_musd,new_revenue_musd,revenue_delta_musd,old_guide_musd,new_guide_musd,guide_delta_musd,changed_component
review_with_k,2026Q3,4808.36292949392,4808.36292949392,-2.72848410531878e-12,4723.78400064566,4723.78400064566,-3.63797880709171e-12,research disposition and expectations basis only; no operating overlay
review_with_k,2026Q4,3179.3436542864,3179.3436542864,4.09272615797818e-12,3123.41911517339,3123.41911517339,-1.81898940354586e-12,research disposition and expectations basis only; no operating overlay
review_with_k,2027Q1,3055.68058044242,3055.68058044242,2.27373675443232e-12,3001.93127029552,3001.93127029552,-3.18323145620525e-12,research disposition and expectations basis only; no operating overlay
review_without_k,2026Q3,4808.36292949392,4808.36292949392,-2.72848410531878e-12,4723.78400064566,4723.78400064566,-3.63797880709171e-12,research disposition and expectations basis only; no operating overlay
review_without_k,2026Q4,3175.92643761104,3175.92643761104,0,3120.06200721492,3120.06200721492,-3.63797880709171e-12,research disposition and expectations basis only; no operating overlay
review_without_k,2027Q1,3046.82899619842,3046.82899619842,3.18323145620525e-12,2993.23538509607,2993.23538509607,-3.18323145620525e-12,research disposition and expectations basis only; no operating overlay
nights_case_a,2026Q3,4808.36292949392,4808.36292949392,-2.72848410531878e-12,4723.78400064566,4723.78400064566,-3.63797880709171e-12,research disposition and expectations basis only; no operating overlay
nights_case_a,2026Q4,3179.3436542864,3179.3436542864,4.09272615797818e-12,3123.41911517339,3123.41911517339,-1.81898940354586e-12,research disposition and expectations basis only; no operating overlay
nights_case_a,2027Q1,3069.01166705407,3069.01166705407,1.36424205265939e-12,3015.02786357908,3015.02786357908,-3.18323145620525e-12,research disposition and expectations basis only; no operating overlay
adr_mean_reversion,2026Q3,4808.36292949392,4808.36292949392,-2.72848410531878e-12,4723.78400064566,4723.78400064566,-3.63797880709171e-12,research disposition and expectations basis only; no operating overlay
adr_mean_reversion,2026Q4,3129.86616348533,3129.86616348533,4.09272615797818e-12,3074.81193163394,3074.81193163394,4.54747350886464e-13,research disposition and expectations basis only; no operating overlay
adr_mean_reversion,2027Q1,2983.60898719445,2983.60898719445,4.09272615797818e-12,2931.12741374852,2931.12741374852,-2.27373675443232e-12,research disposition and expectations basis only; no operating overlay
k0_conditional,2026Q3,4808.36292949392,4808.36292949392,-2.72848410531878e-12,4723.78400064566,4723.78400064566,-3.63797880709171e-12,research disposition and expectations basis only; no operating overlay
k0_conditional,2026Q4,3214.7757508938,3214.7757508938,2.27373675443232e-12,3158.22796249161,3158.22796249161,9.09494701772928e-13,research disposition and expectations basis only; no operating overlay
k0_conditional,2027Q1,3121.42284765635,3121.42284765635,2.27373675443232e-12,3066.51713342295,3066.51713342295,3.18323145620525e-12,research disposition and expectations basis only; no operating overlay
