item,value
"inputs on disk: C04 rev, (a), (b), (d); C09 rev, (c) up, (a) down; R05 rev, p","2, 0.33, 0.3, 0.27; 2, 0.47, 0.22; 2, 0.22"
paths A (C09 up x named) / B (Q&A 2027) / C (C04 hold x stated) / D (resolver),A 0.141 / B 0.080 / C 0.066 / D 0.070
union / less 0.03 shared-state overlap = decomposition,0.314 / 0.284
"rev-1 union on rev-1 inputs (0.40 x 0.30, 0.08, 0.26 x 0.20, 0.04)",0.263
"rev-2 inputs with rev-1 conditionals (0.47 x 0.30, 0.08, 0.33 x 0.20, 0.04)",0.291
anchor: 0.5 x C04(a) + 0.25 x C04(b) raw; shaded for the no-line-names habit,0.240; 0.22
"base rate: 4/23 (0.17), 1/18 since 1Q22 (Laplace 0.10), 0/10 since 1Q24 (Laplace 0.08), 0/5 Novembers; regime-conditioned",0.09
blend 0.45 x decomposition + 0.35 x base rate + 0.20 x anchor,0.2031 -> 0.2
"P(Yes | C09 up) / (C09 down): decomposition union, scaled",0.411 -> 0.29 / 0.171 -> 0.12
P(Yes | C04 a hold) / (b) / (d): scaled,0.27 / 0.17 / 0.13
"P(Yes | R05 Yes, Q3 step slipped into Q4: C09 up 0.40 (C09 s7), named 0.20): scaled",0.15
sens decomposition P(named | up) 0.15: decomposition / final,0.227 / 0.178
sens decomposition P(named | up) 0.27 (auditor): decomposition / final,0.272 / 0.198
sens decomposition P(named | up) 0.50: decomposition / final,0.359 / 0.237
sens decomposition C09 up 0.30: decomposition / final,0.243 / 0.185
sens decomposition C09 up 0.60: decomposition / final,0.315 / 0.217
sens decomposition Q&A 2027 path 0.03: decomposition / final,0.246 / 0.186
sens decomposition Q&A 2027 path 0.15: decomposition / final,0.336 / 0.227
sens decomposition resolver path 0.04 (rev 1): decomposition / final,0.261 / 0.193
sens decomposition resolver path 0 (strict conventions): decomposition / final,0.232 / 0.180
sens decomposition resolver path 0.30 (literal 'optimise/efficient' reading): decomposition / final,0.453 / 0.279
sens base rate 4/23 = 0.17: final,0.231
sens base rate 0.05 (0/10 literal): final,0.189
sens anchor unshaded 0.24: final,0.207
sens weights 0.6/0.2/0.2: final,0.232
sens weights 0.3/0.5/0.2: final,0.174
S&M faster than revenue: consecutive quarters to 2Q26 (rev 1 said eight),9
S&M vs revenue y/y 3Q23-2Q26,3Q23 S&M +4.9 rev +17.8 s; 4Q23 S&M +3.9 rev +16.6 s; 1Q24 S&M +14.2 rev +17.8 s; 2Q24 S&M +17.9 rev +10.6 F; 3Q24 S&M +27.5 rev +9.9 F; 4Q24 S&M +29.0 rev +11.8 F; 1Q25 S&M +9.5 rev +6.1 F; 2Q25 S&M +20.6 rev +12.7 F; 3Q25 S&M +24.3 rev +9.7 F; 4Q25 S&M +27.1 rev +12.0 F; 1Q26 S&M +33.4 rev +17.9 F; 2Q26 S&M +26.6 rev +16.5 F
ledger: Yes prints / distinct events (the 2021 sentence repeated 3x = 1) / literal 'optimize the channel and audience mix' letters / of the last 8,4 / 2 / 5 / 0
impact: FY26 margin pp direct ($177M Q4 cut) / FY27 marketing +5% vs +15% pp (2x extrapolation of 40_sensitivities) / FY27 EBITDA $M net of revenue / FY27 margin pp net / FY27 EPS $,+1.24 / +1.34 / +179 / +1.13 / +0.250
impact: 4Q26 nights pt (judgement) / 4Q26 revenue $M / FY27 revenue $M,-0.3 / -9 / -50
stock: level 16x EV/EBITDA $ / P/E 27x route $ / growth read -0.3pt x 0.44 x 9.5 $ / mechanical net (16x route) $ / (27x route) $,+4.84 / +6.76 / -1.25 / +3.58 / +5.51
stock published: mechanical +3.5 (16x route); named behavioural discount 'growth capitulation read' sized 0 to -5 -> range -1.5 to +5.6; EV at 0.20,+3.5; EV +0.70; at 27x route +1.10; at full capitulation discount -0.28
"R05 rev-2 threshold for the monitoring rule: 3Q26 cash S&M <= $724M = +23.7% y/y (rev 1 quoted $706M / +20.7%, withdrawn)",A14-19
