print_quarter,print_date,venue,statement_verbatim_or_paraphrase,yes,note
4Q20,2021-02-25,letter+call,'S&M as a percentage of revenue in the first half of 2021 will be higher than that of the second half'; 'S&M ... in 2021 will be below that of 2019',1,seasonal 2H<1H and FY below 2019: qualifies (slower than revenue)
1Q21,2021-05-13,letter,same 1H>2H sentence repeated,1,qualifies
2Q21,2021-08-12,letter,'S&M as a percentage of revenue in the second half of 2021 will be lower than that of the first half',1,qualifies
3Q21,2021-11-04,call,'in this kind of range for the foreseeable future',0,flat
4Q21,2022-02-15,letter+call,'S&M as a percent of revenue is expected to remain relatively flat'; 'not anticipating further deleverage and also not anticipating a lot of incremental leverage',0,flat = in line with revenue
1Q22,2022-05-03,letter,'remain relatively flat compared to 2021',0,flat
2Q22,2022-08-02,call,'consistent with 2021. A modest increase in the back half',0,flat/up
3Q22,2022-11-01,call,"'amount of money we're spending ... relatively flat from 2022 over 2021, and you should anticipate similar marketing as a percentage of revenue in 2023'",0,dollars flat for the current year only; % flat next year: not a forward slower-than-revenue statement (borderline)
4Q22,2023-02-14,letter+call,'150 bp higher in Q1 2023 but flat as a percent of revenue for the full year',0,flat
1Q23,2023-05-09,letter+call,"'400 bp higher in Q2'; call: 'for the full year, total marketing costs will be roughly the same as they were in the prior year'",1,call: FY23 marketing dollars flat while revenue grows = slower than revenue (borderline; letter says flat as % of revenue)
2Q23,2023-08-03,call,'remain relatively flat year-over-year on a total-year basis',0,flat
3Q23,2023-11-01,call,'basis for a major new marketing campaign next year',0,up
4Q23,2024-02-13,call,"'keep marketing costs as a percentage of revenue largely the same ... we probably could see additional leverage on marketing, but ... expanding to 20 countries'",0,leverage mentioned as a possibility then negated; flat (borderline)
1Q24,2024-05-08,call,'marketing is one line item you will potentially see some margin compression',0,up
2Q24,2024-08-06,letter+call,'Marketing expense is expected to grow faster than revenue ... in Q3 2024'; 'lean into those growth investments in the back half',0,up
3Q24,2024-11-07,letter+call,'Q4 2024 Adjusted EBITDA Margin is expected to decline ... due to higher marketing and product development expenses'; 'level of incremental marketing spend on a year-over-year basis is relatively modest',0,up
4Q24,2025-02-13,letter+call,'$200-250 million towards launching and scaling new businesses'; 'not to grow the core market marketing spend faster than revenue' (core only; total up),0,total up; core-only leverage does not qualify
1Q25,2025-05-01,letter+call,'Marketing expense is expected to grow faster than revenue ... in Q2 2025'; 'every month we're looking at the relative efficiencies by channel',0,up; efficiency process talk is generic
2Q25,2025-08-06,letter+call,'approximately $200 million towards services and experiences in 2025'; 'programmatic marketing ... relatively stable from a percent of revenue basis',0,up/flat
3Q25,2025-11-06,call,'every incremental new business we launch is going to be more efficient to launch',0,generic
4Q25,2026-02-12,letter+call,"'reinvest top-line efficiencies ... primarily in marketing, product, and technology'; 'incremental investment to drive growth is obviously in sales and marketing'",0,up
1Q26,2026-05-07,letter+call,"'prioritize reinvestment ... specifically on efficient marketing spend, international expansion, and AI initiatives'",0,"'efficient' as an adjective on spend that is being increased: generic, does not qualify"
2Q26,2026-08-06,letter+call,"'margin down slightly ... due to timing of investments'; 'some incremental investment' (marketing, 2H); 'partially offset by continued investment in sales and marketing'",0,up
