quarter,day75,commit_date,committed_utc,commit_full,lag_days,timestamp_date_matches,commit_after_day75,lag_reconciles,days_present_75,eu40_yoy_reconciles,core_yoy_reconciles
3Q22,2022-09-13,2022-09-14,2022-09-14T06:03:44+00:00,55f13a3f26556fed0aec6d315c72daaa6dc51679,1,True,True,True,True,True,True
4Q22,2022-12-14,2022-12-15,2022-12-15T07:03:28+00:00,14d3f98f26414a4a46c9826fb24b8a6c66583586,1,True,True,True,True,True,True
1Q23,2023-03-16,2023-03-17,2023-03-17T07:02:57+00:00,1d85aa6c938c4a0b5c95028bcf9ce7d86b623a38,1,True,True,True,True,True,True
2Q23,2023-06-14,2023-06-29,2023-06-29T07:13:39+00:00,2ab5196f4de7d47f4fa280e10b3a13cc98b417c6,15,True,True,True,True,True,True
3Q23,2023-09-13,2023-09-14,2023-09-14T06:04:32+00:00,0b189dd87cf0cf33a542d8695dea486a7038dad7,1,True,True,True,True,True,True
4Q23,2023-12-14,2023-12-15,2023-12-15T07:02:46+00:00,b184f11994c6345c0056acb989056bf927f86c40,1,True,True,True,True,True,True
1Q24,2024-03-15,2024-03-16,2024-03-16T07:03:26+00:00,e52e4f1e697ec0d613d0f6380192c47fdb9ce04a,1,True,True,True,True,True,True
2Q24,2024-06-14,2024-06-15,2024-06-15T06:04:04+00:00,0d5ae5a1012fa721bd77a44fbcd40bb5d542ef94,1,True,True,True,True,True,True
3Q24,2024-09-13,2024-09-16,2024-09-16T14:14:17+00:00,3586eac74d9f470ae6875ed92a0e8278661bbd98,3,True,True,True,True,True,True
4Q24,2024-12-14,2024-12-15,2024-12-15T07:55:14+00:00,61e3185236af224253ab3b5189a2359241e17b9f,1,True,True,True,True,True,True
1Q25,2025-03-16,2025-03-17,2025-03-17T07:55:43+00:00,c7ac5abe878a4987b09c770e8f8d9673221db096,1,True,True,True,True,True,True
2Q25,2025-06-14,2025-06-15,2025-06-15T06:57:32+00:00,aaa8c4d85eb790e76feb580850a4a73f33644723,1,True,True,True,True,True,True
3Q25,2025-09-13,2025-09-22,2025-09-22T06:58:52+00:00,b675376366e7dc2ebfffc7dbae66a8901ca116bf,9,True,True,True,True,True,True
4Q25,2025-12-14,2025-12-15,2025-12-15T07:58:46+00:00,4942c23722f184cbde20f2ea2b03810d3ddeeb74,1,True,True,True,True,True,True
1Q26,2026-03-16,2026-03-17,2026-03-17T08:21:15+00:00,758ed71019b0d3c57fdb79b9c3f0a896f4689fb4,1,True,True,True,True,True,True
2Q26,2026-06-14,2026-06-30,2026-06-30T13:56:59+00:00,4085819131557ce0fac6ca6801d554d38b65948f,16,True,True,True,True,True,True
3Q26,2026-09-13,2026-09-14,2026-09-14T06:56:53+00:00,c3d58c5cd2f274c51ced8352bf6b770716355411,1,True,True,True,True,True,True
