merchant_name,category,bnpl_provider,source_urls,merchant_urls
A-Premium Auto Parts,Auto,affirm,https://www.affirm.com/shopping/auto,
Abt Electronics,Electronics,affirm,https://www.affirm.com/shopping/electronics,
Ace Hardware,Home & Furniture,affirm,https://www.affirm.com/shopping/home-and-furniture,
adidas,Apparel,affirm,https://www.affirm.com/shopping/apparel; https://www.affirm.com/shopping/fitness-and-gear; https://www.affirm.com/shopping/shoes,
adidas,Fitness & Gear,affirm,https://www.affirm.com/shopping/apparel; https://www.affirm.com/shopping/fitness-and-gear; https://www.affirm.com/shopping/shoes,
adidas,Shoes,affirm,https://www.affirm.com/shopping/apparel; https://www.affirm.com/shopping/fitness-and-gear; https://www.affirm.com/shopping/shoes,
Adorama,Electronics,affirm,https://www.affirm.com/shopping/electronics,
Agoda,Travel & Events,affirm,https://www.affirm.com/shopping/travel,
Alexander McQueen,Luxury,affirm,https://www.affirm.com/shopping/luxury,
Alexander Wang,Apparel,affirm,https://www.affirm.com/shopping/apparel; https://www.affirm.com/shopping/luxury,
Alexander Wang,Luxury,affirm,https://www.affirm.com/shopping/apparel; https://www.affirm.com/shopping/luxury,
AliExpress,Home & Furniture,affirm,https://www.affirm.com/shopping/home-and-furniture,
Alo Yoga,Fitness & Gear,affirm,https://www.affirm.com/shopping/fitness-and-gear,
Alternative Airlines,Travel & Events,affirm,https://www.affirm.com/shopping/travel,
Amazon,Electronics,affirm,https://www.affirm.com/shopping/electronics; https://www.affirm.com/shopping/home-and-furniture,
Amazon,Home & Furniture,affirm,https://www.affirm.com/shopping/electronics; https://www.affirm.com/shopping/home-and-furniture,
American Airlines,Travel & Events,affirm,https://www.affirm.com/shopping/travel,
American Eagle,Apparel,affirm,https://www.affirm.com/shopping/apparel,
ASAP Tickets,Travel & Events,affirm,https://www.affirm.com/shopping/events-experiences,
Ashley,Home & Furniture,affirm,https://www.affirm.com/shopping/home-and-furniture,
Avis,Travel & Events,affirm,https://www.affirm.com/shopping/travel,
Awara Sleep,Home & Furniture,affirm,https://www.affirm.com/shopping/home-and-furniture,
B&H Photo,Electronics,affirm,https://www.affirm.com/shopping/electronics,
Bass Pro Shops,Fitness & Gear,affirm,https://www.affirm.com/shopping/fitness-and-gear,
BaubleBar,Accessories,affirm,https://www.affirm.com/shopping/accessories,
Beautyrest,Home & Furniture,affirm,https://www.affirm.com/shopping/home-and-furniture,
Bed Bath & Beyond,Home & Furniture,affirm,https://www.affirm.com/shopping/home-and-furniture,
Belk,Shoes,affirm,https://www.affirm.com/shopping/shoes,
Best Buy,Electronics,affirm,https://www.affirm.com/shopping/electronics,
BISSELL,Home & Furniture,affirm,https://www.affirm.com/shopping/home-and-furniture,
Blinds.com,Home & Furniture,affirm,https://www.affirm.com/shopping/home-and-furniture,
Bloomingdale's,Accessories,affirm,https://www.affirm.com/shopping/accessories; https://www.affirm.com/shopping/apparel; https://www.affirm.com/shopping/shoes,
Bloomingdale's,Apparel,affirm,https://www.affirm.com/shopping/accessories; https://www.affirm.com/shopping/apparel; https://www.affirm.com/shopping/shoes,
Bloomingdale's,Shoes,affirm,https://www.affirm.com/shopping/accessories; https://www.affirm.com/shopping/apparel; https://www.affirm.com/shopping/shoes,
Bob's Discount Furniture,Home & Furniture,affirm,https://www.affirm.com/shopping/home-and-furniture,
Booking.com,Travel & Events,affirm,https://www.affirm.com/shopping/travel,
Bottega Veneta,Luxury,affirm,https://www.affirm.com/shopping/luxury,
Bowflex,Fitness & Gear,affirm,https://www.affirm.com/shopping/fitness-and-gear,
Braun,Beauty,affirm,https://www.affirm.com/shopping/beauty-and-health,
Brilliant Earth,Accessories,affirm,https://www.affirm.com/shopping/accessories,
Burberry,Luxury,affirm,https://www.affirm.com/shopping/luxury,
Cabela's,Fitness & Gear,affirm,https://www.affirm.com/shopping/fitness-and-gear,
Cafe Appliances,Home & Furniture,affirm,https://www.affirm.com/shopping/home-and-furniture,
Canada Goose,Apparel,affirm,https://www.affirm.com/shopping/apparel,
Casper,Home & Furniture,affirm,https://www.affirm.com/shopping/home-and-furniture,
Champs,Apparel,affirm,https://www.affirm.com/shopping/apparel,
Chanel,Luxury,affirm,https://www.affirm.com/shopping/luxury,
CheapOair,Travel & Events,affirm,https://www.affirm.com/shopping/travel,https://www.anrdoezrs.net/click-8191141-13652769
CheapOair Packages,Travel & Events,affirm,https://www.affirm.com/shopping/travel,
Coach,Accessories,affirm,https://www.affirm.com/shopping/accessories; https://www.affirm.com/shopping/apparel,
Coach,Apparel,affirm,https://www.affirm.com/shopping/accessories; https://www.affirm.com/shopping/apparel,
Coach Outlet,Accessories,affirm,https://www.affirm.com/shopping/accessories,
Costco,Auto,affirm,https://www.affirm.com/shopping/auto; https://www.affirm.com/shopping/beauty-and-health; https://www.affirm.com/shopping/electronics; https://www.affirm.com/shopping/home-and-furniture,
Costco,Beauty,affirm,https://www.affirm.com/shopping/auto; https://www.affirm.com/shopping/beauty-and-health; https://www.affirm.com/shopping/electronics; https://www.affirm.com/shopping/home-and-furniture,
Costco,Electronics,affirm,https://www.affirm.com/shopping/auto; https://www.affirm.com/shopping/beauty-and-health; https://www.affirm.com/shopping/electronics; https://www.affirm.com/shopping/home-and-furniture,
Costco,Home & Furniture,affirm,https://www.affirm.com/shopping/auto; https://www.affirm.com/shopping/beauty-and-health; https://www.affirm.com/shopping/electronics; https://www.affirm.com/shopping/home-and-furniture,
Crutchfield,Electronics,affirm,https://www.affirm.com/shopping/electronics,
David Yurman,Accessories,affirm,https://www.affirm.com/shopping/accessories,
Dell,Electronics,affirm,https://www.affirm.com/shopping/electronics,
Dermstore,Beauty,affirm,https://www.affirm.com/shopping/beauty-and-health,
Dior,Luxury,affirm,https://www.affirm.com/shopping/luxury,
Dior Beauty,Beauty,affirm,https://www.affirm.com/shopping/beauty-and-health,
Dolce & Gabbana,Luxury,affirm,https://www.affirm.com/shopping/luxury,
Dr. Martens,Shoes,affirm,https://www.affirm.com/shopping/shoes,
DreamCloud Sleep,Home & Furniture,affirm,https://www.affirm.com/shopping/home-and-furniture,
DSW,Shoes,affirm,https://www.affirm.com/shopping/shoes,
Dyson,Beauty,affirm,https://www.affirm.com/shopping/beauty-and-health; https://www.affirm.com/shopping/electronics; https://www.affirm.com/shopping/home-and-furniture,
Dyson,Electronics,affirm,https://www.affirm.com/shopping/beauty-and-health; https://www.affirm.com/shopping/electronics; https://www.affirm.com/shopping/home-and-furniture,
Dyson,Home & Furniture,affirm,https://www.affirm.com/shopping/beauty-and-health; https://www.affirm.com/shopping/electronics; https://www.affirm.com/shopping/home-and-furniture,
eBay,Electronics,affirm,https://www.affirm.com/shopping/electronics,
eBay Auto,Auto,affirm,https://www.affirm.com/shopping/auto,
Event Tickets Center,Travel & Events,affirm,https://www.affirm.com/shopping/events-experiences,
Expedia Flights,Travel & Events,affirm,https://www.affirm.com/shopping/travel,
Expedia Hotels & Vacation Packages,Travel & Events,affirm,https://www.affirm.com/shopping/travel,
Fanatics,Apparel,affirm,https://www.affirm.com/shopping/apparel,
FARFETCH,Apparel,affirm,https://www.affirm.com/shopping/apparel,
Ferragamo,Luxury,affirm,https://www.affirm.com/shopping/luxury,
Finish Line,Shoes,affirm,https://www.affirm.com/shopping/shoes,
Flashark,Auto,affirm,https://www.affirm.com/shopping/auto,
FlightHub,Travel & Events,affirm,https://www.affirm.com/shopping/travel,
FWRD,Apparel,affirm,https://www.affirm.com/shopping/apparel,
GE Appliances,Home & Furniture,affirm,https://www.affirm.com/shopping/home-and-furniture,
GetYourGuide,Travel & Events,affirm,https://www.affirm.com/shopping/events-experiences,
GIVENCHY Beauty,Beauty,affirm,https://www.affirm.com/shopping/beauty-and-health,
Glossier,Beauty,affirm,https://www.affirm.com/shopping/beauty-and-health,
Goodyear Tire,Auto,affirm,https://www.affirm.com/shopping/auto,
Great Wolf Resorts,Travel & Events,affirm,https://www.affirm.com/shopping/events-experiences; https://www.affirm.com/shopping/travel,
Groupon,Travel & Events,affirm,https://www.affirm.com/shopping/events-experiences,
Grown Brilliance,Accessories,affirm,https://www.affirm.com/shopping/accessories,
Hotels.com,Travel & Events,affirm,https://www.affirm.com/shopping/travel,
Husky Liners,Auto,affirm,https://www.affirm.com/shopping/auto,
iRobot,Home & Furniture,affirm,https://www.affirm.com/shopping/home-and-furniture,
J&P Cycles,Auto,affirm,https://www.affirm.com/shopping/auto,
JD Sports,Shoes,affirm,https://www.affirm.com/shopping/shoes,
Jegs High Performance Inc.,Auto,affirm,https://www.affirm.com/shopping/auto,
Jimmy Choo,Luxury,affirm,https://www.affirm.com/shopping/luxury,
Jomashop,Accessories,affirm,https://www.affirm.com/shopping/accessories; https://www.affirm.com/shopping/apparel,
Jomashop,Apparel,affirm,https://www.affirm.com/shopping/accessories; https://www.affirm.com/shopping/apparel,
