merchant_id,merchant_name,public_parent_company,ticker,CIK,first_bnpl_provider,first_bnpl_adoption_exact,first_bnpl_adoption_month,first_bnpl_adoption_quarter,first_bnpl_adoption_year,first_bnpl_period_start,first_bnpl_period_end,first_bnpl_precision,first_bnpl_confidence,number_of_current_platforms,earlier_external_bnpl_detected,treatment_scope,parent_treatment_eligible,main_regression_eligible,main_quarterly_sample,year_only_sample,interval_timing_sample,unknown_timing_sample,manual_review_required
M0001,American Airlines,American Airlines Group Inc.,AAL,6201,,,,,,,,unknown,UNKNOWN,2,TRUE,parent_core_business,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
M0002,Advance Auto Parts,ADVANCE AUTO PARTS INC,AAP,1158449,,,,,,,,unknown,UNKNOWN,1,FALSE,parent_core_business,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
M0003,Apple,Apple Inc.,AAPL,320193,,,,,,,,unknown,UNKNOWN,2,TRUE,parent_core_business,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
M0004,Airbnb,"Airbnb, Inc.",ABNB,1559720,,,,,,,,unknown,UNKNOWN,1,TRUE,parent_core_business,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
M0005,Autodesk,"Autodesk, Inc.",ADSK,769397,,,,,,,,unknown,UNKNOWN,1,FALSE,parent_core_business,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
M0006,American Eagle,AMERICAN EAGLE OUTFITTERS INC,AEO,919012,,,,,,,,unknown,UNKNOWN,4,FALSE,parent_core_business,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
M0007,Allstate,ALLSTATE CORP,ALL,899051,,,,,,,,unknown,UNKNOWN,1,TRUE,parent_core_business,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
M0008,Amazon,AMAZON COM INC,AMZN,1018724,,,,,,,,unknown,UNKNOWN,2,FALSE,parent_core_business,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
M0009,Zappos,AMAZON COM INC,AMZN,1018724,,,,,,,,unknown,UNKNOWN,3,TRUE,major_brand_or_subsidiary,REVIEW,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
M0010,Abercrombie & Fitch,ABERCROMBIE & FITCH CO /DE/,ANF,1018840,,,,,,,,unknown,UNKNOWN,2,FALSE,parent_core_business,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
M0011,AppFolio,APPFOLIO INC,APPF,1433195,,,,,,,,unknown,UNKNOWN,1,TRUE,parent_core_business,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
M0012,Arhaus,"Arhaus, Inc.",ARHS,1875444,,,,,,,,unknown,UNKNOWN,1,FALSE,parent_core_business,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
M0013,Academy Sports,"Academy Sports & Outdoors, Inc.",ASO,1817358,,,,,,,,unknown,UNKNOWN,1,FALSE,parent_core_business,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
M0014,AutoZone,AUTOZONE INC,AZO,866787,,,,,,,,unknown,UNKNOWN,1,FALSE,parent_core_business,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
