CIK,unique_company_id,sec_entity_name,input_public_parent_company,ticker,exchange,merchant_names,canonical_merchant_names,merchant_count,input_public_merchant_rows,bnpl_providers,companyfacts_status,submissions_status,sec_companyfacts_url,sec_submissions_url
0000006201,0000006201,American Airlines Group Inc.,American Airlines Group Inc.,AAL,Nasdaq,American Airlines,americanairlines,1,1,affirm; zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000006201.json,https://data.sec.gov/submissions/CIK0000006201.json
0000016988,0000016988,CANON INC,CANON INC,CAJPY,OTC,Canon,canon,1,1,klarna; zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000016988.json,https://data.sec.gov/submissions/CIK0000016988.json
0000018255,0000018255,THE CATO CORPORATION,CATO CORP,CATO,NYSE,Cato,cato,1,1,klarna; sezzle,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000018255.json,https://data.sec.gov/submissions/CIK0000018255.json
0000027419,0000027419,TARGET CORPORATION,TARGET CORP,TGT,NYSE,Target,target,1,1,affirm; klarna; sezzle; zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000027419.json,https://data.sec.gov/submissions/CIK0000027419.json
0000028917,0000028917,"DILLARD’S, INC.","DILLARD'S, INC.",DDS,NYSE,Dillard's,dillards,1,1,afterpay; klarna,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000028917.json,https://data.sec.gov/submissions/CIK0000028917.json
0000029534,0000029534,DOLLAR GENERAL CORP,DOLLAR GENERAL CORP,DG,NYSE,Dollar General,dollargeneral,1,1,klarna,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000029534.json,https://data.sec.gov/submissions/CIK0000029534.json
0000039911,0000039911,"GAP, INC",GAP INC,GAP,NYSE,Athleta; Banana Republic; Gap; Gap Factory; Old Navy,athleta; bananarepublic; gap; gapfactory; oldnavy,5,5,affirm; afterpay; klarna; sezzle,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000039911.json,https://data.sec.gov/submissions/CIK0000039911.json
0000041091,0000041091,GEORGIA POWER CO,GEORGIA POWER CO,GPJA,NYSE,Georgia Power Company,georgiapower,1,1,zip,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000041091.json,https://data.sec.gov/submissions/CIK0000041091.json
0000042582,0000042582,THE GOODYEAR TIRE & RUBBER COMPANY,GOODYEAR TIRE & RUBBER CO /OH/,GT,Nasdaq,Goodyear Tire,goodyeartire,1,1,affirm,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000042582.json,https://data.sec.gov/submissions/CIK0000042582.json
0000047217,0000047217,HP INC.,HP INC,HPQ,NYSE,HP,hp,1,1,klarna; sezzle,cache,sec_user_agent_missing,https://data.sec.gov/api/xbrl/companyfacts/CIK0000047217.json,https://data.sec.gov/submissions/CIK0000047217.json
