merchant_name,category,bnpl_provider,source_urls,merchant_urls
Agoda,Travel & Events,affirm,https://www.affirm.com/shopping/travel,
Alternative Airlines,Travel & Events,affirm,https://www.affirm.com/shopping/travel,
American Airlines,Travel & Events,affirm,https://www.affirm.com/shopping/travel,
ASAP Tickets,Travel & Events,affirm,https://www.affirm.com/shopping/events-experiences,
Avis,Travel & Events,affirm,https://www.affirm.com/shopping/travel,
Booking.com,Travel & Events,affirm,https://www.affirm.com/shopping/travel,
CheapOair,Travel & Events,affirm,https://www.affirm.com/shopping/travel,https://www.anrdoezrs.net/click-8191141-13652769
CheapOair Packages,Travel & Events,affirm,https://www.affirm.com/shopping/travel,
Event Tickets Center,Travel & Events,affirm,https://www.affirm.com/shopping/events-experiences,
Expedia Flights,Travel & Events,affirm,https://www.affirm.com/shopping/travel,
Expedia Hotels & Vacation Packages,Travel & Events,affirm,https://www.affirm.com/shopping/travel,
FlightHub,Travel & Events,affirm,https://www.affirm.com/shopping/travel,
GetYourGuide,Travel & Events,affirm,https://www.affirm.com/shopping/events-experiences,
Great Wolf Resorts,Travel & Events,affirm,https://www.affirm.com/shopping/events-experiences; https://www.affirm.com/shopping/travel,
Groupon,Travel & Events,affirm,https://www.affirm.com/shopping/events-experiences,
Hotels.com,Travel & Events,affirm,https://www.affirm.com/shopping/travel,
JustFly,Travel & Events,affirm,https://www.affirm.com/shopping/travel,
OneTravel,Travel & Events,affirm,https://www.affirm.com/shopping/travel,
Priceline,Travel & Events,affirm,https://www.affirm.com/shopping/travel,
Rental Cars by Booking.com,Travel & Events,affirm,https://www.affirm.com/shopping/travel,
Royal Caribbean,Travel & Events,affirm,https://www.affirm.com/shopping/travel,
RVshare,Travel & Events,affirm,https://www.affirm.com/shopping/travel,
Sea World,Travel & Events,affirm,https://www.affirm.com/shopping/events-experiences; https://www.affirm.com/shopping/travel,
StubHub,Travel & Events,affirm,https://www.affirm.com/shopping/events-experiences,
TicketLiquidator,Travel & Events,affirm,https://www.affirm.com/shopping/events-experiences,
TicketNetwork,Travel & Events,affirm,https://www.affirm.com/shopping/events-experiences,
TickPick,Travel & Events,affirm,https://www.affirm.com/shopping/events-experiences,
Travelocity,Travel & Events,affirm,https://www.affirm.com/shopping/travel,
Trip.com,Travel & Events,affirm,https://www.affirm.com/shopping/travel,
viagogo,Travel & Events,affirm,https://www.affirm.com/shopping/events-experiences,
Viator,Travel & Events,affirm,https://www.affirm.com/shopping/events-experiences; https://www.affirm.com/shopping/travel,
Vivid Seats,Travel & Events,affirm,https://www.affirm.com/shopping/events-experiences,
Vrbo,Travel & Events,affirm,https://www.affirm.com/shopping/events-experiences; https://www.affirm.com/shopping/travel,
Aero,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,https://aero.com/afterpay
Agoda,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/tickets; https://www.afterpay.com/en-US/categories/travel,https://www.agoda.com/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Airportag,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/home; https://www.afterpay.com/en-US/categories/travel,https://airportag.com?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Alternative Airlines,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,https://www.alternativeairlines.com/cash-app-afterpay?utm_source=afterpay&utm_medium=affiliate&utm_campaign=afterpay-ads
Arcave Room,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/tickets,http://www.arcaveroom.com/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Bag All,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,https://www.bag-all.com/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Bella Vida Day Spa LLC,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/tickets,http://www.bellavidadayspallc.com/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Birdling Bags,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/travel,https://birdling.com?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
Book Pop,Travel & Entertainment,afterpay,https://www.afterpay.com/en-US/categories/tickets,http://bookpop.shop/?utm_source=afterpay&utm_medium=referral&utm_campaign=feature
