window,model,n,n_origins,n_missing,rmse_musd,mae_musd,bias_musd,rmse_relative_pct,ratio_to_fixed_ols,ratio_to_naive_usd,n_interval,coverage_80,mean_interval_width_pct
W1,free_w_usd,14,14,0,63.1971273532,48.3806892137,12.534232326,2.39472924767,1.16540739036,0.672089834806,8,0.875,9.73813171306
W1,fixed_2_3_usd,14,14,0,54.2274983634,41.7834045867,28.0367293903,2.22287056929,1,0.576699478971,8,0.875,9.10547651208
W1,free_w_relative,14,14,0,71.45088465,55.1857285498,41.9164202595,2.91901467251,1.31761351356,0.759867026754,8,0.875,11.1373142203
W1,fixed_2_3_relative,14,14,0,73.188951487,55.8154448549,53.5065952395,2.90721902216,1.34966490611,0.778351048136,8,0.875,11.0343410775
W1,K0_fixed_operational,12,14,2,48.6641351325,39.1163453821,8.80669727351,1.91648427327,0.866768582638,0.485331036989,0,,
W1,legacy_fixed_season_mean,14,14,0,78.1268588562,61.0955213007,59.0231396172,3.06592251663,1.4407240093,0.830864785502,0,,
W1,legacy_fixed_last3_ex2021,14,14,0,52.2073766405,38.506613564,0.255938139063,2.04982356639,0.962747281659,0.555215855713,0,,
W1,harness_naive,14,14,0,94.0307739833,75.0933822862,12.7765859331,3.40499465918,1.73400538143,1,0,,
W1,harness_ar1,14,14,0,103.541872049,90.1165497988,-48.7781944138,3.80081992347,1.90939791018,1.10114877995,0,,
W1,guide_cushion_postguide,14,14,0,35.4565084194,30.9936933479,10.5984002328,1.20367821982,0.653847392734,0.377073450716,0,,
W2,free_w_usd,10,10,0,57.3924470451,41.4142617096,17.0883792906,2.29692170777,1.01551294817,0.52931486663,8,0.875,9.73813171306
W2,fixed_2_3_usd,10,10,0,56.5157215855,42.2487345855,26.2251885276,2.23566010403,1,0.521229067128,8,0.875,9.10547651208
W2,free_w_relative,10,10,0,69.971427345,48.8863833177,42.7952639153,2.78585364187,1.23808783436,0.645327366924,8,0.875,11.1373142203
W2,fixed_2_3_relative,10,10,0,74.0202063654,55.5019902589,52.2696007974,2.81790654007,1.30972770565,0.682668150208,8,0.875,11.0343410775
W2,K0_fixed_operational,10,10,0,52.6901372438,43.3411770579,10.9787279582,2.06993766129,0.932309378092,0.485946747417,0,,
W2,legacy_fixed_season_mean,10,10,0,78.8214369228,60.8014281511,57.9000937941,2.96110141738,1.39468159853,0.726948588541,0,,
W2,legacy_fixed_last3_ex2021,10,10,0,51.1886057018,36.1649384367,5.85749647253,2.08269251699,0.905740991458,0.472098532037,0,,
W2,harness_naive,10,10,0,108.427801038,91.482483562,4.23896866769,3.84394421474,1.91854227453,1,0,,
W2,harness_ar1,10,10,0,109.443798118,93.4408306841,-35.5671331451,3.92355308401,1.93651952143,1.00937026363,0,,
W2,guide_cushion_postguide,10,10,0,34.5963428806,30.8952035646,8.72829266582,1.15510561905,0.612154315826,0.319072622977,0,,
