series,cohort,portfolio,start_month,end_month,markets,baseline_ids,missing_ids,observed_rate,fixed_market_weighted_rate,fixed_market_weighted_30d_rate,review_weighted_rate,min_interval_days,max_interval_days,market_set
balanced_event,all_listings,all,2025-09,2025-10,11,136142,5585,0.041023343273934566,0.041023343273934566,0.04336822366101194,0.026225046476351644,20,40,albany | bozeman | brisbane | dallas | mid-north-coast | new-york-city | new-zealand | quebec-city | toronto | vancouver | vaud
balanced_event,all_listings,all,2025-10,2025-11,11,135406,4108,0.030338389731621937,0.030487350717363748,0.024172676051544155,0.02055708621347087,24,49,albany | bozeman | brisbane | dallas | mid-north-coast | new-york-city | new-zealand | quebec-city | toronto | vancouver | vaud
balanced_event,all_listings,all,2025-11,2025-12,11,138185,4742,0.03431631508485002,0.03439189545428,0.03831810456914236,0.026724406632792616,17,42,albany | bozeman | brisbane | dallas | mid-north-coast | new-york-city | new-zealand | quebec-city | toronto | vancouver | vaud
balanced_event,all_listings,all,2025-12,2026-01,11,139895,17827,0.12743128775152793,0.1276441412226765,0.12236640835540423,0.06411706113594391,15,36,albany | bozeman | brisbane | dallas | mid-north-coast | new-york-city | new-zealand | quebec-city | toronto | vancouver | vaud
balanced_event,all_listings,one,2025-09,2025-10,11,65331,2491,0.03812891276729271,0.03812891276729271,0.040258832607307206,0.027050724436933817,20,40,albany | bozeman | brisbane | dallas | mid-north-coast | new-york-city | new-zealand | quebec-city | toronto | vancouver | vaud
balanced_event,all_listings,one,2025-10,2025-11,11,64847,1761,0.027156229278147023,0.02721220482004788,0.021545462812929156,0.019614377396950232,24,49,albany | bozeman | brisbane | dallas | mid-north-coast | new-york-city | new-zealand | quebec-city | toronto | vancouver | vaud
balanced_event,all_listings,one,2025-11,2025-12,11,66087,1829,0.027675639687079152,0.02765987963550745,0.032298158300465535,0.02313308674907531,17,42,albany | bozeman | brisbane | dallas | mid-north-coast | new-york-city | new-zealand | quebec-city | toronto | vancouver | vaud
balanced_event,all_listings,one,2025-12,2026-01,11,66900,9952,0.1487593423019432,0.14932507733548556,0.14222206459347012,0.06712984149436285,15,36,albany | bozeman | brisbane | dallas | mid-north-coast | new-york-city | new-zealand | quebec-city | toronto | vancouver | vaud
balanced_event,all_listings,five_plus,2025-09,2025-10,11,40349,1714,0.04247936751840194,0.04247936751840194,0.04479410249816229,0.024608673180576406,20,40,albany | bozeman | brisbane | dallas | mid-north-coast | new-york-city | new-zealand | quebec-city | toronto | vancouver | vaud
balanced_event,all_listings,five_plus,2025-10,2025-11,11,40338,1318,0.03267390549853736,0.032953941636720316,0.02644387803720407,0.02480784699941582,24,49,albany | bozeman | brisbane | dallas | mid-north-coast | new-york-city | new-zealand | quebec-city | toronto | vancouver | vaud
balanced_event,all_listings,five_plus,2025-11,2025-12,11,41195,1850,0.04490836266537201,0.04507481576517446,0.04754217008403725,0.03720467366477426,17,42,albany | bozeman | brisbane | dallas | mid-north-coast | new-york-city | new-zealand | quebec-city | toronto | vancouver | vaud
