series,cohort,portfolio,comparison_start,comparison_end,baseline_start,baseline_end,markets,change_30d_rate_pp,markets_increased,leave_one_market_out_min_pp,leave_one_market_out_max_pp,interpretation
balanced_event,all_listings,all,2025-10,2025-11,2025-09,2025-10,11,-1.9195547609467778,2,-2.2484092089783583,-1.5221852391926183,"Descriptive fixed-weight paired change and concentration sensitivity, not a causal estimate or confidence interval"
balanced_event,all_listings,all,2025-11,2025-12,2025-09,2025-10,11,-0.5050119091869576,3,-1.2357917395256353,-0.016338604826345825,"Descriptive fixed-weight paired change and concentration sensitivity, not a causal estimate or confidence interval"
balanced_event,all_listings,all,2025-12,2026-01,2025-09,2025-10,11,7.899818469439227,8,5.0809325647614845,10.828185686385686,"Descriptive fixed-weight paired change and concentration sensitivity, not a causal estimate or confidence interval"
balanced_event,all_listings,one,2025-10,2025-11,2025-09,2025-10,11,-1.8713369794378047,2,-2.287659723982559,-1.2874429198900168,"Descriptive fixed-weight paired change and concentration sensitivity, not a causal estimate or confidence interval"
balanced_event,all_listings,one,2025-11,2025-12,2025-09,2025-10,11,-0.7960674306841671,4,-1.8680679686216912,-0.1173961184488532,"Descriptive fixed-weight paired change and concentration sensitivity, not a causal estimate or confidence interval"
balanced_event,all_listings,one,2025-12,2026-01,2025-09,2025-10,11,10.196323198616291,8,6.131943019661873,14.13721986464049,"Descriptive fixed-weight paired change and concentration sensitivity, not a causal estimate or confidence interval"
balanced_event,all_listings,five_plus,2025-10,2025-11,2025-09,2025-10,11,-1.8350224460958222,2,-2.1990049860623495,-1.414373909942075,"Descriptive fixed-weight paired change and concentration sensitivity, not a causal estimate or confidence interval"
balanced_event,all_listings,five_plus,2025-11,2025-12,2025-09,2025-10,11,0.27480675858749626,4,-0.4236400806556998,0.8230087158630618,"Descriptive fixed-weight paired change and concentration sensitivity, not a causal estimate or confidence interval"
balanced_event,all_listings,five_plus,2025-12,2026-01,2025-09,2025-10,11,4.3473978692449196,8,3.393500336344822,6.019531194932826,"Descriptive fixed-weight paired change and concentration sensitivity, not a causal estimate or confidence interval"
balanced_event,reviewed_str_homes,all,2025-10,2025-11,2025-09,2025-10,11,-1.4908160242722437,1,-1.7359083963120205,-1.2884482266975184,"Descriptive fixed-weight paired change and concentration sensitivity, not a causal estimate or confidence interval"
