term,quarter,3Q26_to_date_value,unit,adr_contribution_pp,point_pp,lo,hi,basis,evidence_status,source_file
unit_size,3Q26,1.3461841479376682,"booked capacity (accommodates per reviewed stay) y/y, log pct, fixed-2019 weights, 123 markets",0.796671778749512,0.796671778749512,0.5298648963065857,0.9984702536410068,"measured: reviews dated 2026-07-01..2026-08-16 in the Aug-2026 dumps vs the same window 364 d earlier in each market's 2025 dump; x 0.592 (hedonic 0.399 + 0.140 x 1.374); 119 markets, 2,051,515 reviews; band = constructions x weightings x windows, market bootstrap, listed-basis coefficient","measured; level term, not validated as a timing signal (r -0.17 vs ex-FX ADR, walk-forward loses to naive)",I1_party_size_windows.csv
unit_size,2Q26,1.4647310162744327,"booked capacity y/y, log pct",0.8668278154312092,0.8668278154312092,0.5909048563319012,1.115846976905421,"comparison column, identical construction (vmatch, 2026-04-01..2026-06-30), 119 markets",measured,I1_party_size_windows.csv
unit_size,3Q25_to_date,1.3623252527189955,"booked capacity y/y, log pct",0.8062240845591016,0.8062240845591016,0.5814651448576341,1.0128486085216628,"comparison column, identical construction (oldvintage, 2025-07-01..2025-08-31), 119 markets",measured,I1_party_size_windows.csv
unit_size,3Q25_full,1.3301336467811766,"booked capacity y/y, log pct",0.7871730921651003,0.7871730921651003,0.5685660431895727,0.996630221429085,"comparison column, identical construction (within, 2025-07-01..2025-09-30), 123 markets",measured,I1_party_size_windows.csv
unit_size,3Q26 (H card),1.25,booked capacity y/y pct (13 base case),0.74,0.74,0.0,0.98,comparison column: H card / 13_party_size_adr_forecast base,assumed (trailing 8q),data/processed/q3nowcast/H/adr_forecast_card.csv
los_mix,3Q26,-0.21667924228283858,"change in 28+ share of blocked-run nights, pp y/y, same stay window and lead, occupancy-weighted, global 10-K weights",0.056264096416683895,0.056264096416683895,-0.0810737620689109,0.2887059735483112,"measured on blocked runs (NOT bookings): Jun/Aug-2026 calendars vs each market's 2025 vintage 364 d earlier, 30 markets ex NYC/LA; ratios 14a (7-27n 0.966, 28+ 0.852); band = windows (lead-matched, calendar Q3, calendar Sep) x weighting",measured but unvalidated (no quarterly history of the same construction; 14b's disclosure-based term to 4Q25 is +0.2 to +0.45),I2_los_term.csv
los_mix,3Q26 (H card),-2.0,"d(28+ share) pp, assumed",0.3,0.3,0.0,0.45,comparison column: H card / 14 synthesis base,assumed,data/processed/q3nowcast/H/adr_forecast_card.csv
geo_mix,3Q26,NA +6.9 / EMEA +0.9 / LatAm +27.5 / APAC +10.0,"regional stays y/y pct (E vintage-matched, review-weighted) applied to 3Q25 nights shares and anchored regional ADR",-1.428426033774555,-1.428426033774555,-1.5709104332839452,-0.9353181922914344,measured split (E_aug) x 07/H method; band = review- vs equal-weighted split x regional ex-FX ADR growth zero vs 2Q26 carried,"measured; the E-projected shares reproduce H's disclosed-share term only loosely (RMSE 0.4-0.7 pp, r 0.4, n 10); the term itself does not beat naive on ex-FX ADR",I3_geo_mix_3q26.csv
geo_mix,3Q26 (WS-C index model),NA +6.7 / EMEA +5.9 / LatAm +19.5 / APAC +17.1,regional nights y/y pct,-1.296017119752646,-1.296017119752646,,,"comparison column, same arithmetic on the modelled/assumed split",modelled,I3_geo_mix_3q26.csv
geo_mix,3Q26 (WS10 base cells),NA +7.0 / EMEA +8.0 / LatAm +18.0 / APAC +17.0,regional nights y/y pct,-1.1850650815926844,-1.1850650815926844,,,"comparison column, same arithmetic on the modelled/assumed split",modelled,I3_geo_mix_3q26.csv
geo_mix,3Q26 (2Q26 letter buckets flat),NA +8.0 / EMEA +8.0 / LatAm +20.0 / APAC +18.0,regional nights y/y pct,-1.2242947390820214,-1.2242947390820214,,,"comparison column, same arithmetic on the modelled/assumed split",assumed,I3_geo_mix_3q26.csv
geo_mix,3Q26 (H card),,,-1.19,-1.19,-1.64,-1.04,"comparison column: H card (WS-C C5, 10-K FY25 shares)",modelled,data/processed/q3nowcast/H/adr_forecast_card.csv
