market,region,kind,late,old,gap_days
los-angeles,na,jun,2026-06-15,2025-07-01,349
los-angeles,na,aug,2026-08-10,2025-08-01,374
chicago,na,jun,2026-06-24,2025-05-14,406
chicago,na,aug,2026-08-27,2025-08-19,373
austin,na,jun,2025-05-11,2024-05-19,357
austin,na,jun,2025-07-11,2024-06-17,389
austin,na,jun,2026-06-22,2025-05-11,407
austin,na,aug,2026-08-25,2025-08-16,374
nashville,na,jun,2025-05-17,2024-05-26,356
nashville,na,jun,2025-07-22,2024-06-22,395
nashville,na,jun,2026-06-26,2025-05-17,405
nashville,na,aug,2026-08-27,2025-08-23,369
new-orleans,na,jun,2026-06-16,2025-07-05,346
new-orleans,na,aug,2026-08-15,2025-08-05,375
san-diego,na,jun,2026-06-27,2025-05-21,402
san-diego,na,aug,2026-08-29,2025-08-26,368
paris,emea,jun,2025-05-03,2024-05-11,357
paris,emea,jun,2025-07-07,2024-06-10,392
paris,emea,jun,2026-06-16,2025-05-03,409
paris,emea,aug,2026-08-15,2025-08-08,372
london,emea,aug,2026-08-18,2025-09-14,338
barcelona,emea,aug,2026-08-23,2025-08-10,378
rome,emea,jun,2025-05-09,2024-05-17,357
rome,emea,jun,2025-06-12,2024-06-15,362
rome,emea,jun,2025-07-09,2024-06-15,389
rome,emea,jun,2026-06-20,2025-06-12,373
rome,emea,aug,2026-08-25,2025-08-15,375
sydney,apac,aug,2026-08-15,2025-08-05,375
mexico-city,latam,jun,2026-06-15,2025-06-25,355
mexico-city,latam,aug,2026-08-30,2025-08-29,366
buenos-aires,latam,jun,2026-06-29,2025-07-27,337
buenos-aires,latam,aug,2026-08-30,2025-08-29,366
rio-de-janeiro,latam,jun,2026-06-24,2025-06-24,365
rio-de-janeiro,latam,aug,2026-08-30,2025-08-28,367
santiago,latam,jun,2026-06-29,2025-07-27,337
santiago,latam,aug,2026-08-30,2025-08-29,366
belize,latam,jun,2026-06-29,2025-06-25,369
belize,latam,aug,2026-08-31,2025-08-30,366
tokyo,apac,jun,2026-06-30,2025-06-27,368
tokyo,apac,aug,2026-08-31,2025-08-30,366
singapore,apac,jun,2026-06-29,2025-06-25,369
singapore,apac,aug,2026-08-31,2025-08-30,366
bangkok,apac,jun,2026-06-29,2025-06-24,370
bangkok,apac,aug,2026-08-30,2025-08-28,367
taipei,apac,jun,2026-06-30,2025-06-29,366
taipei,apac,aug,2026-08-31,2025-08-31,365
hong-kong,apac,jun,2026-06-27,2025-05-18,405
hong-kong,apac,aug,2026-08-28,2025-08-24,369
melbourne,apac,aug,2026-08-15,2025-08-05,375
brisbane,apac,aug,2026-08-13,2025-08-04,374
tasmania,apac,jun,2026-06-15,2025-05-03,408
tasmania,apac,aug,2026-08-13,2025-08-04,374
western-australia,apac,jun,2026-06-28,2025-06-23,370
western-australia,apac,aug,2026-08-30,2025-08-28,367
barossa-valley,apac,aug,2026-08-30,2025-09-27,337
sunshine-coast,apac,jun,2026-06-30,2025-06-28,367
sunshine-coast,apac,aug,2026-08-31,2025-08-31,365
mornington-peninsula,apac,jun,2026-06-22,2025-05-13,405
mornington-peninsula,apac,aug,2026-08-26,2025-08-17,374
northern-rivers,apac,jun,2026-06-24,2025-05-14,406
northern-rivers,apac,aug,2026-08-27,2025-08-19,373
mid-north-coast,apac,jun,2026-06-19,2025-05-06,409
mid-north-coast,apac,aug,2026-08-18,2025-08-08,375
barwon-south-west-vic,apac,jun,2026-06-29,2025-06-25,369
barwon-south-west-vic,apac,aug,2026-08-31,2025-08-30,366
