feature,n,r,perm_p,knowable_before_print,wf_start,wf_n,wf_rmse,wf_rmse_naive,wf_rmse_prior,wf_rmse_ar1,wf_ratio_vs_naive,wf_ratio_vs_prior,wf_ratio_vs_ar1,sign_acc,wf_first_t,wf_last_t,rmse_vs_H_pp,mean_diff_pp,target
yoy_vmatch_w_reviews_pp vs H geo_mix (disclosed shares),10,0.4250954627219829,0.2097902097902098,yes,1Q25,6,0.3559314602644098,0.2235183948741141,0.5625047135798474,0.22737981798573487,1.592403437152772,0.6327617381181028,1.565360828491559,0.8333333333333334,4,9,0.6915372466646779,-0.395992968910046,H geo_mix_pp
yoy_vmatch_w_reviews_pp vs ex-FX ADR y/y,10,0.6803924297412137,0.04195804195804196,yes,1Q25,6,1.0926101752774788,0.816496580927726,2.0,1.0355322252925678,1.3381687086013574,0.5463050876387394,1.055119433843582,0.16666666666666666,4,9,,,adr_exfx_yoy_pp
yoy_vmatch_w_equal_pp vs H geo_mix (disclosed shares),10,0.4078146914341233,0.24675324675324675,yes,1Q25,6,0.3547166640068471,0.2235183948741141,0.5625047135798474,0.22737981798573487,1.586968554452192,0.6306021184238398,1.5600182423802493,0.8333333333333334,4,9,0.4201762578085494,0.090117330331192,H geo_mix_pp
yoy_vmatch_w_equal_pp vs ex-FX ADR y/y,10,0.7645289618253486,0.00999000999000999,yes,1Q25,6,0.8954505682720015,0.816496580927726,2.0,1.0355322252925678,1.0966984910758177,0.44772528413600077,0.8647249659652174,0.16666666666666666,4,9,,,adr_exfx_yoy_pp
yoy_all_w_reviews_pp vs H geo_mix (disclosed shares),10,0.4288991074755302,0.21078921078921078,yes,1Q25,6,0.3767692886124301,0.2235183948741141,0.5625047135798474,0.22737981798573487,1.6856298955825408,0.669806455868832,1.6570040909966226,0.8333333333333334,4,9,0.5967888214363143,-0.2700477358117536,H geo_mix_pp
yoy_all_w_reviews_pp vs ex-FX ADR y/y,10,0.7765687053093375,0.01098901098901099,yes,1Q25,6,0.9416519388688257,0.816496580927726,2.0,1.0355322252925678,1.1532833827655404,0.47082596943441285,0.9093410285737672,0.16666666666666666,4,9,,,adr_exfx_yoy_pp
yoy_all_w_equal_pp vs H geo_mix (disclosed shares),10,0.4408298678077702,0.21478521478521478,yes,1Q25,6,0.35134552357711624,0.2235183948741141,0.5625047135798474,0.22737981798573487,1.5718863933994989,0.6246090301023635,1.5451922105028626,0.6666666666666666,4,9,0.4077511054991822,0.02368018077879124,H geo_mix_pp
yoy_all_w_equal_pp vs ex-FX ADR y/y,10,0.7767517147495058,0.004995004995004995,yes,1Q25,6,0.9008676046100683,0.816496580927726,2.0,1.0355322252925678,1.103332978549007,0.45043380230503416,0.8699561274933256,0.5,4,9,,,adr_exfx_yoy_pp
letter_buckets_pp vs H geo_mix (disclosed shares),7,0.9936490821332671,0.001998001998001998,yes,1Q25,3,0.0625600542425973,0.28305872835981044,0.5845909112729764,0.27694371157254316,0.22101439727756428,0.1070150989969543,0.2258944746835683,1.0,7,9,0.07849150026771017,0.06340361146583359,H geo_mix_pp
letter_buckets_pp vs ex-FX ADR y/y,7,0.8905959638801043,0.005994005994005994,yes,1Q25,3,0.8337001569624846,0.816496580927726,2.516611478423583,1.1360215590819402,1.0210699915181658,0.33127885019610503,0.7338770556750943,0.3333333333333333,7,9,,,adr_exfx_yoy_pp
H geo_mix_pp (disclosed shares) vs ex-FX ADR y/y,10,0.7245963548108726,0.01998001998001998,no (needs the print's regional lines),1Q25,6,0.9787862614158089,0.816496580927726,2.0,1.0355322252925678,1.1987634538575591,0.48939313070790447,0.9452011608226615,0.3333333333333333,4,9,,,adr_exfx_yoy_pp
