market_key,region,vintage_late,vintage_old,listings_file
argentina_ciudad-autónoma-de-buenos-aires_buenos-aires,LatAm,2026-08-30,2025-08-29,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\argentina_ciudad-autónoma-de-buenos-aires_buenos-aires_2026-07-24_listings.csv.gz
australia_nsw_mid-north-coast,APAC,2026-08-18,2025-08-08,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\australia_nsw_mid-north-coast_2026-07-16_listings.csv.gz
australia_nsw_northern-rivers,APAC,2026-08-27,2025-08-19,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\australia_nsw_northern-rivers_2026-06-24_listings.csv.gz
australia_nsw_sydney,APAC,2026-08-15,2025-08-05,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\australia_nsw_sydney_2026-06-16_listings.csv.gz
australia_qld_brisbane,APAC,2026-08-13,2025-08-04,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\australia_qld_brisbane_2026-07-14_listings.csv.gz
australia_qld_sunshine-coast,APAC,2026-08-31,2025-08-31,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\australia_qld_sunshine-coast_2026-07-26_listings.csv.gz
australia_sa_barossa-valley,APAC,2026-08-30,2025-08-29,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\australia_sa_barossa-valley_2026-06-29_listings.csv.gz
australia_tas_tasmania,APAC,2026-08-13,2025-08-04,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\australia_tas_tasmania_2026-06-15_listings.csv.gz
australia_vic_barwon-south-west-vic,APAC,2026-08-31,2025-08-30,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\australia_vic_barwon-south-west-vic_2026-06-29_listings.csv.gz
australia_vic_melbourne,APAC,2026-08-15,2025-08-05,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\australia_vic_melbourne_2026-06-16_listings.csv.gz
australia_vic_mornington-peninsula,APAC,2026-08-26,2025-08-17,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\australia_vic_mornington-peninsula_2026-06-22_listings.csv.gz
australia_wa_western-australia,APAC,2026-08-30,2025-08-28,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\australia_wa_western-australia_2026-06-28_listings.csv.gz
austria_vienna_vienna,EMEA,2026-08-25,2025-08-15,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\austria_vienna_vienna_2026-06-20_listings.csv.gz
belgium_bru_brussels,EMEA,2026-08-28,2025-08-24,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\belgium_bru_brussels_2026-06-27_listings.csv.gz
belgium_vlg_antwerp,EMEA,2026-08-31,2025-08-30,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\belgium_vlg_antwerp_2026-06-29_listings.csv.gz
belgium_vlg_ghent,EMEA,2026-08-30,2025-08-28,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\belgium_vlg_ghent_2026-06-29_listings.csv.gz
belize_bz_belize,LatAm,2026-08-31,2025-08-30,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\belize_bz_belize_2026-06-29_listings.csv.gz
brazil_rj_rio-de-janeiro,LatAm,2026-08-30,2025-08-28,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\brazil_rj_rio-de-janeiro_2026-06-24_listings.csv.gz
brazil_sp_são-paulo,LatAm,2026-08-18,,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\brazil_sp_são-paulo_2026-06-14_listings.csv.gz
canada_bc_vancouver,NAM,2026-08-23,2025-08-10,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\canada_bc_vancouver_2026-07-14_listings.csv.gz
canada_bc_victoria,NAM,2026-08-31,2025-08-30,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\canada_bc_victoria_2026-07-24_listings.csv.gz
canada_mb_winnipeg,NAM,2026-08-26,2025-08-17,C:\Users\krish\citadel-abnb\data\raw\inside_airbnb_reviews\canada_mb_winnipeg_2026-06-22_listings.csv.gz
