quarter,H_geo_mix_pp,rebuilt_from_disclosed_shares_pp,yoy_vmatch_w_reviews_pp,yoy_vmatch_w_reviews_g0_pp,yoy_vmatch_w_equal_pp,yoy_vmatch_w_equal_g0_pp,yoy_all_w_reviews_pp,yoy_all_w_reviews_g0_pp,yoy_all_w_equal_pp,yoy_all_w_equal_g0_pp,adr_exfx_yoy_pp,letter_buckets_pp
1Q24,-1.325072509344749,-1.3249706913754489,-2.3954564762425523,-2.2645566673093365,-1.7490121116987112,-1.6184781436427764,-2.1550532364467134,-2.0136260429714725,-1.6683301053242783,-1.5375680913600531,2.0,
2Q24,-1.131644617522953,-1.1317472930853834,-1.7845300590019875,-1.6854865355405813,-1.1306167191760697,-1.039356249281409,-1.8479469062596232,-1.731112488303077,-1.198617395670909,-1.1001090266634983,3.0,
3Q24,-1.1196157663853512,-1.1195134615316515,-1.5487616557348538,-1.5117903782839281,-1.296451131380727,-1.2613519307693388,-1.6410005661188887,-1.6114170402895867,-1.3827303535578261,-1.3542482025115987,2.0,
4Q24,-1.791887454358232,-1.7919899446328769,-1.1949354626290543,-1.1489105766395613,-0.9128905331105441,-0.8667667351379915,-1.3696564418261614,-1.3122026922574914,-1.2015591489368704,-1.1427460983023496,2.0,-1.738472852474926
1Q25,-1.8943503003307605,-1.8943503003307827,-2.39366362540705,-2.302615192771851,-1.7685638476952592,-1.6957055905031826,-2.1879189568529966,-2.0998915013352826,-1.7644169928731968,-1.6890144850076227,1.0,-1.7772212424848055
2Q25,-1.7015904262112749,-1.7015904262112747,-2.806315967127948,-2.6882180511549114,-2.0876893306010835,-2.001318947729014,-2.6208230043641922,-2.5115447004933955,-2.2239626642252874,-2.133907532046886,1.0,-1.6106373072206193
3Q25,-1.5932340599689845,-1.593336780256216,-1.755316921714245,-1.650633087886011,-1.4133439853967644,-1.328684052028728,-1.6311915573875568,-1.5357252428587875,-1.4653426177682283,-1.3785395862130123,2.0,-1.473169234485039
4Q25,-1.457397157766538,-1.4573971577665823,-2.4258064433033466,-2.2887929318219147,-1.4121948119983685,-1.3337071770026965,-2.028877932806017,-1.9165743868143736,-1.4417935450018016,-1.3633044142551398,3.0,-1.3952198672814609
1Q26,-1.0430677435334657,-1.0430677435334434,-1.17923924515686,-1.0967465533568754,-1.142649966686471,-1.0632346751814792,-1.0813637567375967,-1.0169709831440499,-1.3307360925436384,-1.2427633203451638,4.0,-1.0431295692711728
2Q26,-1.2672243932303706,-1.2671206741667662,-0.8009882614352426,-0.7350817641741503,-0.510498687596761,-0.477711853873497,-0.4617294279704698,-0.4320149926654082,-0.4107937049627308,-0.39169432666842363,4.0,-1.2670761819207677
