rank,source,name,country_or_region,asset_class,frequency,last_period,release_lag,history_start,access,verdict,first_failing_criterion,best_feature,target,ratio_2022Q1,ratio_2023Q1,best_wf_ratio,best_window,wf_n_2023,perm_p_2023,r_2023,jk_ratio_max_2023,jk_n_below_1_2023,knowable_before_print,reading_3q26_feature,reading_3q26_value_yoy,reading_2q26_value_yoy,reading_delta_pp,reading_insample_pred_total_nights,robust
1,anac_brazil,ANAC Brazil air transport statistics (domestic and international paying passengers),LatAm (Brazil),air passengers,monthly,2026-07,about 6 weeks (Jul 2026 in the 10-year base on 12 Sep; Sep due late Oct),2016 (10-year base),free 15.7 MB zip,survivor,5 test: beats naive on both windows,br_air_pax_domestic_lag1,latam_nights_yoy_mid,0.7539151608990524,0.7913768209045335,0.7539151608990524,2022Q1+,10.0,0.0119880119880119,0.6363743620634147,0.869258561982101,10.0,yes (prior quarter already published),br_air_pax_domestic_m1,1.6889559388476585,1.137804143314769,0.5511517955328893,9.155499561758818,True
2,ibge_pms_8688,"IBGE monthly services survey (PMS) volume index, accommodation and food (1.1) and accommodation (1.1.1)",LatAm (Brazil),accommodation and food services volume index (hotel class),monthly,2026-07,about 6 weeks (Jul 2026 out about 11 Sep; Sep due about 12 Nov),2011-01 (1.1); 2022-01 (1.1.1),free SIDRA API,survivor,5 test: beats naive on both windows,br_pms_lodging_volume_lag1,latam_nights_yoy_mid,0.928766324401724,0.928766324401724,0.928766324401724,2022Q1+,9.0,0.5104895104895105,0.2146702378082624,1.219407867117174,8.0,yes (prior quarter already published),br_pms_lodging_volume_m1,-4.598026090518537,-0.5024592608250944,-4.095566829693443,8.478100051573584,False
3,statcan_liia,"StatCan leading indicator of international arrivals (24-10-0056 air by residence, 24-10-0058 vehicles by plate)","NA (Canada, US-Canada flows)","border arrivals, daily","daily, summed to months",2026-08,about 10 days (Aug 2026 out 11 Sep),"2018-01 (air), 2017-09 (land)","free, keyless WDS API",short-window survivor,5 test: beats naive on 2023Q1+ only,ca_liia_land_us_plated_vehicles_entering_full,total_nights_yoy,3.291324702979376,0.656329400992232,0.656329400992232,2023Q1+,10.0,0.0009990009990009,0.8939428595790885,0.8025939854479346,10.0,yes (Sep leading indicator about 10 Oct),ca_liia_land_us_plated_vehicles_entering_m2,3.738394333707773,6.701263631786758,-2.962869298078985,9.527935749773803,True
4,jnto_arrivals,JNTO visitor arrivals to Japan by market,APAC (Japan),inbound arrivals,monthly,2026-07,about 17 days (Jul 2026 out 19 Aug; Sep due about 15 Oct),2003-01,free xlsx on the JNTO site,short-window survivor,5 test: beats naive on 2023Q1+ only,jp_arrivals_taiwan_lag1,total_nights_yoy,62.62240389074503,0.6825036905131238,0.6825036905131238,2023Q1+,10.0,0.0049950049950049,0.8057137717982543,0.8268147350980415,10.0,yes (prior quarter already published),jp_arrivals_taiwan_m1,26.41990674918111,19.685922498037712,6.733984251143397,9.596001962391671,True
5,jta_nights,"Japan Tourism Agency accommodation survey, total and foreign guest nights",APAC (Japan),"all-accommodation guest nights (hotels, ryokan, other lodging)",monthly,2026-07,about 6 weeks preliminary (Jul 2026 out about 29 Aug; Sep due about 31 Oct),2011-01 (methodology break Jan 2026),free xlsx on mlit.go.jp,short-window survivor,5 test: beats naive on 2023Q1+ only,jp_foreign_nights_m1,total_nights_yoy,9.492885986389036,0.6835656740321816,0.6835656740321816,2023Q1+,10.0,0.0009990009990009,0.843341120937626,0.8287595243331375,10.0,yes (July 2026 observable on 12 Sep 2026),jp_foreign_nights_m1,-4.637747941518189,-10.780139537341892,6.142391595823703,9.210792261312015,True
6,abs_340101,"ABS 3401.0 overseas arrivals to Australia (short-term visitors, resident returns)",APAC (Australia),border arrivals,monthly,2026-07,about 6 weeks (Jul 2026 out about 11 Sep; Sep due about 12 Nov),1976-01,free xlsx,short-window survivor,5 test: beats naive on 2023Q1+ only,au_st_visitors_arriving_full,total_nights_yoy,3.0595984645033907,0.7855057708432095,0.7855057708432095,2023Q1+,10.0,0.0019980019980019,0.8567081828757366,0.9543676632612798,10.0,partial (Aug by mid Oct; Sep about 12 Nov),au_st_visitors_arriving_m1,-4.33659396402094,0.5646104655696815,-4.901204429590622,9.34389347601717,True
7,nz_mbie_adp,New Zealand MBIE Accommodation Data Programme guest nights (commercial accommodation),APAC (New Zealand),"commercial accommodation guest nights (hotels, motels, holiday parks, backpackers, lodges; no holiday-home category)",monthly,2026-07,about 4 weeks (Jul 2026 out 26 Aug; Sep due late Oct),2020-06,free CSV on teic.mbie.govt.nz (mbie.govt.nz itself is Incapsula-walled),short-window survivor,5 test: beats naive on 2023Q1+ only,nz_guest_nights_full,total_nights_yoy,4.526229038802759,0.7929227005301447,0.7929227005301447,2023Q1+,10.0,0.0099900099900099,0.8339880191319419,0.9639069634317238,10.0,partial (Aug by late Sep; Sep late Oct),nz_guest_nights_m1,11.627176537563066,0.6363226940566236,10.990853843506445,11.171831673995694,True
8,ine_eoap_1998,Spain INE EOAP tourist-apartment travellers and overnight stays,EMEA (Spain),tourist-apartment nights (short-term rental class),monthly,2026-07,about 3 weeks (Jul 2026 out 22 Aug; Sep due about 23 Oct),2009-12,"free, keyless tempus JSON",corroboration,5 test: does not beat naive on either window,es_apt_nights_foreign_lag1,total_nights_yoy,,,1.1832097429611257,2023Q1+,10.0,0.0759240759240759,0.5266512524864001,1.4744445871187462,0.0,yes (prior quarter already published),es_apt_nights_foreign_m1,-2.243318590026455,-1.5527736030866768,-0.6905449869397784,8.996258158554989,False
9,hawaii_vacation_rental,Hawaii DBEDT vacation rental performance (Transparent Intelligence data),NA (Hawaii),"vacation rental unit demand, supply, occupancy, ADR",monthly,2026-07,about 4 weeks (Jul 2026 out late Aug),2024-01 (prior-year columns of the 2025 reports; 2024 report files 404),"free xlsx, rate limited (HTTP 429 above about one request per 8 s)",corroboration,3 history: starts 2024-01 (prior-year columns of the 2025 reports; 2024 report files 404) (fewer than 10 quarters from 1Q23); kept as corroboration,,,,,,,,,,,,,hi_vr_demand_m1,2.314957819826624,-2.5024735663303543,4.817431386156978,8.807387604413071,False
10,statcan_24100053,StatCan international travellers entering or returning to Canada (24-10-0053),NA,border arrivals (overnight split),monthly,2026-06,about 50 days (Jun 2026 out 20 Aug),1972,"free, keyless WDS API (full zip is 450 MB)",duplicate,"duplicate of statcan_liia (same frontier counts, published six weeks earlier)",ca_canadians_returning_from_other_overnight_lag1,na_nights_yoy_mid,0.9000866151740426,0.9624400921850904,0.9000866151740426,2022Q1+,10.0,0.0159840159840159,-0.6111194700573463,1.0981489344211033,7.0,yes (prior quarter already published),,,,,,False
