feature,n,r,perm_p,knowable_before_print,wf_start,wf_n,wf_rmse,wf_rmse_naive,wf_rmse_prior,wf_rmse_ar1,wf_ratio_vs_naive,wf_ratio_vs_prior,wf_ratio_vs_ar1,sign_acc,wf_first_t,wf_last_t,target,window,source,region,asset,vintage,last_period,jk_ratio_min,jk_ratio_max,jk_n_below_1
eurostat_eu27_i552_full,18,0.8980830911198939,0.001998001998001998,partial (Jul and Aug by late Oct; Sep after the print),1Q23,14.0,4.172355626605675,2.8766200777003164,12.303396798677765,3.991395294312871,1.4504368021866902,0.33912225175522864,1.0453376122757485,0.5,4.0,17.0,total_nights_yoy,2022Q1+,eurostat_tour_occ_nim,EMEA,short-stay accommodation nights (NACE I552),full,2026-06,1.3051381674723503,1.8343215507814894,0.0
eurostat_eu27_i552_full,14,0.4033590350352576,0.13486513486513488,partial (Jul and Aug by late Oct; Sep after the print),1Q24,10.0,3.230831603769094,2.1591433023308118,3.668825534145771,2.1062914888331665,1.4963488529368971,0.880617400227875,1.533895769364237,0.5,4.0,13.0,total_nights_yoy,2023Q1+,eurostat_tour_occ_nim,EMEA,short-stay accommodation nights (NACE I552),full,2026-06,1.0391177736308304,1.927316828345658,0.0
eurostat_eu27_i552_full,16,0.5895479643146069,0.014985014985014986,partial (Jul and Aug by late Oct; Sep after the print),1Q23,12.0,5.70878593322367,3.0475810079471226,6.282567150456889,3.137906604783577,1.873218765419843,0.9086708978205681,1.8192975930261657,0.6666666666666666,6.0,17.0,emea_nights_yoy_mid,2022Q1+,eurostat_tour_occ_nim,EMEA,short-stay accommodation nights (NACE I552),full,2026-06,1.3407179089342602,2.2492501348088796,0.0
eurostat_eu27_i552_full,14,0.4940201197527712,0.07492507492507493,partial (Jul and Aug by late Oct; Sep after the print),1Q24,10.0,4.906568245021781,3.262368771307131,4.718178674022424,3.068738699827573,1.5039894594919965,1.039928452060665,1.5988875968154188,0.6,4.0,13.0,emea_nights_yoy_mid,2023Q1+,eurostat_tour_occ_nim,EMEA,short-stay accommodation nights (NACE I552),full,2026-06,1.027186017054241,1.8140638169805523,0.0
eurostat_eu27_i552_lag1,18,0.6674611228861186,0.030969030969030968,yes (prior quarter already published),1Q23,14.0,6.618489724349061,2.8766200777003164,12.303396798677765,3.991395294312871,2.3007868768127846,0.5379400366133313,1.658189489219321,0.35714285714285715,4.0,17.0,total_nights_yoy,2022Q1+,eurostat_tour_occ_nim,EMEA,short-stay accommodation nights (NACE I552),lag1,2026-06,2.1002683882410595,2.7013119124032525,0.0
eurostat_eu27_i552_lag1,14,0.19166048858537615,0.5284715284715285,yes (prior quarter already published),1Q24,10.0,3.011413857771336,2.1591433023308118,3.668825534145771,2.1062914888331665,1.3947262576413948,0.8208114094671707,1.4297232238447608,0.5,4.0,13.0,total_nights_yoy,2023Q1+,eurostat_tour_occ_nim,EMEA,short-stay accommodation nights (NACE I552),lag1,2026-06,1.2544687636669025,1.6971761234699232,0.0
eurostat_eu27_i552_lag1,16,0.4506850495757419,0.08691308691308691,yes (prior quarter already published),1Q23,12.0,6.101407863007855,3.0475810079471226,6.282567150456889,3.137906604783577,2.0020494441648387,0.9711647670274628,1.9444198414658274,0.4166666666666667,6.0,17.0,emea_nights_yoy_mid,2022Q1+,eurostat_tour_occ_nim,EMEA,short-stay accommodation nights (NACE I552),lag1,2026-06,1.8329984819372431,2.282005211040551,0.0
eurostat_eu27_i552_lag1,14,0.174737442139982,0.5414585414585414,yes (prior quarter already published),1Q24,10.0,4.7107355605089145,3.262368771307131,4.718178674022424,3.068738699827573,1.4439617010622217,0.9984224604391331,1.53507223041623,0.5,4.0,13.0,emea_nights_yoy_mid,2023Q1+,eurostat_tour_occ_nim,EMEA,short-stay accommodation nights (NACE I552),lag1,2026-06,1.2484906632474742,1.6430253514971263,0.0
eurostat_eu27_i552_m1,18,0.6910747387750726,0.028971028971028972,"yes (July 2026 vintage, not yet published for 3Q26)",1Q23,14.0,6.626526173780712,2.8766200777003164,12.303396798677765,3.991395294312871,2.303580589299863,0.5385932260993858,1.6602029328496979,0.35714285714285715,4.0,17.0,total_nights_yoy,2022Q1+,eurostat_tour_occ_nim,EMEA,short-stay accommodation nights (NACE I552),m1,2026-06,2.1721287433561027,2.8301743912742046,0.0
eurostat_eu27_i552_m1,14,0.43345099989480634,0.1108891108891109,"yes (July 2026 vintage, not yet published for 3Q26)",1Q24,10.0,3.3057070098883,2.1591433023308118,3.668825534145771,2.1062914888331665,1.5310271468872696,0.9010259493459348,1.5694442233727013,0.6,4.0,13.0,total_nights_yoy,2023Q1+,eurostat_tour_occ_nim,EMEA,short-stay accommodation nights (NACE I552),m1,2026-06,0.9247181525535108,1.8579134751479762,1.0
