accessionNumber,filingDate,reportDate,acceptanceDateTime,act,form,fileNumber,filmNumber,items,core_type,size,isXBRL,isInlineXBRL,isXBRLNumeric,primaryDocument,primaryDocDescription
0001193125-26-382108,2026-09-03,2026-09-01,2026-09-03T21:24:23.000Z,,4,,,,4,8178,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-379365,2026-09-02,2026-08-28,2026-09-02T11:51:51.000Z,,4/A,,,,4/A,20477,0,0,0.0,xslF345X06/ownership.xml,4/A
0001193125-26-379115,2026-09-01,2026-08-28,2026-09-02T01:48:10.000Z,,4,,,,4,6550,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-379003,2026-09-01,2026-08-28,2026-09-01T23:40:32.000Z,,4,,,,4,27814,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-374780,2026-08-28,2026-08-26,2026-08-28T21:22:50.000Z,,4,,,,4,14419,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-369145,2026-08-26,2026-08-24,2026-08-26T23:47:06.000Z,,4,,,,4,16273,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-369139,2026-08-26,2026-08-24,2026-08-26T23:34:22.000Z,,4,,,,4,25728,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-361412,2026-08-21,2026-08-19,2026-08-21T22:39:34.000Z,,4,,,,4,4439,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-361410,2026-08-21,2026-08-19,2026-08-21T22:38:58.000Z,,4,,,,4,10502,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-361408,2026-08-21,2026-08-19,2026-08-21T22:36:44.000Z,,4,,,,4,4462,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-357265,2026-08-19,2026-08-17,2026-08-19T22:53:44.000Z,,4,,,,4,13910,0,0,0.0,xslF345X06/ownership.xml,4
0001790330-26-000007,2026-08-13,2026-08-11,2026-08-13T21:54:39.000Z,,4,,,,4,17409,0,0,0.0,xslF345X06/form4.xml,STATEMENT OF CHANGES IN BENEFICIAL OWNERSHIP OF SECURITIES
0001193125-26-349303,2026-08-13,2026-08-11,2026-08-13T20:30:05.000Z,,4,,,,4,8315,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-345333,2026-08-11,2026-08-07,2026-08-12T00:00:22.000Z,,4,,,,4,46089,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-345326,2026-08-11,2026-08-07,2026-08-11T23:50:40.000Z,,4,,,,4,35243,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-345316,2026-08-11,2026-08-07,2026-08-11T23:41:19.000Z,,4,,,,4,34386,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-345303,2026-08-11,2026-08-07,2026-08-11T23:33:50.000Z,,4,,,,4,8209,0,0,0.0,xslF345X06/ownership.xml,4
0001193125-26-335531,2026-08-05,2026-08-03,2026-08-05T21:29:37.000Z,,4,,,,4,4680,0,0,0.0,xslF345X06/ownership.xml,4
