prediction_id,guidance_cutoff_at_utc,guided_fiscal_period,hypothesis_id,feature_id,source_ids,latest_eligible_reference_period,diagnostic_reference_period,feature_value,feature_transform,strict_eligibility,pit_treatment,exclusion_reason,feature_direction,guidance_midpoint,prior_year_comparable_midpoint,guidance_yoy_pct,guidance_yoy_acceleration_pp,strict_evaluation_status
ABNB-2020Q4-GUIDE,2021-02-25T21:05:00Z,2021Q1,H-007,SFO_TRAILING_3M_PASSENGER_YOY,SFO_AIR_PASSENGERS,,2021-01,,Trailing three complete reference months total enplaned+deplaned passengers YoY; reference-month-end-only diagnostic alignment,false,current_snapshot_diagnostic,Current snapshot lacks original historical publication/vintage timestamps; reference-period alignment is diagnostic only.,,,,,,not_testable
ABNB-2020Q4-GUIDE,2021-02-25T21:05:00Z,2021Q1,H-008,FHWA_TRAILING_3M_VMT_YOY,FHWA_TVT_VMT,,,,Trailing three complete months national VMT YoY,false,not_collected_permission_blocked,FHWA dated workbook directory is explicitly robots-disallowed; no payload or feature.,,,,,,not_testable
ABNB-2020Q4-GUIDE,2021-02-25T21:05:00Z,2021Q1,H-009,CENSUS_QSS_ACCOMMODATION_YOY,CENSUS_QSS_ACCOMMODATION,,,,Latest contemporaneous NAICS 721 quarterly revenue YoY,false,not_collected_permission_blocked,Exact API path and release vintages were not lawfully established; no payload or feature.,,,,,,not_testable
ABNB-2020Q4-GUIDE,2021-02-25T21:05:00Z,2021Q1,H-010,MUNICIPAL_AIRPORT_BREADTH,SFO_AIR_PASSENGERS|PANYNJ_AIRPORT_PARKING|LAX_TERMINAL_PASSENGERS,,,,Equal-weight mean of provider-level fixed YoY changes; requires at least two providers,false,not_testable_one_provider,Only SFO cache was usable; PANYNJ and LAX exact data paths did not pass the gate.,,,,,,not_testable
ABNB-2020Q4-GUIDE,2021-02-25T21:05:00Z,2021Q1,H-011,US_ACTIVITY_AVAILABLE_PROVIDER,SFO_AIR_PASSENGERS,,2021-01,,Trailing three complete months YoY; SFO is the sole available official provider and is not a breadth composite,false,current_snapshot_diagnostic,Current snapshot lacks original historical publication/vintage timestamps; reference-period alignment is diagnostic only. Fewer than two providers means H-011 minimum evidence fails.,,,,,,not_testable
ABNB-2020Q4-GUIDE,2021-02-25T21:05:00Z,2021Q1,H-012,EU27_PLATFORM_NIGHTS_CONTROL,EUROSTAT_PLATFORM_NIGHTS,,2020-09,-34.11304181,Trailing three complete months EU27 collaborative-platform nights YoY with fixed 120-day conservative diagnostic lag,false,current_snapshot_diagnostic,Eurostat API history is a current snapshot with no versioning; 120-day lag is not vintage evidence.,negative,,,,,not_testable
ABNB-2020Q4-GUIDE,2021-02-25T21:05:00Z,2021Q1,H-012,US_EU_EQUAL_50_50_COMPOSITE,SFO_AIR_PASSENGERS|EUROSTAT_PLATFORM_NIGHTS,,2020-09,,Exactly 50% available U.S. activity growth plus 50% EU27 platform-night growth; never row-weighted,false,current_snapshot_diagnostic,Both inputs are non-PIT current-snapshot diagnostics; composite cannot be strict.,,,,,,not_testable
ABNB-2021Q1-GUIDE,2021-05-13T20:00:42Z,2021Q2,H-007,SFO_TRAILING_3M_PASSENGER_YOY,SFO_AIR_PASSENGERS,,2021-04,,Trailing three complete reference months total enplaned+deplaned passengers YoY; reference-month-end-only diagnostic alignment,false,current_snapshot_diagnostic,Current snapshot lacks original historical publication/vintage timestamps; reference-period alignment is diagnostic only.,,,,,,not_testable
ABNB-2021Q1-GUIDE,2021-05-13T20:00:42Z,2021Q2,H-008,FHWA_TRAILING_3M_VMT_YOY,FHWA_TVT_VMT,,,,Trailing three complete months national VMT YoY,false,not_collected_permission_blocked,FHWA dated workbook directory is explicitly robots-disallowed; no payload or feature.,,,,,,not_testable
ABNB-2021Q1-GUIDE,2021-05-13T20:00:42Z,2021Q2,H-009,CENSUS_QSS_ACCOMMODATION_YOY,CENSUS_QSS_ACCOMMODATION,,,,Latest contemporaneous NAICS 721 quarterly revenue YoY,false,not_collected_permission_blocked,Exact API path and release vintages were not lawfully established; no payload or feature.,,,,,,not_testable
ABNB-2021Q1-GUIDE,2021-05-13T20:00:42Z,2021Q2,H-010,MUNICIPAL_AIRPORT_BREADTH,SFO_AIR_PASSENGERS|PANYNJ_AIRPORT_PARKING|LAX_TERMINAL_PASSENGERS,,,,Equal-weight mean of provider-level fixed YoY changes; requires at least two providers,false,not_testable_one_provider,Only SFO cache was usable; PANYNJ and LAX exact data paths did not pass the gate.,,,,,,not_testable
ABNB-2021Q1-GUIDE,2021-05-13T20:00:42Z,2021Q2,H-011,US_ACTIVITY_AVAILABLE_PROVIDER,SFO_AIR_PASSENGERS,,2021-04,,Trailing three complete months YoY; SFO is the sole available official provider and is not a breadth composite,false,current_snapshot_diagnostic,Current snapshot lacks original historical publication/vintage timestamps; reference-period alignment is diagnostic only. Fewer than two providers means H-011 minimum evidence fails.,,,,,,not_testable
ABNB-2021Q1-GUIDE,2021-05-13T20:00:42Z,2021Q2,H-012,EU27_PLATFORM_NIGHTS_CONTROL,EUROSTAT_PLATFORM_NIGHTS,,2020-12,-61.40680057,Trailing three complete months EU27 collaborative-platform nights YoY with fixed 120-day conservative diagnostic lag,false,current_snapshot_diagnostic,Eurostat API history is a current snapshot with no versioning; 120-day lag is not vintage evidence.,negative,,,,,not_testable
ABNB-2021Q1-GUIDE,2021-05-13T20:00:42Z,2021Q2,H-012,US_EU_EQUAL_50_50_COMPOSITE,SFO_AIR_PASSENGERS|EUROSTAT_PLATFORM_NIGHTS,,2020-12,,Exactly 50% available U.S. activity growth plus 50% EU27 platform-night growth; never row-weighted,false,current_snapshot_diagnostic,Both inputs are non-PIT current-snapshot diagnostics; composite cannot be strict.,,,,,,not_testable
ABNB-2021Q2-GUIDE,2021-08-12T20:01:10Z,2021Q3,H-007,SFO_TRAILING_3M_PASSENGER_YOY,SFO_AIR_PASSENGERS,,2021-07,,Trailing three complete reference months total enplaned+deplaned passengers YoY; reference-month-end-only diagnostic alignment,false,current_snapshot_diagnostic,Current snapshot lacks original historical publication/vintage timestamps; reference-period alignment is diagnostic only.,,,,,,not_testable
ABNB-2021Q2-GUIDE,2021-08-12T20:01:10Z,2021Q3,H-008,FHWA_TRAILING_3M_VMT_YOY,FHWA_TVT_VMT,,,,Trailing three complete months national VMT YoY,false,not_collected_permission_blocked,FHWA dated workbook directory is explicitly robots-disallowed; no payload or feature.,,,,,,not_testable
ABNB-2021Q2-GUIDE,2021-08-12T20:01:10Z,2021Q3,H-009,CENSUS_QSS_ACCOMMODATION_YOY,CENSUS_QSS_ACCOMMODATION,,,,Latest contemporaneous NAICS 721 quarterly revenue YoY,false,not_collected_permission_blocked,Exact API path and release vintages were not lawfully established; no payload or feature.,,,,,,not_testable
ABNB-2021Q2-GUIDE,2021-08-12T20:01:10Z,2021Q3,H-010,MUNICIPAL_AIRPORT_BREADTH,SFO_AIR_PASSENGERS|PANYNJ_AIRPORT_PARKING|LAX_TERMINAL_PASSENGERS,,,,Equal-weight mean of provider-level fixed YoY changes; requires at least two providers,false,not_testable_one_provider,Only SFO cache was usable; PANYNJ and LAX exact data paths did not pass the gate.,,,,,,not_testable
ABNB-2021Q2-GUIDE,2021-08-12T20:01:10Z,2021Q3,H-011,US_ACTIVITY_AVAILABLE_PROVIDER,SFO_AIR_PASSENGERS,,2021-07,,Trailing three complete months YoY; SFO is the sole available official provider and is not a breadth composite,false,current_snapshot_diagnostic,Current snapshot lacks original historical publication/vintage timestamps; reference-period alignment is diagnostic only. Fewer than two providers means H-011 minimum evidence fails.,,,,,,not_testable
ABNB-2021Q2-GUIDE,2021-08-12T20:01:10Z,2021Q3,H-012,EU27_PLATFORM_NIGHTS_CONTROL,EUROSTAT_PLATFORM_NIGHTS,,2021-03,-56.55736036,Trailing three complete months EU27 collaborative-platform nights YoY with fixed 120-day conservative diagnostic lag,false,current_snapshot_diagnostic,Eurostat API history is a current snapshot with no versioning; 120-day lag is not vintage evidence.,negative,,,,,not_testable
ABNB-2021Q2-GUIDE,2021-08-12T20:01:10Z,2021Q3,H-012,US_EU_EQUAL_50_50_COMPOSITE,SFO_AIR_PASSENGERS|EUROSTAT_PLATFORM_NIGHTS,,2021-03,,Exactly 50% available U.S. activity growth plus 50% EU27 platform-night growth; never row-weighted,false,current_snapshot_diagnostic,Both inputs are non-PIT current-snapshot diagnostics; composite cannot be strict.,,,,,,not_testable
ABNB-2021Q3-GUIDE,2021-11-04T20:01:21Z,2021Q4,H-007,SFO_TRAILING_3M_PASSENGER_YOY,SFO_AIR_PASSENGERS,,2021-10,,Trailing three complete reference months total enplaned+deplaned passengers YoY; reference-month-end-only diagnostic alignment,false,current_snapshot_diagnostic,Current snapshot lacks original historical publication/vintage timestamps; reference-period alignment is diagnostic only.,,1435,,,,not_testable
ABNB-2021Q3-GUIDE,2021-11-04T20:01:21Z,2021Q4,H-008,FHWA_TRAILING_3M_VMT_YOY,FHWA_TVT_VMT,,,,Trailing three complete months national VMT YoY,false,not_collected_permission_blocked,FHWA dated workbook directory is explicitly robots-disallowed; no payload or feature.,,1435,,,,not_testable
ABNB-2021Q3-GUIDE,2021-11-04T20:01:21Z,2021Q4,H-009,CENSUS_QSS_ACCOMMODATION_YOY,CENSUS_QSS_ACCOMMODATION,,,,Latest contemporaneous NAICS 721 quarterly revenue YoY,false,not_collected_permission_blocked,Exact API path and release vintages were not lawfully established; no payload or feature.,,1435,,,,not_testable
ABNB-2021Q3-GUIDE,2021-11-04T20:01:21Z,2021Q4,H-010,MUNICIPAL_AIRPORT_BREADTH,SFO_AIR_PASSENGERS|PANYNJ_AIRPORT_PARKING|LAX_TERMINAL_PASSENGERS,,,,Equal-weight mean of provider-level fixed YoY changes; requires at least two providers,false,not_testable_one_provider,Only SFO cache was usable; PANYNJ and LAX exact data paths did not pass the gate.,,1435,,,,not_testable
ABNB-2021Q3-GUIDE,2021-11-04T20:01:21Z,2021Q4,H-011,US_ACTIVITY_AVAILABLE_PROVIDER,SFO_AIR_PASSENGERS,,2021-10,,Trailing three complete months YoY; SFO is the sole available official provider and is not a breadth composite,false,current_snapshot_diagnostic,Current snapshot lacks original historical publication/vintage timestamps; reference-period alignment is diagnostic only. Fewer than two providers means H-011 minimum evidence fails.,,1435,,,,not_testable
ABNB-2021Q3-GUIDE,2021-11-04T20:01:21Z,2021Q4,H-012,EU27_PLATFORM_NIGHTS_CONTROL,EUROSTAT_PLATFORM_NIGHTS,,2021-06,141.5528277,Trailing three complete months EU27 collaborative-platform nights YoY with fixed 120-day conservative diagnostic lag,false,current_snapshot_diagnostic,Eurostat API history is a current snapshot with no versioning; 120-day lag is not vintage evidence.,positive,1435,,,,not_testable
ABNB-2021Q3-GUIDE,2021-11-04T20:01:21Z,2021Q4,H-012,US_EU_EQUAL_50_50_COMPOSITE,SFO_AIR_PASSENGERS|EUROSTAT_PLATFORM_NIGHTS,,2021-06,,Exactly 50% available U.S. activity growth plus 50% EU27 platform-night growth; never row-weighted,false,current_snapshot_diagnostic,Both inputs are non-PIT current-snapshot diagnostics; composite cannot be strict.,,1435,,,,not_testable
ABNB-2021Q4-GUIDE,2022-02-15T21:02:10Z,2022Q1,H-007,SFO_TRAILING_3M_PASSENGER_YOY,SFO_AIR_PASSENGERS,,2022-01,,Trailing three complete reference months total enplaned+deplaned passengers YoY; reference-month-end-only diagnostic alignment,false,current_snapshot_diagnostic,Current snapshot lacks original historical publication/vintage timestamps; reference-period alignment is diagnostic only.,,1445,,,,not_testable
ABNB-2021Q4-GUIDE,2022-02-15T21:02:10Z,2022Q1,H-008,FHWA_TRAILING_3M_VMT_YOY,FHWA_TVT_VMT,,,,Trailing three complete months national VMT YoY,false,not_collected_permission_blocked,FHWA dated workbook directory is explicitly robots-disallowed; no payload or feature.,,1445,,,,not_testable
ABNB-2021Q4-GUIDE,2022-02-15T21:02:10Z,2022Q1,H-009,CENSUS_QSS_ACCOMMODATION_YOY,CENSUS_QSS_ACCOMMODATION,,,,Latest contemporaneous NAICS 721 quarterly revenue YoY,false,not_collected_permission_blocked,Exact API path and release vintages were not lawfully established; no payload or feature.,,1445,,,,not_testable
