adsh,tag,version,ddate,qtrs,uom,segments,coreg,value,footnote,cik,name,form,fy,fp
0001585689-21-000016,PropertyPlantAndEquipmentNet,us-gaap/2020,20201231,0,USD,FairValueByMeasurementBasis=EstimateOfFairValueFairValueDisclosure;ImpairedLongLivedAssetsHeldAndUsedByType=PropertyPlantAndEquipment;,,5000000.0000,"Includes $4 million that was measured at March 31, 2020 and $5 million that was measured at December 31, 2020. Amounts that were remeasured are excluded from the original measurement date and are included within the measurement date of their remeasurement. Additionally, certain of these assets were fully impaired at March 31, 2020 and September 30, 2020, which were the measurement dates.",1585689,HILTON WORLDWIDE HOLDINGS INC.,10-K,2020,FY
0000884887-21-000006,PropertyPlantAndEquipmentNet,us-gaap/2020,20191231,0,USD,,,25466808000.0000,,884887,ROYAL CARIBBEAN CRUISES LTD,10-K,2020,FY
0001324424-21-000015,TreasuryStockValueAcquiredCostMethod,us-gaap/2020,20191231,4,USD,,,683000000.0000,,1324424,"EXPEDIA GROUP, INC.",10-K,2020,FY
0001075531-21-000019,IncreaseDecreaseInOperatingLiabilities,us-gaap/2020,20201231,4,USD,,,-2266000000.0000,,1075531,BOOKING HOLDINGS INC.,10-K,2020,FY
0001075531-21-000019,PaymentsToAcquireBusinessesAndInterestInAffiliates,us-gaap/2020,20181231,4,USD,,,273000000.0000,,1075531,BOOKING HOLDINGS INC.,10-K,2020,FY
0001585689-21-000016,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2020,20191231,4,USD,,,9452000000.0000,,1585689,HILTON WORLDWIDE HOLDINGS INC.,10-K,2020,FY
0000884887-21-000006,EarningsPerShareBasic,us-gaap/2020,20191231,1,USD,,,1.3100,,884887,ROYAL CARIBBEAN CRUISES LTD,10-K,2020,FY
0000884887-21-000006,IncreaseDecreaseInContractWithCustomerLiability,us-gaap/2020,20191231,4,USD,,,280139000.0000,,884887,ROYAL CARIBBEAN CRUISES LTD,10-K,2020,FY
0001585689-21-000016,OtherComprehensiveIncomeLossForeignCurrencyTranslationAdjustmentTax,us-gaap/2020,20181231,4,USD,,,6000000.0000,,1585689,HILTON WORLDWIDE HOLDINGS INC.,10-K,2020,FY
0001324424-21-000015,IncreaseDecreaseInIncomeTaxes,us-gaap/2020,20201231,4,USD,,,-57000000.0000,,1324424,"EXPEDIA GROUP, INC.",10-K,2020,FY
0001324424-21-000015,NetIncomeLossAvailableToCommonStockholdersBasic,us-gaap/2020,20200930,1,USD,,,-221000000.0000,,1324424,"EXPEDIA GROUP, INC.",10-K,2020,FY
0001628280-21-002433,IntangibleAssetsNetIncludingGoodwill,us-gaap/2020,20191231,0,USD,,,17689000000.0000,,1048286,MARRIOTT INTERNATIONAL INC /MD/,10-K,2020,FY
0000884887-21-000006,DeferredOtherTaxExpenseBenefit,us-gaap/2020,20181231,4,USD,,,-2679000.0000,,884887,ROYAL CARIBBEAN CRUISES LTD,10-K,2020,FY
0001324424-21-000015,RetainedEarningsAccumulatedDeficit,us-gaap/2020,20201231,0,USD,,,-1781000000.0000,,1324424,"EXPEDIA GROUP, INC.",10-K,2020,FY
0001324424-21-000015,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,us-gaap/2020,20201231,0,USD,,,3004000000.0000,,1324424,"EXPEDIA GROUP, INC.",10-K,2020,FY
0001558370-21-001998,StockholdersEquity,us-gaap/2019,20181231,0,USD,EquityComponents=CommonStock;,,235000.0000,,1513761,NORWEGIAN CRUISE LINE HOLDINGS LTD.,10-K,2020,FY
0001585689-21-000016,OperatingIncomeLoss,us-gaap/2020,20200630,1,USD,,,-302000000.0000,,1585689,HILTON WORLDWIDE HOLDINGS INC.,10-K,2020,FY
0001075531-21-000019,TreasuryStockValueAcquiredCostMethod,us-gaap/2020,20181231,4,USD,EquityComponents=TreasuryStock;,,6012000000.0000,,1075531,BOOKING HOLDINGS INC.,10-K,2020,FY
0001628280-21-002433,LiabilitiesAndStockholdersEquity,us-gaap/2020,20201231,0,USD,,,24701000000.0000,,1048286,MARRIOTT INTERNATIONAL INC /MD/,10-K,2020,FY
0001558370-21-001998,InterestIncomeExpenseNonoperatingNet,us-gaap/2019,20191231,4,USD,DerivativeInstrumentsGainLossByHedgingRelationship=CashFlowHedging;,,272867000.0000,,1513761,NORWEGIAN CRUISE LINE HOLDINGS LTD.,10-K,2020,FY
0001075531-21-000019,GeneralAndAdministrativeExpense,us-gaap/2020,20191231,4,USD,,,797000000.0000,,1075531,BOOKING HOLDINGS INC.,10-K,2020,FY
0001324424-21-000015,AdjustmentsRelatedToTaxWithholdingForShareBasedCompensation,us-gaap/2020,20181231,4,USD,,,2000000.0000,,1324424,"EXPEDIA GROUP, INC.",10-K,2020,FY
0000815097-21-000027,DepreciationAndAmortization,us-gaap/2020,20201130,4,USD,BusinessSegments=NorthAmericaandAustralia;,,1413000000.0000,,815097,CARNIVAL CORP,10-K,2020,FY
0000815097-21-000027,RevenueFromContractWithCustomerExcludingAssessedTax,us-gaap/2020,20181130,4,USD,ProductOrService=CruiseOnboardAndOther;,,4950000000.0000,,815097,CARNIVAL CORP,10-K,2020,FY
0000884887-21-000006,ProceedsFromDivestitureOfBusinessesAndInterestsInAffiliates,us-gaap/2020,20181231,4,USD,,,13215000.0000,,884887,ROYAL CARIBBEAN CRUISES LTD,10-K,2020,FY
0000815097-21-000027,CostsAndExpenses,us-gaap/2020,20181130,4,USD,BusinessSegments=EuropeandAsia;ProductOrService=Cruise;,,3676000000.0000,,815097,CARNIVAL CORP,10-K,2020,FY
0001585689-21-000016,AssetsNoncurrent,us-gaap/2020,20191231,0,USD,,,12864000000.0000,,1585689,HILTON WORLDWIDE HOLDINGS INC.,10-K,2020,FY
0001628280-21-002433,Revenues,us-gaap/2020,20201231,4,USD,RelatedPartyTransactionsByRelatedParty=EquityMethodInvestee;,,259000000.0000,,1048286,MARRIOTT INTERNATIONAL INC /MD/,10-K,2020,FY
0000884887-21-000006,DerivativeAssetsCurrent,us-gaap/2020,20201231,0,USD,,,70082000.0000,,884887,ROYAL CARIBBEAN CRUISES LTD,10-K,2020,FY
0001324424-21-000015,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,us-gaap/2020,20171231,0,USD,CumulativeEffectPeriodOfAdoption=CumulativeEffectPeriodOfAdoptionAdjustment;EquityComponents=AccumulatedOtherComprehensiveIncome;,,-3000000.0000,,1324424,"EXPEDIA GROUP, INC.",10-K,2020,FY
0000815097-21-000027,ProceedsFromIssuanceOfOtherLongTermDebt,us-gaap/2020,20201130,4,USD,,,15020000000.0000,,815097,CARNIVAL CORP,10-K,2020,FY
0001628280-21-002433,PrepaidExpenseAndOtherAssets,us-gaap/2020,20201231,0,USD,,,172000000.0000,,1048286,MARRIOTT INTERNATIONAL INC /MD/,10-K,2020,FY
0001075531-21-000019,StockIssuedDuringPeriodSharesShareBasedCompensationGross,us-gaap/2020,20181231,4,shares,EquityComponents=CommonStock;,,208000.0000,,1075531,BOOKING HOLDINGS INC.,10-K,2020,FY
0001628280-21-002433,OperatingIncomeLoss,us-gaap/2020,20200930,1,USD,,,252000000.0000,,1048286,MARRIOTT INTERNATIONAL INC /MD/,10-K,2020,FY
0001324424-21-000015,StockIssuedDuringPeriodSharesOther,us-gaap/2020,20201231,4,shares,EquityComponents=TreasuryStock;,,20630.0000,,1324424,"EXPEDIA GROUP, INC.",10-K,2020,FY
0001075531-21-000019,IntangibleAssetsNetExcludingGoodwill,us-gaap/2020,20191231,0,USD,FiniteLivedIntangibleAssetsByMajorClass=TechnologyBasedIntangibleAssets;,,41000000.0000,,1075531,BOOKING HOLDINGS INC.,10-K,2020,FY
0000884887-21-000006,StockholdersEquity,us-gaap/2020,20171231,0,USD,EquityComponents=AccumulatedGainLossNetCashFlowHedgeParent;,,-250355000.0000,,884887,ROYAL CARIBBEAN CRUISES LTD,10-K,2020,FY
0001558370-21-001998,AccumulatedOtherComprehensiveIncomeLossNetOfTax,us-gaap/2019,20201231,0,USD,EquityComponents=AccumulatedDefinedBenefitPlansAdjustment;,,-5783000.0000,,1513761,NORWEGIAN CRUISE LINE HOLDINGS LTD.,10-K,2020,FY
0001628280-21-002433,Revenues,us-gaap/2020,20201231,4,USD,,,10571000000.0000,,1048286,MARRIOTT INTERNATIONAL INC /MD/,10-K,2020,FY
0001075531-21-000019,LongTermDebtNoncurrent,us-gaap/2020,20191231,0,USD,DebtInstrument=A3.65SeniorNotesDueMarch2025;LongtermDebtType=SeniorNotes;,,498000000.0000,,1075531,BOOKING HOLDINGS INC.,10-K,2020,FY
