hint_id,date,statement_ids,line,direction_for_fy27_margin,quantified,value,unit,what_was_said,implication_for_fy27,confidence,ids_resolved
H01,2026-08-06,S179,margin_total,0,no,,,"No 2027 margin guide; 'looking at our track record, you can even see a couple of things'","Expect the FY27 margin sentence only on 12 Feb 2027, as a floor set 0-50bp below the FY26 print (pattern file). Nothing quantified for FY27 costs today.",high,True
H02,2026-08-06,S162;S155,ai,-,no,,,FY26 guide 'assumes a material increase in terms of the AI spend over the course of the year'; 'an expense that will ramp over the course of the year' (1Q26),"The 2H26 run-rate of AI/inference opex, not the FY26 average, is the FY27 base: a ramp in 2H26 means FY27 carries a full year of it. Size undisclosed; sits in cost of revenue (hosting) and product development.",medium,True
H03,2026-02-12,K006;K007;Q007,hosting,-,yes,465,usd_m/yr purchase obligations due 2027-28 (930/2),$1.7bn hosting commitment through 2031; purchase obligations $930m due in 1-3 years,Hosting floor ~$283m/yr under the new agreement vs ~$224m/yr before; the 2027-28 tranche of purchase obligations (~$465m/yr incl. non-hosting) is roughly double the 2026 tranche ($219m). Cost of revenue ex-payments steps up in FY27.,high,True
H04,2026-08-06,S163;S144;K003,pd,+,no,,,"'we don't need to grow our head count at levels that we did in the past'; 2026 headcount and SBC growth 'lower than 2025' (+12.3% to ~8,200)","FY27 product-development cash growth below the +11-12% of FY25/1H26 if the headcount claim holds; the FY24 'not above revenue growth' guide (C017) missed by 7pts, so discount to +8-10%.",medium,True
H05,2026-08-06,S160;S188;V019;V020,ops,+,yes,-16,pct y/y support cost per booking (2Q26),"Support cost per booking -10% (1Q26), -16% (2Q26), 'we expect those costs to continue to decline'; AI handles ~45-50% of tickets; freed agents retrained for premium support","Ops & support keeps falling per night through FY27 (the one line with a track record: 100% kept, n 13), but savings are partly reinvested (V020) and payroll/insurance/customer-relations components are rising ($41m/$9m/$14m in 1H26, 10-Q). Model -4 to -5%/yr per night, not -16%.",high,True
H06,2026-08-06,S165;S166,take_rate,-,no,,,FY26 take rate 'relatively flat' after customer incentives for new businesses; would have been slightly higher without them,"Incentives are contra-revenue and unsized; if they persist into FY27 the ex-incentive take-rate lift never reaches revenue. FY27 take rate: flat is the base, +10-20bp only if incentives roll off.",medium,True
H07,2026-09-08,V023;V022;V026,sm_field,-,no,,,'major announcements next year'; seller/host services named as the high-margin pool ($1bn 'straight shot'),New launches in FY27 mean field-ops and launch marketing before revenue (the S100 pattern: investment front-runs revenue). No budget given; FY25's launch cost $200-250m.,medium,True
H08,2026-02-12,S147;S153;V013;F2Q26_sm_total,sm_brand,-,yes,30,pct y/y S&M 1H26 (+$372m; $258m marketing spend in emerging markets and partnerships),"Incremental investment 'in sales and marketing... programmatic marketing, but more so go-to-market'; 1H26 S&M +30% with $258m of paid growth marketing in emerging markets and partnerships",The expansion-market marketing load is structural (C023: scales down per unit only as markets mature). FY27 S&M growth above revenue growth is the base case; brand statements are 63% kept (n 35).,medium,True
H09,2026-02-12,S148;S157;S134,tax,+,yes,17.5,pct long-term ETR (mid-to-high teens),OBBBA: long-term ETR mid-to-high teens; FY26 high teens vs 20% FY25,"FY27 ETR 17-19%; below-EBITDA benefit to EPS, not margin.",high,True
H10,2026-03-16,E003;E004,interest,-,yes,119,usd_m/yr coupon on $2.5bn notes,$2.5bn notes at 4.40/4.65/5.25% replaced the 0% converts,FY27 carries a full year of ~$119m interest expense (FY26 ~9.5 months); first full year of cash interest since IPO. Below EBITDA; hits EPS and FCF.,high,True
H11,2026-08-06,2Q26 letter capital allocation,other,0,yes,3400,usd_m buyback authorization remaining at 30 Jun 2026,$1.1bn repurchased in 2Q26; $3.4bn authorization left; diluted count -10% since 3Q22,At ~$1.0-1.1bn/quarter the authorization runs out around 1Q27; a new authorization is the FY27 base case (each prior one was renewed before exhaustion).,high,True
H12,2026-08-06,S164;S097;S138;C021,margin_total,+,no,,,'there's a relative floor in our ability to continue to invest against that'; reinvest most efficiencies every year,"The FY27 guide will be a floor at or slightly below the FY26 print, not a step down: four years of 35-37% and every floor beaten (60-140bp). A step-change in AI opex is the one stated risk to that.",high,True
H13,2025-08-06,S127;S182,sm_field,-,no,,,'some of the investments this year will carry into next year as fixed head count'; hotels to exit 2026 'meaningfully larger',FY25-26 field-ops headcount is sticky into FY27; hotels supply expansion adds go-to-market cost with single-digit-% revenue.,medium,True
H14,2026-08-06,F2Q26_cor,cor,-,yes,15,usd_m 1H26 server-cost increase (reserved-instance amortisation),Server costs +$15m in 1H26 'primarily driven by higher amortization related to reserved instance purchases and increased infrastructure spend'; chargeback rate 'slight increase',Reserved-instance amortisation is the accounting form of the hosting step (H03); it grows into FY27 as the commitment schedule ramps. Merchant fees stay ~1.8% of GBV.,high,True
H15,2026-08-06,F2Q26_ga,ga,+,yes,-38,usd_m 1H26 non-income taxes y/y,G&A +1% in 1H26: payroll +$38m offset by non-income taxes -$38m,Underlying G&A (ex non-income taxes) is growing ~+8%; the tax-reserve offset is one-off. FY27 G&A growth mid-to-high single digits.,medium,True
H16,2026-02-12,K010;S144,sbc,0,no,,,SBC growth 'lower than 2025' (FY25 +9.9% XBRL / +13.1% letters); unrecognized RSU cost recognised over ~2.9 years,FY27 SBC growth high single digits; the RSU unrecognized balance sets a floor for FY27 expense (WS02/M7 to tabulate).,medium,True
