line,n_closed,kept,partly,missed,kept_rate_pct,kept_or_partly_rate_pct,n_open,n_31a,n_new,n_numeric_misses,mean_signed_miss,mean_abs_miss,miss_unit,miss_ids
margin_total,55,47,5,3,85.0,95.0,8,43,12,5,75.6,75.6,bp,S061;4Q23 letter;S095;S133 ledger;S132
sm_brand,41,28,7,6,68.0,85.0,5,35,6,0,,,,
take_rate,19,12,3,4,63.0,79.0,11,17,2,1,-36.0,36.0,bp,S110
pd,18,11,3,4,61.0,78.0,7,15,3,1,7.4,7.4,pts,C017
ops,17,17,0,0,100.0,100.0,5,13,4,0,,,,
sm_field,15,12,0,3,80.0,80.0,2,11,4,0,,,,
cor,8,8,0,0,100.0,100.0,2,7,1,0,,,,
sm_total,7,5,2,0,71.0,100.0,0,0,7,3,-14.7,119.3,bp of revenue,C003;C006;S038;C009;C013;S071;S072
other,6,4,1,1,67.0,83.0,3,4,2,0,,,,
sbc,6,3,1,2,50.0,67.0,1,5,1,3,5.0,6.1,pts y/y growth,S062;S096;1Q24 letter
hosting,5,5,0,0,100.0,100.0,0,0,5,0,,,,
capex,4,2,1,1,50.0,75.0,0,2,2,1,-11.7,11.7,usd_m,Q004
ai,3,2,0,1,67.0,67.0,2,2,1,0,,,,
headcount,3,3,0,0,100.0,100.0,0,0,3,0,,,,
ga,3,1,2,0,33.0,100.0,1,2,1,0,,,,
sm_perf,3,3,0,0,100.0,100.0,2,0,3,0,,,,
interest,2,2,0,0,100.0,100.0,0,0,2,0,,,,
fcf,1,0,1,0,0.0,100.0,0,0,1,0,,,,
tax,1,1,0,0,100.0,100.0,3,1,0,0,,,,
