print,date,month,is_november,fy_target,fy_sentence,fy_sentence_type,fy_guide_level_pct,fy_guide_delta_pts,prior_fy_margin_pct,ytd_revenue_musd,ytd_adj_ebitda_musd,ytd_margin_pct,prior_ytd_margin_pct,ytd_margin_yoy_pts,next_q,next_q_revenue_guide_low,next_q_revenue_guide_high,next_q_revenue_guide_mid,next_q_margin_sentence,next_q_margin_sentence_type,next_q_margin_guide_level_pct,next_q_actual_revenue_musd,next_q_actual_margin_pct,next_q_ly_margin_pct,implied_fy_revenue_musd,implied_q4_adj_ebitda_musd,implied_q4_margin_pct,implied_q4_margin_source,q4_actual_minus_implied_pts,actual_fy_margin_pct,actual_minus_guide_bp,first_fy_plus1_statement,fy_plus1_statement_ids
3Q21,2021-11-04,11,True,FY2021,,none,,,-7.43,4459.5,1259,28.23,-9.13,37.36,4Q21,1390,1480,1435.0,we expect to deliver greater year-over-year and year-over-two year margin expansion in Q4 2021 than we delivered in Q3 2021,floor_yoy,9.46,1532.4,21.73,-2.44,5894.5,135.8,9.46,Q4 sentence (floor_yoy); no FY number given,12.27,26.57,,none on margin; ADR moderation flagged for 2022 (S021),S021
4Q21,2022-02-15,02,False,FY2022,we would expect Adjusted EBITDA margin to be directionally in-line with 2021,point_yoy,26.57,0.0,26.57,5991.9,1592,26.57,-7.43,34.0,1Q22,1410,1480,1445.0,we expect to achieve our first positive Q1 Adjusted EBITDA in Airbnb history,floor,0.0,1509.0,15.18,-6.65,,,,,,34.56,799.0,,
1Q22,2022-05-03,05,False,FY2022,We currently anticipate delivering modest Adjusted EBITDA margin expansion for the full-year 2022 relative to 2021,floor_yoy,26.57,0.0,26.57,1509.0,229,15.18,-6.65,21.83,2Q22,2030,2130,2080.0,driving a low double-digit EBITDA margin percentage improvement on a year-over-year basis,floor_yoy,26.25,2104.0,33.79,16.25,,,,,,34.56,799.0,,
2Q22,2022-08-02,08,False,FY2022,We continue to forecast delivering Adjusted EBITDA margin expansion for the full-year 2022 relative to 2021,floor_yoy,26.57,0.0,26.57,3613.0,940,26.02,7.11,18.91,3Q22,2780,2880,2830.0,We expect Q3 2022 Adjusted EBITDA margin to be at or slightly below last year's all-time high margin of 49%,ceiling,49.0,2884.0,50.52,49.21,,,,,,34.56,799.0,,
3Q22,2022-11-01,11,True,FY2022,,none,,,26.57,6497.0,2397,36.89,28.23,8.66,4Q22,1800,1880,1840.0,expect quarterly Adjusted EBITDA margin to be in-line to modestly higher than last year's margin of 22%,floor,22.0,1902.0,26.6,21.73,8337.0,404.8,22.0,Q4 sentence (floor); no FY number given,4.6,34.56,,similar marketing as a percentage of revenue in 2023 (S038); ADR moderation next year a margin headwind (C007),S038;C007
4Q22,2023-02-14,02,False,FY2023,"For the full year 2023, we expect to maintain the strong Adjusted EBITDA margin we delivered in 2022",point_yoy,34.56,0.0,34.56,8399.0,2903,34.56,26.57,7.99,1Q23,1750,1820,1785.0,"In Q1 2023, we expect Adjusted EBITDA margin to be slightly down on a year-over-year basis",ceiling_yoy,15.18,1818.0,14.41,15.18,,,,,,36.84,227.0,,
1Q23,2023-05-09,05,False,FY2023,We continue to anticipate a full year Adjusted EBITDA margin that is broadly in-line with full-year 2022,point_yoy,34.56,0.0,34.56,1818.0,262,14.41,15.18,-0.76,2Q23,2350,2450,2400.0,"we expect Adjusted EBITDA to be similar to Adjusted EBITDA in Q2 2022 on a nominal basis, but lower on a margin basis",ceiling_yoy,33.79,2484.0,32.97,33.79,,,,,,36.84,227.0,,
2Q23,2023-08-03,08,False,FY2023,"For the full-year 2023, we expect an Adjusted EBITDA margin that is modestly higher than the full-year 2022",floor_yoy,34.56,0.0,34.56,4302.0,1081,25.13,26.02,-0.89,3Q23,3300,3400,3350.0,an Adjusted EBITDA margin that exceeds Q3 2022,floor_yoy,50.52,3397.0,53.99,50.52,,,,,,36.84,227.0,,
3Q23,2023-11-01,11,True,FY2023,we expect an Adjusted EBITDA margin for full-year 2023 that is approximately 150 bps higher than full-year 2022,approx_yoy,36.06,1.5,34.56,7699.0,2915,37.86,36.89,0.97,4Q23,2130,2170,2150.0,an Adjusted EBITDA margin that exceeds Q4 2022,floor_yoy,26.6,2218.0,33.27,26.6,9849.0,636.9,29.62,"FY sentence minus 9M actual, over the Q4 revenue guide mid",3.65,36.84,77.0,We anticipate a similar year-over-year growth rate for SBC expense in 2024 (letter); no FY24 margin statement until 4Q23,S063
4Q23,2024-02-13,02,False,FY2024,"For the full-year 2024, we expect to maintain an Adjusted EBITDA Margin of at least 35%",floor,35.0,,36.84,9917.0,3653,36.84,34.56,2.27,1Q24,2030,2070,2050.0,We expect Adjusted EBITDA Margin in Q1 2024 to expand relative to Q1 2023,floor_yoy,14.41,2142.0,19.79,14.41,,,,,,36.4,140.0,,
1Q24,2024-05-08,05,False,FY2024,...to deliver an Adjusted EBITDA Margin of at least 35%,floor,35.0,,36.84,2142.0,424,19.79,14.41,5.38,2Q24,2680,2740,2710.0,"down on an Adjusted EBITDA Margin basis, relative to Q2 2023",ceiling_yoy,32.97,2748.0,32.53,32.97,,,,,,36.4,140.0,,
2Q24,2024-08-06,08,False,FY2024,...to deliver an Adjusted EBITDA Margin of at least 35%,floor,35.0,,36.84,4890.0,1318,26.95,25.13,1.83,3Q24,3670,3730,3700.0,for Adjusted EBITDA Margin to decline relative to Q3 2023,ceiling_yoy,53.99,3732.0,52.47,53.99,,,,,,36.4,140.0,,
3Q24,2024-11-07,11,True,FY2024,"For the full-year 2024, we now expect to deliver an Adjusted EBITDA Margin of approximately 35.5%",approx,35.5,,36.84,8622.0,3276,38.0,37.86,0.13,4Q24,2390,2440,2415.0,Q4 2024 Adjusted EBITDA Margin is expected to decline relative to the same time period last year,ceiling_yoy,33.27,2480.0,30.85,33.27,11037.0,642.1,26.59,"FY sentence minus 9M actual, over the Q4 revenue guide mid",4.26,36.4,90.0,We're excited to share more about our 2025 growth and investment plans early next year (letter); investment will front-run revenue (S100); capital light (S099),S099;S100
4Q24,2025-02-13,02,False,FY2025,we expect to deliver a full-year Adjusted EBITDA Margin of at least 34.5%,floor,34.5,,36.4,11102.0,4041,36.4,36.84,-0.44,1Q25,2230,2270,2250.0,we expect Adjusted EBITDA and Adjusted EBITDA Margin to decline compared to Q1 2024,ceiling_yoy,19.79,2272.0,18.35,19.79,,,,,,35.1,60.0,,
1Q25,2025-05-01,05,False,FY2025,...to deliver a full-year Adjusted EBITDA Margin of at least 34.5%,floor,34.5,,36.4,2272.0,417,18.35,19.79,-1.44,2Q25,2990,3050,3020.0,Adjusted EBITDA Margin to be flat to down slightly compared to Q2 2024,ceiling_yoy,32.53,3096.0,33.69,32.53,,,,,,35.1,60.0,,
2Q25,2025-08-06,08,False,FY2025,...to deliver a full-year Adjusted EBITDA Margin of at least 34.5%,floor,34.5,,36.4,5368.0,1460,27.2,26.95,0.25,3Q25,4020,4100,4060.0,Adjusted EBITDA Margin during Q3 2025 will be lower than in Q3 2024,ceiling_yoy,52.47,4095.0,50.09,52.47,,,,,,35.1,60.0,,
