country,markets,baseline_ids,missing_ids,id_attrition
Argentina,1,26945,5537,0.20549267025422155
Australia,11,98120,20528,0.20921320831634732
Austria,1,14123,3822,0.2706223890108334
Belgium,3,10038,3334,0.3321378760709305
Belize,1,3581,812,0.226752303825747
Brazil,1,43068,9483,0.22018668152688772
Canada,8,50882,12057,0.23696002515624387
Chile,1,16772,4343,0.2589434772239447
China,1,6801,1364,0.20055874136156449
Czech Republic,1,10834,1611,0.1486985416282075
Denmark,1,22994,4534,0.1971818735322258
France,4,115597,22830,0.19749647482201096
Germany,2,22548,5797,0.25709597303530246
Greece,4,85067,14021,0.16482302185336264
Hungary,1,12391,2551,0.20587523202324268
Ireland,1,32665,5588,0.1710699525485994
Italy,10,217194,35805,0.16485262023812813
Japan,1,27945,3334,0.11930577920916086
Latvia,1,3205,431,0.1344773790951638
Malta,1,12570,3148,0.2504375497215593
Mexico,1,27051,5439,0.20106465565043807
New Zealand,1,47097,8376,0.1778457226574941
Norway,1,12160,2700,0.22203947368421054
Portugal,2,40255,7100,0.17637560551484288
Singapore,1,3693,946,0.256160303276469
South Africa,1,26877,5888,0.2190720690553261
Spain,9,116286,27876,0.23971931272896135
Sweden,1,4955,1156,0.2332996972754793
Switzerland,3,11720,2798,0.23873720136518772
Taiwan,1,6241,1301,0.20846018266303476
Thailand,1,28806,6848,0.23772825105880718
The Netherlands,3,13312,2185,0.16413762019230768
Turkey,1,30051,8551,0.2845495990150078
United Kingdom,4,112068,30742,0.27431559410358
United States,33,270527,61495,0.2273155729372669
