market,country,status,reason,snapshots
bogotá,Colombia,excluded_no_history,No September 2025 baseline and June 2026 endpoint,0
nairobi,Kenya,excluded_no_history,No September 2025 baseline and June 2026 endpoint,0
são-paulo,Brazil,excluded_no_history,No September 2025 baseline and June 2026 endpoint,0
albany,United States,pair_eligible,,4
amsterdam,The Netherlands,pair_eligible,,4
antwerp,Belgium,pair_eligible,,4
asheville,United States,pair_eligible,,4
athens,Greece,pair_eligible,,4
austin,United States,excluded_coverage,Baseline or endpoint flagged by team or below 50% of maximum selected snapshot count,4
bangkok,Thailand,pair_eligible,,4
barcelona,Spain,pair_eligible,,4
barossa-valley,Australia,pair_eligible,,4
barwon-south-west-vic,Australia,pair_eligible,,4
belize,Belize,pair_eligible,,4
bergamo,Italy,pair_eligible,,4
berlin,Germany,pair_eligible,,4
bologna,Italy,pair_eligible,,3
bordeaux,France,pair_eligible,,4
boston,United States,pair_eligible,,4
bozeman,United States,pair_eligible,,4
brisbane,Australia,pair_eligible,,4
bristol,United Kingdom,pair_eligible,,4
broward-county,United States,pair_eligible,,4
brussels,Belgium,pair_eligible,,4
budapest,Hungary,pair_eligible,,4
buenos-aires,Argentina,pair_eligible,,4
cambridge,United States,pair_eligible,,4
cape-town,South Africa,pair_eligible,,4
chicago,United States,pair_eligible,,4
clark-county-nv,United States,pair_eligible,,4
columbus,United States,pair_eligible,,4
copenhagen,Denmark,pair_eligible,,4
crete,Greece,pair_eligible,,4
dallas,United States,pair_eligible,,4
denver,United States,pair_eligible,,4
dublin,Ireland,excluded_nested_geography,At least 90% of baseline IDs overlap the larger ireland file,4
edinburgh,United Kingdom,pair_eligible,,4
euskadi,Spain,pair_eligible,,4
florence,Italy,pair_eligible,,4
fort-worth,United States,pair_eligible,,4
geneva,Switzerland,pair_eligible,,4
ghent,Belgium,pair_eligible,,4
girona,Spain,pair_eligible,,4
greater-manchester,United Kingdom,pair_eligible,,4
hawaii,United States,pair_eligible,,4
hong-kong,China,pair_eligible,,4
ireland,Ireland,pair_eligible,,4
istanbul,Turkey,pair_eligible,,4
jersey-city,United States,pair_eligible,,4
lisbon,Portugal,pair_eligible,,4
london,United Kingdom,pair_eligible,,4
los-angeles,United States,pair_eligible,,3
lyon,France,pair_eligible,,4
madrid,Spain,pair_eligible,,4
malaga,Spain,pair_eligible,,4
mallorca,Spain,pair_eligible,,4
malta,Malta,pair_eligible,,4
melbourne,Australia,pair_eligible,,4
menorca,Spain,pair_eligible,,4
mexico-city,Mexico,pair_eligible,,4
mid-north-coast,Australia,pair_eligible,,4
milan,Italy,pair_eligible,,4
montreal,Canada,pair_eligible,,4
mornington-peninsula,Australia,pair_eligible,,4
munich,Germany,pair_eligible,,4
naples,Italy,pair_eligible,,4
nashville,United States,pair_eligible,,4
new-brunswick,Canada,pair_eligible,,4
new-orleans,United States,pair_eligible,,4
new-york-city,United States,pair_eligible,,4
new-zealand,New Zealand,pair_eligible,,4
newark,United States,pair_eligible,,4
northern-rivers,Australia,pair_eligible,,4
oakland,United States,pair_eligible,,4
oslo,Norway,pair_eligible,,4
ottawa,Canada,pair_eligible,,4
pacific-grove,United States,pair_eligible,,4
paris,France,pair_eligible,,4
pays-basque,France,pair_eligible,,4
portland,United States,pair_eligible,,4
porto,Portugal,pair_eligible,,4
prague,Czech Republic,pair_eligible,,4
puglia,Italy,pair_eligible,,4
quebec-city,Canada,pair_eligible,,4
rhode-island,United States,pair_eligible,,4
riga,Latvia,pair_eligible,,4
rio-de-janeiro,Brazil,pair_eligible,,4
rochester,United States,pair_eligible,,4
rome,Italy,pair_eligible,,4
rotterdam,The Netherlands,pair_eligible,,4
salem-or,United States,pair_eligible,,4
san-diego,United States,pair_eligible,,4
san-francisco,United States,pair_eligible,,4
san-mateo-county,United States,pair_eligible,,4
santa-clara-county,United States,pair_eligible,,4
santa-cruz-county,United States,pair_eligible,,4
santiago,Chile,pair_eligible,,4
seattle,United States,pair_eligible,,4
sevilla,Spain,pair_eligible,,4
sicily,Italy,pair_eligible,,4
singapore,Singapore,pair_eligible,,4
south-aegean,Greece,pair_eligible,,4
stockholm,Sweden,pair_eligible,,4
sunshine-coast,Australia,pair_eligible,,4
sydney,Australia,pair_eligible,,4
taipei,Taiwan,pair_eligible,,4
tasmania,Australia,pair_eligible,,4
the-hague,The Netherlands,pair_eligible,,4
thessaloniki,Greece,pair_eligible,,4
tokyo,Japan,pair_eligible,,4
toronto,Canada,pair_eligible,,4
trentino,Italy,pair_eligible,,4
twin-cities-msa,United States,pair_eligible,,4
valencia,Spain,pair_eligible,,4
vancouver,Canada,pair_eligible,,4
vaud,Switzerland,pair_eligible,,4
venice,Italy,pair_eligible,,4
victoria,Canada,pair_eligible,,4
vienna,Austria,pair_eligible,,4
washington-dc,United States,pair_eligible,,4
western-australia,Australia,pair_eligible,,4
winnipeg,Canada,pair_eligible,,4
zurich,Switzerland,pair_eligible,,4
