target_line,n_series,n_available,n_needs_refresh,n_licensed_local,n_candidate_pull_in_census,n_gaps,n_gaps_priority1
cor,26,25,1,0,0,6,1
ops,25,23,2,0,0,8,2
pd,22,20,2,0,0,5,2
sm_brand,31,28,2,0,1,6,1
sm_field,28,27,1,0,0,1,1
ga,23,20,2,1,0,7,2
sbc,29,27,1,1,0,4,2
da,10,10,0,0,0,1,0
addbacks,2,2,0,0,0,1,0
int_inc,17,16,1,0,0,3,2
other_inc,7,7,0,0,0,1,1
tax,17,16,1,0,0,1,1
shares,13,12,1,0,0,2,2
fcf_timing,16,16,0,0,0,1,1
capex,8,8,0,0,0,0,0
rev_drivers,56,55,1,0,0,1,0
margin_total,44,42,1,1,0,2,1
guide,29,27,0,2,0,1,1
