series_id,description,file_path,script_path,frequency,first_period,last_period,n_obs,pit_lag_days,target_lines,mechanism,prior_evidence,status,suggested_method
P01_gaap_costlines,"GAAP cost lines (CoR, ops&support, product dev, S&M, G&A, restructuring), SBC total, operating income, adj. EBITDA, % of revenue; Q4 = FY less 9M; XBRL companyfacts + letters",data/processed/abnb_quarterly_costlines.csv,analysis/src/abnb_costlines_from_xbrl.py,quarterly,1Q20,2Q26,26,40,cor;ops;pd;sm_brand;sm_field;ga;sbc;margin_total,The target series themselves (GAAP basis); every method scores against these or the ex-SBC stack.,"Backbone of margin-drivers, 07, 31a/31b, predictive/04. WS02 rebuilds with provenance and 1Q19-4Q19 pre-IPO quarters.",available,M1 driver;M2 ts;M6 cycle
P02_cash_cost_stack,"Cash (ex-SBC) cost per line, SBC by function (ops/pd/sm/ga), D&A, other add-backs, identity to adj. EBITDA, per night and % of revenue; letters footnotes",data/processed/abnb_quarterly_cost_stack_exsbc.csv,analysis/src/abnb_exsbc_stack.py,quarterly,1Q21,2Q26,22,40,cor;ops;pd;sm_brand;sm_field;ga;sbc;da;addbacks;margin_total,Adj. EBITDA = revenue - cash lines - restructuring + D&A + add-backs; the six cash lines are the objects the margin methods forecast.,"Identity holds within $1.7M except 4Q23 (-$36M letter-vs-XBRL Q4 derivation). 31b: only CoR has a promotable elasticity (GBV +1.01, n 14).",available,M1 driver;M2 ts;M7 below-EBITDA
P03_cost_lines_per_night,"22-quarter panel: each line GAAP and cash, $ per night, per $100 GBV, % revenue, y/y; brand+performance vs field-ops S&M split (10-Q three-month tables, Q4 = 10-K less 9M); D&A, interest income, tax, FCF, unearned-fee change",data/processed/overnight/07_cost_lines_per_night.csv,analysis/src/overnight/07_cost_lines_per_night.py,quarterly,1Q21,2Q26,22,42,cor;ops;pd;sm_brand;sm_field;ga;sbc;da;int_inc;tax;fcf_timing,"Per-unit cost bases (per night, per $ GBV) are the natural forecasting units; the brand/field split separates media (reversible) from headcount (sticky).","07: 85% of the rise in cash cost per night since 2Q22 is S&M; 1H26 brand+perf +32%, field +24%. predictive/04: prior-quarter S&M deleverage predicts next margin surprise r -0.62, n 14, LOO 2.61 vs 2.79 guide.",available,M1 driver;M4 alt
P04_cost_components_annual,"Disclosed cost components FY2019-FY2025: merchant fees+chargebacks % GBV, brand/perf and field-ops $, XBRL advertising, headcount, third-party support workers, cloud and insurance cost deltas, payroll deltas, non-income tax delta, interest income, tax provision current/deferred, cash taxes, lease cost, purchase obligations, hosting commitment, D&A, capex, revenue per employee",data/processed/overnight/07_cost_components_annual.csv,analysis/src/overnight/07_cost_lines_per_night.py,annual,FY2019,FY2025,39,50,cor;ops;pd;sm_brand;sm_field;ga;da;int_inc;tax;capex,"Sub-line drivers management discloses only annually (payments rate, cloud delta, insurance delta, headcount, hosting commitments) anchor the per-unit assumptions.","07: payment processing 1.82% of GBV (+/-10bp, derived from MD&A deltas); hosting commitment $672M->$1.7B through 2031; revenue per employee fell 1.8% in 2025.",available,M1 driver;M4 alt
P05_kpi_panel_quarterly,"Definitive KPI panel, 119 columns: nights, GBV, ADR, revenue, adj. EBITDA, SBC, FCF, buybacks, RSU withholding, diluted shares, GAAP lines, op income, CFO, capex, net income, tax, cash/investments, funds held, unearned fees, debt, regional nights and ADR y/y, app share, cross-border share, etc.",data/processed/overnight/02_kpi_panel_quarterly.csv,analysis/src/overnight/02_kpi_panel.py,quarterly,3Q20,2Q26,24,40,rev_drivers;sbc;shares;tax;int_inc;fcf_timing;margin_total,"One-stop denominators (nights, GBV, ADR, take rate) and balance-sheet stocks (funds held, cash) for every per-unit and yield calculation.","342 verbatim quotes re-verify; 02_metric_coverage.csv says when each series starts/stops (cross-border share stops 1Q24, active listings 4Q25).",available,M1 driver;M7 below-EBITDA
P06_kpi_panel_long,"Source quotes behind the KPI panel (1,050 rows, letter sentence per number)",data/processed/overnight/02_kpi_panel_long.csv,analysis/src/overnight/02_kpi_panel.py,quarterly,3Q20,2Q26,1050,40,rev_drivers;margin_total,Provenance for every panel cell; lets WS02 cite the letter for each value.,Used by WS02/15 crosschecks.,available,M1 driver
P07_margin_bridge,"Adj. EBITDA margin bridge FY22->FY25 by line (cost per night), revenue per night (take rate, FX, ADR ex-FX), add-backs",data/processed/abnb_margin_bridge.csv,analysis/src/abnb_margin_bridge.py,annual,FY2022,FY2025,33,50,margin_total;cor;ops;pd;sm_brand;sm_field;ga,Decomposes margin change into unit-cost and revenue-per-night effects; template for the forward bridge.,"FY22->25 +0.5pt: revenue/night +5.1, S&M -4.2. 31b corrects: ADR ex-FX +3.7 is +5.4 size/price net of -2.5 regional mix.",available,M1 driver;M6 cycle
P08_margin_scenarios,"Base/bear/bull FY2026E, FY2027E, 3Q26E, 4Q26E margin scenarios (5 Sep)",data/processed/abnb_margin_scenarios.csv,analysis/src/abnb_margin_bridge.py,scenario,3Q26E,FY2027E,6,0,margin_total,Earliest house scenario set; a comparison column only.,"07 reconciles: base FY26 +0.25pt, FY27 +0.05pt; bear too kind on S&M.",available,M6 cycle
P09_lever_model_fy26_28,"WS07 lever-by-lever margin model: levers (bear/base/bull, evidence strings), attribution, results, path-to-40% Monte Carlo",data/processed/overnight/07_margin_levers_fy26_fy28.csv,analysis/src/overnight/07_margin_lever_model.py,scenario,FY2026E,FY2028E,431,0,margin_total;cor;ops;pd;sm_brand;sm_field;ga;sbc;int_inc;tax;fcf_timing;capex,"Cost lines driven by natural unit (CoR by GBV, ops by nights, others by cash growth); runs to GAAP op margin, FCF, SBC-adjusted FCF.","Base 36.1/36.6/37.5%; P(>=40% FY28) 21%; FCF/EBITDA 99/95/93%; working-capital residual -1.1% of revenue (FY24 -$140M, FY25 -$139M).",available,M1 driver;M7 below-EBITDA
P10_ops_initiatives,"22 operational initiatives since 2022 scored realised / in progress / not evidenced, with cost line, claim source and filed evidence",data/processed/overnight/07_ops_initiatives.csv,analysis/src/overnight/07_ops_initiatives.py,event,2020-Q4,2026-Q2,22,0,cor;ops;pd;sm_brand;sm_field;ga;sbc,"Step-dummy candidates (AI support, payments reset, third-party support network, RSU/buyback policy) for line models.","14 realised, 3 in progress, 5 not evidenced (AI engineering productivity, cloud efficiency, performance-marketing efficiency, AI spend in guide, hotels).",available,M4 alt
