gap_id,input,target_lines,mechanism,suggested_source,url_pattern_or_field,reachability,frequency,history,pit_note,priority,ws04_action
GAP01,Quarterly headcount / job-posting counts,pd;ga;ops;sbc,Product development and G&A are payroll (10-K: 'increase in payroll-related expenses driven by an increase in headcount'); headcount is disclosed only at 31 Dec. Open-role counts lead hires by 1-2 quarters.,Wayback captures of careers.airbnb.com (count of /positions/ links per capture) at monthly spacing 2019-2026; LinkedIn public company page employee count via Wayback; Common Crawl as fallback,http://web.archive.org/cdx/search/cdx?url=careers.airbnb.com/positions*&output=json&from=2019&collapse=timestamp:6 ; http://archive.org/wayback/available?url=careers.airbnb.com&timestamp=YYYYMM01 ; http://web.archive.org/cdx/search/cdx?url=linkedin.com/company/airbnb&from=2019&output=json,archives,monthly (capture-dependent),2019-2026 if captures exist,Capture timestamp = PIT date; no revision,1,"Pull CDX list, fetch 1 capture/month, parse role counts by team (Engineering, Trust & Safety, Sales) and location; save HTML raw + manifest"
GAP02,Headcount statements in transcripts (quarterly),pd;ga;sbc,"Management occasionally states headcount growth on calls ('grew headcount ~12%', 'lower than 2025'); a quarterly interpolation anchor.","grep data/raw/transcripts/web/*.html and data/raw/regulatory/transcripts/*.json for 'headcount', 'employees', 'hiring'",local grep,repo,event,4Q20-2Q26,statement date,2,Extract sentences with numbers to a dated table (feeds WS05 statements file too)
GAP03,Tech-wage and SF cost-of-living indices,pd;ga;ops,"Payroll per employee (SBC per employee $193k, cash comp undisclosed) moves with software-labour wage inflation; deflates the headcount plan into $.","FRED/BLS CES average hourly earnings: software publishers (CES5051200003), computer systems design (CES6054150003), ECI private wages (ECIWAG), SF-Oakland CPI (CUURS49BSA0); BLS OES SOC 15-1252 annual",https://fred.stlouisfed.org/graph/fredgraph.csv?id=CES5051200003 ; ...?id=CES6054150003 ; ...?id=ECIWAG ; ...?id=CUURS49BSA0,FRED (keyless),monthly / quarterly,2006+,ALFRED vintages available for PIT,2,"Pull four series; build y/y; test vs PD and G&A cash per employee (annual, n 5) and per night (quarterly, n 22)"
GAP04,3-month T-bill and 1-year yields (interest-income yield driver),int_inc,"Interest income = yield x (corporate cash + funds held). Airbnb holds T-bills/commercial paper (10-K); DTB3 is not in the FRED cache (only FEDFUNDS, DGS2, DGS10).","FRED DTB3, DGS1, DGS3MO, TB3MS; ECB deposit rate for EUR balances",https://fred.stlouisfed.org/graph/fredgraph.csv?id=DTB3 ; ...?id=DGS3MO ; ...?id=DGS1 ; ...?id=TB3MS,FRED (keyless),daily,1954+,Daily; quarterly average is knowable at quarter end (lag 0),1,"Pull; regress quarterly interest income / avg interest-earning balances (B05) on avg DTB3 with a 1-quarter lag, n 22; supply yield beta and lag to M7"
GAP05,Funds-held vs corporate-cash split of interest income,int_inc;fcf_timing,"10-K: interest income 'consists primarily of interest earned on cash, cash equivalents, marketable securities, and amounts held on behalf of customers' - split never disclosed; needed because funds held is seasonal (Q1/Q2 peak) and RNPL is shrinking it.","10-K/10-Q balance sheets (XBRL FundsReceivableAndAmountsHeldOnBehalfOfCustomers, FundsHeldForClients) + Note on investments; model as blended yield","data/raw/xbrl/ABNB_companyfacts.json tags FundsHeldForClients, CashAndCashEquivalentsAtCarryingValue, ShortTermInvestments; EDGAR full-text search 'interest income' 'funds held'",EDGAR,quarterly,4Q20+,10-Q filing date (~40-45 days),1,Build avg interest-earning balance by component; fit blended yield (GAP04)
GAP06,"10-Q primary documents 1Q21-1Q26 (three-month MD&A deltas, repurchase table, hedge notes)",cor;ops;pd;sm_brand;sm_field;ga;shares;other_inc,"Only the 2Q26 10-Q and the 10-Ks are in the tree; the quarterly $ deltas by component (payroll, marketing activities, third-party providers, insurance, cloud, non-income taxes) and the monthly buyback table exist only in 10-Qs.",EDGAR submissions API -> primary 10-Q documents (User-Agent 'citadel-abnb research ksurapaneni@ufl.edu'),https://data.sec.gov/submissions/CIK0001559720.json ; https://www.sec.gov/Archives/edgar/data/1559720/<accession-no-dashes>/<primary-doc>.htm ; EDGAR FTS https://efts.sec.gov/LATEST/search-index?q=%22marketing%20activities%22&ciks=0001559720&forms=10-Q,EDGAR,quarterly,1Q21-2Q26 (22 filings),Filing acceptance timestamp is the PIT date,1,"Fetch 22 10-Qs to data/raw/margin_build/04_alt_signals/edgar/, manifest with sha256; parse MD&A component deltas into a quarterly long table for WS02/M1"
GAP07,"Peer XBRL companyfacts (BKNG CIK 1075531, EXPE 1324424, MAR, HLT) for quarterly marketing and cost lines",sm_brand;margin_total,"Cyclical cost-flex comparators: how BKNG/EXPE marketing and margins responded to 2020, 2022 and 2024-25 deceleration; only ABNB companyfacts is in this tree (BKNG/EXPE JSON referenced in data/README live in the main tree).",SEC companyfacts API,https://data.sec.gov/api/xbrl/companyfacts/CIK0001075531.json ; CIK0001324424.json ; MAR CIK0001048286 ; HLT CIK0001585689,EDGAR,quarterly,2009+,Filing dates,2,Pull four JSONs; extract SellingAndMarketingExpense / AdvertisingExpense / OperatingIncomeLoss quarterly; build peer marketing-intensity vs growth panel for M6
GAP08,"Support-load proxies: Trustpilot / BBB / Sitejabber review and complaint counts, app-store review counts and ratings, Downdetector",ops,Contacts per night drive operations & support; public complaint volumes are the only outside read of contact intensity and of AI-deflection success.,"Wayback captures of trustpilot.com/review/www.airbnb.com (total reviews, rating), bbb.org Airbnb profile (complaints closed last 3 yrs), apps.apple.com/us/app/airbnb/id401626263 rating count, play.google.com Airbnb listing",http://web.archive.org/cdx/search/cdx?url=trustpilot.com/review/www.airbnb.com&from=2019&output=json&collapse=timestamp:6 ; ...url=bbb.org/us/ca/san-francisco/profile/vacation-rentals/airbnb-inc-1116-393811 ; ...url=apps.apple.com/us/app/airbnb/id401626263,archives,monthly captures,2019-2026 (Trustpilot dense),Capture date is PIT; cumulative counts -> difference for flow,2,Parse cumulative review/complaint counts per capture; compute quarterly flow per million nights; test vs ops cash per night y/y (n ~14)
GAP09,"Payment processing rate changes: Visa/Mastercard interchange and cross-border fee announcements, Adyen/Stripe published pricing, EU IFR, Reg II",cor,"Merchant fees are ~1.8% of GBV (07); scheme fee changes (April/October cycles), cross-border assessment fees and the regional mix of card vs local methods move the rate.","Public announcements (Visa/Mastercard pricing bulletins via press), Adyen pricing page and Stripe pricing page via Wayback; Airbnb 10-K payments description",http://web.archive.org/cdx/search/cdx?url=stripe.com/pricing&from=2019&output=json ; ...url=adyen.com/pricing ; LSEG news search 'interchange' 'Visa' 'Mastercard' 2019-2026,archives / third_party_public / LSEG news,event,2019+,Announcement date,2,Build a dated event table of scheme-fee changes; step dummies for CoR per $ GBV
GAP10,Cross-border / cross-currency share of GBV (payment FX cost driver),cor;rev_drivers,Cross-border nights carry FX conversion cost and the 3% guest FX fee; cross-border share disclosure stopped 1Q24 (46%); cross-currency GBV share given once (1Q25).,Repo: Lane 1 X package od_nights_matrix.csv / observed_share_triple.csv (regional_kernel_v1); 02_kpi_panel cross_border_share_pct; letters,data/processed/forecast_methods/regional_kernel_v1/od_nights_matrix.csv,repo,quarterly,1Q21-1Q24 disclosed; modelled after,Disclosed at print,2,Extend the cross-border share series with the X-package O-D matrix; use as a CoR-per-GBV mix driver
